ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	s	s	s	s	i	i	s	i	s	i	s	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing			0			0	1,7,8,9			0							1		1	0	tatooine	0.0	0.0	0.0																																											
quest.task.ground.wait_for_tasks	@quest/ground/naboo_boss_nass_artifacts_mauler:task01_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_mauler:task01_journal_entry_description	1			0	2		boss_nass_mauler_00	0							1		1	1	naboo	-2368.89990234375	6.40000009536743	-5504.39990234375			@quest/ground/naboo_boss_nass_artifacts_mauler:task01_waypoint_name	quest/naboo_boss_nass_artifacts_mauler	boss_nass_mauler_01	@quest/ground/naboo_boss_nass_artifacts_mauler:task01_task_display_string_1	quest/naboo_boss_nass_artifacts_mauler	boss_nass_mauler_02	@quest/ground/naboo_boss_nass_artifacts_mauler:task01_task_display_string_2	quest/naboo_boss_nass_artifacts_mauler	boss_nass_mauler_03	@quest/ground/naboo_boss_nass_artifacts_mauler:task01_task_display_string_3										0																					
quest.task.ground.comm_player			0			0	3			0							1		1	0	tatooine	0.0	0.0	0.0																							@quest/ground/naboo_boss_nass_artifacts_mauler:task02_comm_message_text	object/mobile/boss_nass.iff																			
quest.task.ground.destroy_multi	@quest/ground/naboo_boss_nass_artifacts_mauler:task03_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_mauler:task03_journal_entry_description	1			0	4		boss_nass_mauler_04	1							1		1	1	naboo	-2368.89990234375	6.40000009536743	-5504.39990234375			@quest/ground/naboo_boss_nass_artifacts_mauler:task03_waypoint_name																			0			naboo_mauler_driton_fitch			1	0														
quest.task.ground.comm_player			0			0	5			0							1		1	0	tatooine	0.0	0.0	0.0																							@quest/ground/naboo_boss_nass_artifacts_mauler:task04_comm_message_text	object/mobile/boss_nass.iff																			
quest.task.ground.retrieve_item	@quest/ground/naboo_boss_nass_artifacts_mauler:task05_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_mauler:task05_journal_entry_description	1			0	6		boss_nass_mauler_05	1							1		1	1	naboo	-2368.89990234375	6.40000009536743	-5504.39990234375			@quest/ground/naboo_boss_nass_artifacts_mauler:task05_waypoint_name																			0								object/tangible/quest/naboo_boss_nass_gungan_artifact_mauler.iff	1	@quest/ground/naboo_boss_nass_artifacts_mauler:task05_item_name	100	@quest/ground/naboo_boss_nass_artifacts_mauler:task05_retrieve_menu_text									
quest.task.ground.wait_for_signal	@quest/ground/naboo_boss_nass_artifacts_mauler:task06_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_mauler:task06_journal_entry_description	1			0			boss_nass_mauler_06	1							1		1	1	naboo	-1992	5.19999980926514	-5422.2001953125			@quest/ground/naboo_boss_nass_artifacts_mauler:task06_waypoint_name																			0													boss_nass_mauler_06	0			0		0	0	0
quest.task.ground.destroy_multi	@quest/ground/naboo_boss_nass_artifacts_mauler:task07_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_mauler:task07_journal_entry_description	1			0			boss_nass_mauler_03	1							1		1	0	tatooine	0.0	0.0	0.0																						0			naboo_mauler_fiend			9	0														
quest.task.ground.destroy_multi	@quest/ground/naboo_boss_nass_artifacts_mauler:task08_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_mauler:task08_journal_entry_description	1			0			boss_nass_mauler_02	1							1		1	0	tatooine	0.0	0.0	0.0																						0			naboo_mauler_zealot			11	0														
quest.task.ground.destroy_multi	@quest/ground/naboo_boss_nass_artifacts_mauler:task09_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_mauler:task09_journal_entry_description	1			0			boss_nass_mauler_01	1							1		1	0	tatooine	0.0	0.0	0.0																						0			naboo_mauler_fanatic			9	0														
