ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	RADIUS	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	s	s	i	i	i	i	s	i	i	s	i	i	i	s	s	s	i	s	i	i	s	s	i	S	S	S	S	s	i	i
quest.task.ground.wait_for_signal			0			0	1		talkPeawp1	0							1		1	0	tatooine	0.0	0.0	0.0		centerOfBeing	0			0		0	0	0																															
quest.task.ground.show_message_box			0			0	2			0							1		1	0	tatooine	0.0	0.0	0.0											@quest/ground/c_newbie_melee_quest_1:task01_message_box_title	@quest/ground/c_newbie_melee_quest_1:task01_message_box_text		-1	-1	-1	-1																								
quest.task.ground.wait_for_signal			0			0	3		acceptingMission	0							1		1	0	tatooine	0.0	0.0	0.0		readyForMission1	0			0		0	0	0																															
quest.task.ground.go_to_location	@quest/ground/c_newbie_melee_quest_1:task03_journal_entry_title	@quest/ground/c_newbie_melee_quest_1:task03_journal_entry_description	1			0	4			1							1		1	1	tatooine	3332	5	-4604	@quest/ground/c_newbie_melee_quest_1:task03_waypoint_name																	5																							
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_melee_quest_1:task04_journal_entry_title	@quest/ground/c_newbie_melee_quest_1:task04_journal_entry_description	1			0	5		talkOtwi1	0							1		1	0	tatooine	0.0	0.0	0.0		talkedOtwi1	0			0		0	0	0																															
quest.task.ground.timer			0			0	6			0							1		1	0	tatooine	0.0	0.0	0.0																			8	15																					
quest.task.ground.encounter	@quest/ground/c_newbie_melee_quest_1:task06_journal_entry_title	@quest/ground/c_newbie_melee_quest_1:task06_journal_entry_description	1			0	7		thugAttack	0							1		1	0	tatooine	0.0	0.0	0.0																					desert_thug	1	1	4	0.0	0.0															
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_melee_quest_1:task07_journal_entry_title	@quest/ground/c_newbie_melee_quest_1:task07_journal_entry_description	1			0	8			1							1		1	0	tatooine	0.0	0.0	0.0		talkedOtwi2	0			0		0	0	0																															
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_melee_quest_1:task08_journal_entry_title	@quest/ground/c_newbie_melee_quest_1:task08_journal_entry_description	1			0	9		doneMission1	1							1		1	0	tatooine	0.0	0.0	0.0		reward1	0			0		0	0	0																															
quest.task.ground.reward			0			0				0							1		1	0	tatooine	0.0	0.0	0.0																						1					combat_meleespecialize_unarmed	300	Rebel	0	500			1	0.1	0.1	0.1	0.1		1	0.1
