ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	MIN_TIME	MAX_TIME
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	i	i	i	s	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	i
quest.task.ground.nothing			0			0	1,3,5,7,9,11,13		rohak_token_box_none	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																
quest.task.ground.retrieve_item			0			0	2		rohak_token_box_06	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/township/rohak_figurine_06.iff	1	@quest/ground/rohak_token_box:task01_item_name	100	0	0	0	@quest/ground/rohak_token_box:task01_retrieve_menu_text	0																						
quest.task.ground.comm_player			0			0			rohak_token_box_06a	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											@quest/ground/rohak_token_box:task02_comm_message_text	object/mobile/dressed_fs_village_elder.iff																				
quest.task.ground.retrieve_item			0			0	4		rohak_token_box_05	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/township/rohak_figurine_05.iff	1	@quest/ground/rohak_token_box:task03_item_name	100	0	0	0	@quest/ground/rohak_token_box:task03_retrieve_menu_text	0																						
quest.task.ground.comm_player			0			0			rohak_token_box_05a	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											@quest/ground/rohak_token_box:task04_comm_message_text	object/mobile/dressed_fs_village_elder.iff																				
quest.task.ground.retrieve_item			0			0	6		rohak_token_box_04	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/township/rohak_figurine_04.iff	1	@quest/ground/rohak_token_box:task05_item_name	100	0	0	0	@quest/ground/rohak_token_box:task05_retrieve_menu_text	0																						
quest.task.ground.comm_player			0			0			rohak_token_box_04a	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											@quest/ground/rohak_token_box:task06_comm_message_text	object/mobile/dressed_fs_village_elder.iff																				
quest.task.ground.retrieve_item			0			0	8		rohak_token_box_03	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/township/rohak_figurine_03.iff	1	@quest/ground/rohak_token_box:task07_item_name	100	0	0	0	@quest/ground/rohak_token_box:task07_retrieve_menu_text	0																						
quest.task.ground.comm_player			0			0			rohak_token_box_03a	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											@quest/ground/rohak_token_box:task08_comm_message_text	object/mobile/dressed_fs_village_elder.iff																				
quest.task.ground.retrieve_item			0			0	10		rohak_token_box_02	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/township/rohak_figurine_02.iff	1	@quest/ground/rohak_token_box:task09_item_name	100	0	0	0	@quest/ground/rohak_token_box:task09_retrieve_menu_text	0																						
quest.task.ground.comm_player			0			0			rohak_token_box_02a	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											@quest/ground/rohak_token_box:task10_comm_message_text	object/mobile/dressed_fs_village_elder.iff																				
quest.task.ground.retrieve_item			0			0	12		rohak_token_box_01	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/township/rohak_figurine.iff	1	@quest/ground/rohak_token_box:task11_item_name	100	0	0	0	@quest/ground/rohak_token_box:task11_retrieve_menu_text	0																						
quest.task.ground.comm_player			0			0			rohak_token_box_01a	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											@quest/ground/rohak_token_box:task12_comm_message_text	object/mobile/dressed_fs_village_elder.iff																				
