ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	MIN_TIME	MAX_TIME
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	s	s	i	i	i	i
quest.task.ground.wait_for_signal	@quest/ground/npe_force_sensitive:task00_journal_entry_title	@quest/ground/npe_force_sensitive:task00_journal_entry_description	1			0	1		anger_manage	0				0	none	none				1		1			1	dungeon1	-165.5	0.00999999977648258	134.300003051758	yavin4	cantina	@quest/ground/npe_force_sensitive:task00_waypoint_name	0	0.0	0.0	0.0		npe_anger_managed	0			0		0	0	0	0									
quest.task.ground.comm_player			0			0	2		comm_added	0	sound/music_become_light_jedi.snd			0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/npe_force_sensitive:task01_comm_message_text	object/mobile/dressed_npe_force_trainer.iff							
quest.task.ground.wait_for_signal	@quest/ground/npe_force_sensitive:task02_journal_entry_title	@quest/ground/npe_force_sensitive:task02_journal_entry_description	1			0	3		gotoelevatordown	0				0	none	none				1		1			1	dungeon1	-110	-1	150	yavin4	elevator	@quest/ground/npe_force_sensitive:task02_waypoint_name	0	0.0	0.0	0.0		npe_elevator_main_down	0			0		0	0	0	0									
quest.task.ground.destroy_multi	@quest/ground/npe_force_sensitive:task03_journal_entry_title	@quest/ground/npe_force_sensitive:task03_journal_entry_description	1			0	4		killdroids	0				0	none	none				1		1			1	dungeon1	-150	-29	150	yavin4	droidroom	@quest/ground/npe_force_sensitive:task03_waypoint_name	0	0.0	0.0	0.0											0				npe_crazy_droids		7	0		
quest.task.ground.timer			0			0	5			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																			3	5
quest.task.ground.comm_player			0			0	6		comm1	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/npe_force_sensitive:task05_comm_message_text	object/mobile/dressed_npe_force_trainer.iff							
quest.task.ground.wait_for_signal	@quest/ground/npe_force_sensitive:task06_journal_entry_title	@quest/ground/npe_force_sensitive:task06_journal_entry_description	1			0	7			0				0	none	none				1		1			1	dungeon1	-110	-31	150	yavin4	elevator	@quest/ground/npe_force_sensitive:task06_waypoint_name	0	0.0	0.0	0.0		npe_elevator_droid_up	0			0		0	0	0	0									
quest.task.ground.wait_for_signal	@quest/ground/npe_force_sensitive:task07_journal_entry_title	@quest/ground/npe_force_sensitive:task07_journal_entry_description	1			0	8			0				0	none	none				1		1			1	dungeon1	-110	-1	150	yavin4	elevator	@quest/ground/npe_force_sensitive:task07_waypoint_name	0	0.0	0.0	0.0		npe_elevator_main_up	0			0		0	0	0	0									
quest.task.ground.destroy_multi	@quest/ground/npe_force_sensitive:task08_journal_entry_title	@quest/ground/npe_force_sensitive:task08_journal_entry_description	1			0	9		tanc1	1				0	none	none				1		1			1	dungeon1	-156	29	150	yavin4	greenhouse	@quest/ground/npe_force_sensitive:task08_waypoint_name	0	0.0	0.0	0.0											0				greenhouse_insect		7	0		
