ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	MIN_TIME	MAX_TIME	CHANCE_TO_SKIP	MIN_COUNT	MAX_COUNT	MIN_LEVEL_DIFFERENCE	MAX_LEVEL_DIFFERENCE	GROUND_START_COMBAT	BUFF_NAME	DISMOUNT_PLAYER	MOUNT_BLOCK_DURATION	SHIP_TYPE	SHIP_MIN_COUNT	SHIP_MAX_COUNT	SPACE_START_COMBAT	HYPERSPACE_BLOCK_DURATION	MIN_START_DELAY	MAX_START_DELAY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	s	i	i	i	i	s	s	b	s	s	s	s	f	f	f	s	s	s	i	i	i	s	s	i	i	i	i	i	i	i	b	s	b	i	s	i	i	b	i	i	i
quest.task.ground.nothing			0			0	1			0				0	none	none				1		1	workingForProgryn		0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																														
quest.task.ground.go_to_location	@quest/ground/tatooine_24_azure_cabal_top_world_01:task01_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_top_world_01:task01_journal_entry_description	1			0	2,14		tatooine_24_azure_cabal_top_world_01_goto_north_tower	0				0	none	none				1		1			1	tatooine	-6201	238	-4255			@quest/ground/tatooine_24_azure_cabal_top_world_01:task01_waypoint_name	0	0.0	0.0	0.0		10.0	0																																											
quest.task.ground.retrieve_item	@quest/ground/tatooine_24_azure_cabal_top_world_01:task02_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_top_world_01:task02_journal_entry_description	1			0	3,10,11,12,13		tatooine_24_azure_cabal_top_world_01_bug_north_tower	0				0	none	none				1		1			1	tatooine	-6201	238	-4255			@quest/ground/tatooine_24_azure_cabal_top_world_01:task02_waypoint_name	0	0.0	0.0	0.0			0	object/tangible/quest/tatooine_ac_antenna_01.iff	1	@quest/ground/tatooine_24_azure_cabal_top_world_01:task02_item_name	100	0	0	5	@quest/ground/tatooine_24_azure_cabal_top_world_01:task02_retrieve_menu_text																																			
quest.task.ground.wait_for_signal	@quest/ground/tatooine_24_azure_cabal_top_world_01:task03_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_top_world_01:task03_journal_entry_description	1			0	4,8		tatooine_24_azure_cabal_top_world_01_waitforsignal1_north_tower	0				0	none	none				1		1			1	tatooine	-6201	238	-4255			@quest/ground/tatooine_24_azure_cabal_top_world_01:task03_waypoint_name	0	0.0	0.0	0.0			0									tatooine_24_azure_cabal_top_world_01_timer1_north_tower	0			0		0	0	0																										
quest.task.ground.retrieve_item	@quest/ground/tatooine_24_azure_cabal_top_world_01:task04_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_top_world_01:task04_journal_entry_description	1			0	6	5	tatooine_24_azure_cabal_top_world_01_reset_north_tower	1				0	none	none				1		1	completedPorgrynTOW		1	tatooine	-6201	238	-4255			@quest/ground/tatooine_24_azure_cabal_top_world_01:task04_waypoint_name	0	0.0	0.0	0.0			120	object/tangible/quest/tatooine_ac_antenna_01.iff	1	@quest/ground/tatooine_24_azure_cabal_top_world_01:task04_item_name	100	0	0	3	@quest/ground/tatooine_24_azure_cabal_top_world_01:task04_retrieve_menu_text																																			
quest.task.ground.clear_quest			0			0			tatooine_24_azure_cabal_top_world_01_fail	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																														
quest.task.ground.wait_for_signal	@quest/ground/tatooine_24_azure_cabal_top_world_01:task06_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_top_world_01:task06_journal_entry_description	1			0	7		tatooine_24_azure_cabal_top_world_01_waitforsignal2_north_tower	0				0	none	none				1		1	endorsedByProgryn		1	tatooine	-5144	75	-6617			@quest/ground/tatooine_24_azure_cabal_top_world_01:task06_waypoint_name	0	0.0	0.0	0.0			0									tatooine_24_azure_cabal_top_world_01_return_to_porgryn	0			0		0	0	0																										
quest.task.ground.complete_quest			0			0			tatooine_24_azure_cabal_top_world_01_fail	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																														
quest.task.ground.comm_player			0			0	9		tatooine_24_azure_cabal_top_world_01_comm2_north_tower	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																					@quest/ground/tatooine_24_azure_cabal_top_world_01:task08_comm_message_text	object/mobile/naboo_porgryn.iff																								
