ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	i	i	s	i	i	i	s	s	s	s	s	s	i	i	i	s	i	s	i	s	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s
quest.task.ground.wait_for_signal	@quest/ground/c_story1_4b_imperial:task00_journal_entry_title	@quest/ground/c_story1_4b_imperial:task00_journal_entry_description	1			0	1		imp_headguard	1							1		1			1	rori	-6166	0	-5431			@quest/ground/c_story1_4b_imperial:task00_waypoint_name	c_story1_4b_imperial_guard1	0			0		0	0	0	0																																						
quest.task.ground.timer			0			0	2			0							1		1			0	tatooine	0.0	0.0	0.0														3	8																																				
quest.task.ground.encounter	@quest/ground/c_story1_4b_imperial:task02_journal_entry_title	@quest/ground/c_story1_4b_imperial:task02_journal_entry_description	1			0	3	15	ambush1	1							1		1			0	tatooine	0.0	0.0	0.0													0			global_mercenary_strong	5	0	1	0.0	0.0																														
quest.task.ground.encounter	@quest/ground/c_story1_4b_imperial:task03_journal_entry_title	@quest/ground/c_story1_4b_imperial:task03_journal_entry_description	1			0	4	14	ambush2	1							1		1			0	tatooine	0.0	0.0	0.0													0			global_mercenary_elite	1	0	1	0.0	0.0																														
quest.task.ground.wait_for_signal	@quest/ground/c_story1_4b_imperial:task04_journal_entry_title	@quest/ground/c_story1_4b_imperial:task04_journal_entry_description	1			0	5		imp_headguard2	1							1		1			1	rori	-6166	0.0	-5431				c_story1_4b_imperial_guard2	0			0		0	0	0	0																																						
quest.task.ground.wait_for_signal	@quest/ground/c_story1_4b_imperial:task05_journal_entry_title	@quest/ground/c_story1_4b_imperial:task05_journal_entry_description	1			0	12	6	imp_choice	1							1		1			1	rori	-5249	0.0	-2274			@quest/ground/c_story1_4b_imperial:task05_waypoint_name	c_story1_4b_imperial_oppcontact	0			0		0	0	0	0																																						
quest.task.ground.wait_for_signal	@quest/ground/c_story1_4b_imperial:task06_journal_entry_title	@quest/ground/c_story1_4b_imperial:task06_journal_entry_description	1			0	7		imperial_nobribe	1							1		1			1	rori	5369	0.0	5642			@quest/ground/c_story1_4b_imperial:task06_waypoint_name	c_story1_4b_imperial_nobribe	0			0		0	0	0	0																																						
quest.task.ground.destroy_multi_and_loot	@quest/ground/c_story1_4b_imperial:task07_journal_entry_title	@quest/ground/c_story1_4b_imperial:task07_journal_entry_description	1			0	8		killboss	1							1		1			1	rori	-6750	0.0	-6798			@quest/ground/c_story1_4b_imperial:task07_waypoint_name										0									c_syren_4_reb_boss			Computer Codes	1	100	0																							
quest.task.ground.retrieve_item	@quest/ground/c_story1_4b_imperial:task08_journal_entry_title	@quest/ground/c_story1_4b_imperial:task08_journal_entry_description	1			0	9		retrievething	1							1		1			1	rori	-6750	0.0	-6798			@quest/ground/c_story1_4b_imperial:task08_waypoint_name										0																object/tangible/furniture/all/frn_all_command_console.iff	1	@quest/ground/c_story1_4b_imperial:task08_item_name	100	@quest/ground/c_story1_4b_imperial:task08_retrieve_menu_text																		
