ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	s	s	s	s	i	i	i	i	s	i	i	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing			0			0	1,2,3			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																			
quest.task.ground.destroy_multi	@quest/ground/naboo_boss_nass_artifacts_skaak:task01_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_skaak:task01_journal_entry_description	1			0			boss_nass_artifacts_skaak_02	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		naboo_skaak_tipper_raider			9	0	0																																												
quest.task.ground.destroy_multi	@quest/ground/naboo_boss_nass_artifacts_skaak:task02_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_skaak:task02_journal_entry_description	1			0			boss_nass_artifacts_skaak_01	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		naboo_skaak_tipper_pariah			11	0	0																																												
quest.task.ground.wait_for_tasks	@quest/ground/naboo_boss_nass_artifacts_skaak:task03_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_skaak:task03_journal_entry_description	1			0	4,10		boss_nass_artifacts_skaak_00	0							1		1			1	naboo	-1642.40002441406	5.80000019073486	-5355.7001953125			@quest/ground/naboo_boss_nass_artifacts_skaak:task03_waypoint_name	0	0.0	0.0	0.0							0	quest/naboo_boss_nass_artifacts_skaak	boss_nass_artifacts_skaak_01	@quest/ground/naboo_boss_nass_artifacts_skaak:task03_task_display_string_1	quest/naboo_boss_nass_artifacts_skaak	boss_nass_artifacts_skaak_02	@quest/ground/naboo_boss_nass_artifacts_skaak:task03_task_display_string_2																																						
quest.task.ground.destroy_multi	@quest/ground/naboo_boss_nass_artifacts_skaak:task04_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_skaak:task04_journal_entry_description	1			0	5		boss_nass_artifacts_skaak_03	1							1		1			1	naboo	-1642.40002441406	5.80000019073486	-5355.7001953125			@quest/ground/naboo_boss_nass_artifacts_skaak:task04_waypoint_name	0	0.0	0.0	0.0		naboo_skaak_tipper_tomi_skaak			1	0	0																																												
quest.task.ground.comm_player			0			0	6			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																										@quest/ground/naboo_boss_nass_artifacts_skaak:task05_comm_message_text	object/mobile/boss_nass.iff																								
quest.task.ground.retrieve_item	@quest/ground/naboo_boss_nass_artifacts_skaak:task06_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_skaak:task06_journal_entry_description	1			0	7		boss_nass_artifacts_skaak_04	1							1		1			1	naboo	-1642.40002441406	5.80000019073486	-5355.7001953125			@quest/ground/naboo_boss_nass_artifacts_skaak:task06_waypoint_name	0	0.0	0.0	0.0							0																					object/tangible/quest/naboo_boss_nass_gungan_artifact_hidden.iff	1	@quest/ground/naboo_boss_nass_artifacts_skaak:task06_item_name	100	@quest/ground/naboo_boss_nass_artifacts_skaak:task06_retrieve_menu_text																			
quest.task.ground.show_message_box			0			0	8		boss_nass_artifacts_skaak_05	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																	@quest/ground/naboo_boss_nass_artifacts_skaak:task07_message_box_title	@quest/ground/naboo_boss_nass_artifacts_skaak:task07_message_box_text		-1	-1	-1	-1												
quest.task.ground.destroy_multi_and_loot	@quest/ground/naboo_boss_nass_artifacts_skaak:task08_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_skaak:task08_journal_entry_description	1			0	9		boss_nass_artifacts_skaak_06	1							1		1			1	naboo	4557.39990234375	93.1999969482422	-935.599975585938			@quest/ground/naboo_boss_nass_artifacts_skaak:task08_waypoint_name	0	0.0	0.0	0.0		naboo_skaak_tipper_dee_skaak				0	0																																	a Gungan artifact	1	100									
