ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SIGNAL_NAME	NUM_REQUIRED	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	b	s	s	s	s	f	f	f	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
quest.task.ground.go_to_location	@quest/ground/u16_nym_themepark_pirate_hideout:task00_journal_entry_title	@quest/ground/u16_nym_themepark_pirate_hideout:task00_journal_entry_description	1			0	1		travelHideout	0				0	none	none				1		1			1	lok	-3024	11	-671			@quest/ground/u16_nym_themepark_pirate_hideout:task00_waypoint_name	0	0	0	0		10.0	0																												
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_pirate_hideout:task01_journal_entry_title	@quest/ground/u16_nym_themepark_pirate_hideout:task01_journal_entry_description	1			0	2,6,7,8		findSecuritySystem	0				0	none	none				1		1			1	lok	-3024	11	-671			@quest/ground/u16_nym_themepark_pirate_hideout:task01_waypoint_name	0	0.0	0.0	0.0			0	hasFoundSecuritySystem	1	0			0		0	0	0																		
quest.task.ground.wait_for_tasks	@quest/ground/u16_nym_themepark_pirate_hideout:task02_journal_entry_title	@quest/ground/u16_nym_themepark_pirate_hideout:task02_journal_entry_description	1			0	3		helpSliceSecurity	0				0	none	none				1		1			1	lok	-3024	11	-671			@quest/ground/u16_nym_themepark_pirate_hideout:task02_waypoint_name	0	0.0	0.0	0.0			0											quest/u16_nym_themepark_pirate_hideout	colorWheel	@quest/ground/u16_nym_themepark_pirate_hideout:task02_task_display_string_1	quest/u16_nym_themepark_pirate_hideout	joke	@quest/ground/u16_nym_themepark_pirate_hideout:task02_task_display_string_2	quest/u16_nym_themepark_pirate_hideout	number	@quest/ground/u16_nym_themepark_pirate_hideout:task02_task_display_string_3									
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_pirate_hideout:task03_journal_entry_title	@quest/ground/u16_nym_themepark_pirate_hideout:task03_journal_entry_description	1			0	4		findDroidDisk	0				0	none	none				1		1			1	lok	-3024	11	-671			@quest/ground/u16_nym_themepark_pirate_hideout:task03_waypoint_name	0	0.0	0.0	0.0			0	hasFoundDroidDisk	1	0			0		0	0	0																		
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_pirate_hideout:task04_journal_entry_title	@quest/ground/u16_nym_themepark_pirate_hideout:task04_journal_entry_description	1			0	5		returnPirateComplete	0				0	none	none				1		1			1	lok	475	13	4828			@quest/ground/u16_nym_themepark_pirate_hideout:task04_waypoint_name	0	0.0	0.0	0.0			0	hasCompletedPirate	1	0			0		0	0	0																		
quest.task.ground.complete_quest			0			0			complete	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																															
quest.task.ground.wait_for_signal			0			0			number	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	numberDone	1	0			0		0	0	0																		
quest.task.ground.wait_for_signal			0			0			joke	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	jokeDone	1	0			0		0	0	0																		
quest.task.ground.wait_for_signal			0			0			colorWheel	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	colorWheelDone	1	0			0		0	0	0																		
