ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	MIN_TIME	MAX_TIME	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	REWARD_CREDITS	ITEM_TO_GIVE	NUM_TO_GIVE	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	i	i	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s	s	i	s	i	s	i	s	s	s	i	s	i	s	i	i
quest.task.ground.comm_player	@quest/ground/c_bounty_hunter_kill_2:task00_journal_entry_title		0			0	1		bounty_hunter_kill_2_e1	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/c_bounty_hunter_kill_2:task00_comm_message_text	object/mobile/boba_fett.iff																																				
quest.task.ground.timer	@quest/ground/c_bounty_hunter_kill_2:task01_journal_entry_title	@quest/ground/c_bounty_hunter_kill_2:task01_journal_entry_description	1			0	2		bounty_hunter_kill_2_e2	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				12	17																																		
quest.task.ground.comm_player	@quest/ground/c_bounty_hunter_kill_2:task02_journal_entry_title	@quest/ground/c_bounty_hunter_kill_2:task02_journal_entry_description	0			0	3		bounty_hunter_kill_2_e3	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/c_bounty_hunter_kill_2:task02_comm_message_text	object/mobile/gungan_s04_male.iff																																				
quest.task.ground.reward			0			0	4		bounty_hunter_kill_2_e4	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0							0	Rebel	0	0		1	object/tangible/quest/bounty_hunter_2_death.iff	1		1	0.1	0.1	0.1	0.1		1	0.1																
quest.task.ground.retrieve_item	@quest/ground/c_bounty_hunter_kill_2:task04_journal_entry_title	@quest/ground/c_bounty_hunter_kill_2:task04_journal_entry_description	1			0	5		bounty_hunter_kill_2_e5	0							1		1			1	naboo	5721	0.0	6601			@quest/ground/c_bounty_hunter_kill_2:task04_waypoint_name	0	0.0	0.0	0.0																									object/tangible/quest/bounty_hunter_2_datapad.iff	1	@quest/ground/c_bounty_hunter_kill_2:task04_item_name	100	@quest/ground/c_bounty_hunter_kill_2:task04_retrieve_menu_text	0									
quest.task.ground.comm_player			0			0	6		bounty_hunter_kill_2_e6	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/c_bounty_hunter_kill_2:task05_comm_message_text	object/mobile/gungan_s04_male.iff																																				
quest.task.ground.destroy_multi	@quest/ground/c_bounty_hunter_kill_2:task06_journal_entry_title	@quest/ground/c_bounty_hunter_kill_2:task06_journal_entry_description	1			0	7		bounty_hunter_kill_2_e7	0							1		1			1	naboo	5235	0.0	6345			@quest/ground/c_bounty_hunter_kill_2:task06_waypoint_name	0	0.0	0.0	0.0														15																0		borvo		0					
quest.task.ground.comm_player	@quest/ground/c_bounty_hunter_kill_2:task07_journal_entry_title		0			0	8		bounty_hunter_kill_2_e8	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/c_bounty_hunter_kill_2:task07_comm_message_text	object/mobile/gungan_s04_male.iff																																				
quest.task.ground.give_item	@quest/ground/c_bounty_hunter_kill_2:task08_journal_entry_title	@quest/ground/c_bounty_hunter_kill_2:task08_journal_entry_description	1			0	9		bounty_hunter_kill_2_e9	0							1		1			1	naboo	5225.5	-195.5	6362.2998046875			@quest/ground/c_bounty_hunter_kill_2:task08_waypoint_name	0	0.0	0.0	0.0																														0					object/tangible/quest/bounty_hunter_2_death.iff	1			
