ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	ITEM_TO_GIVE	NUM_TO_GIVE	CREATE_ITEM	DESTROY_ITEM	REMAINING_TIME	FAIL_ON_LOGOUT	TRAVEL_BLOCK	TRAVEL_BLOCK_ALLOW_LAUNCH	TEXT_TYPE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	s	s	i	b	b	i	b	b	b	e(give=0,deliver=1)[give]	s	s	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s
quest.task.ground.nothing	@quest/ground/legacy_head_runaway:task00_journal_entry_title		0			0	1		legacy_head_ground_e910	0				0	none	none			legacy_head_runaway_painbolts	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																																
quest.task.ground.go_to_location	@quest/ground/legacy_head_runaway:task01_journal_entry_title	@quest/ground/legacy_head_runaway:task01_journal_entry_description	1			0	2,13		legacy_head_runaway_e89	1				0	none	none				1		1			1	tatooine	-247.100006103516	76.8000030517578	-6933.2001953125	tatooine	r1	@quest/ground/legacy_head_runaway:task01_waypoint_name	0	0.0	0.0	0.0		3	0																																																													
quest.task.ground.comm_player			0			0	3,5,7,9		legacy_head_runaway_e895	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/legacy_head_runaway:task02_comm_message_text	object/mobile/ev_9d9.iff																																																											
quest.task.ground.give_item	@quest/ground/legacy_head_runaway:task03_journal_entry_title	@quest/ground/legacy_head_runaway:task03_journal_entry_description	1			0	4		legacy_head_runaway3_e1	1				0	none	none				1		1			1	tatooine	-337.399993896484	4.09999990463257	-7298.10009765625	tatooine	roomab	@quest/ground/legacy_head_runaway:task03_waypoint_name	0	0.0	0.0	0.0			0			object/tangible/quest/legacy_head_pain3.iff	1	0	0	0	0	0	0	give																																																		
quest.task.ground.destroy_multi	@quest/ground/legacy_head_runaway:task04_journal_entry_title	@quest/ground/legacy_head_runaway:task04_journal_entry_description	1			0			legacy_head_runaway3_e2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0												legacy_ra_droid			1	0																																													
quest.task.ground.give_item	@quest/ground/legacy_head_runaway:task05_journal_entry_title	@quest/ground/legacy_head_runaway:task05_journal_entry_description	1			0	6		legacy_head_runaway2_e1	1				0	none	none				1		1			1	tatooine	-254	-3.59999990463257	-7325.2998046875	tatooine	roomab	@quest/ground/legacy_head_runaway:task05_waypoint_name	0	0.0	0.0	0.0			0			object/tangible/quest/legacy_head_pain2.iff	1	0	0	0	0	0	0	give																																																		
quest.task.ground.destroy_multi	@quest/ground/legacy_head_runaway:task06_journal_entry_title	@quest/ground/legacy_head_runaway:task06_journal_entry_description	1			0			legacy_head_runaway2_e2	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0												legacy_lin34_droid			1	0																																													
quest.task.ground.give_item	@quest/ground/legacy_head_runaway:task07_journal_entry_title	@quest/ground/legacy_head_runaway:task07_journal_entry_description	1			0	8		legacy_head_runaway1_e1	1				0	none	none				1		1			1	tatooine	-129.5	-27.1000003814697	-7314.39990234375	tatooine	roomaabb	@quest/ground/legacy_head_runaway:task07_waypoint_name	0	0.0	0.0	0.0			0			object/tangible/quest/legacy_head_pain1.iff	1	0	0	0	0	0	0	give																																																		
quest.task.ground.destroy_multi	@quest/ground/legacy_head_runaway:task08_journal_entry_title	@quest/ground/legacy_head_runaway:task08_journal_entry_description	1			0			legacy_head_runaway1_e2	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0												legacy_r3_droid			1	0																																													
quest.task.ground.wait_for_tasks	@quest/ground/legacy_head_runaway:task09_journal_entry_title		0			0	10		legacy_head_runaway_e90	1				0	none	none				1		1	droidsAllDead		0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																	quest/legacy_head_runaway	legacy_head_runaway1_e2	@quest/ground/legacy_head_runaway:task09_task_display_string_1	quest/legacy_head_runaway	legacy_head_runaway2_e2	@quest/ground/legacy_head_runaway:task09_task_display_string_2	quest/legacy_head_runaway	legacy_head_runaway3_e2	@quest/ground/legacy_head_runaway:task09_task_display_string_3																																				
quest.task.ground.comm_player			0			0	11		legacy_head_runaway_e915	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/legacy_head_runaway:task10_comm_message_text	object/mobile/ev_9d9.iff																																																											
quest.task.ground.wait_for_signal	@quest/ground/legacy_head_runaway:task11_journal_entry_title	@quest/ground/legacy_head_runaway:task11_journal_entry_description	1			0	12		legacy_head_runaway_e91	0				0	none	none				1		1			1	tatooine	-5901.89990234375	90.0999984741211	-6263	tatooine	droidtorture	@quest/ground/legacy_head_runaway:task11_waypoint_name	0	0.0	0.0	0.0			0																																			legacy_head_ground_launch_e92	0			0		0	0	0																		
quest.task.ground.reward			0			0			legacy_head_runaway_e92	0				0	none	none			legacy_together_2	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																		1																														0	Rebel	0	0		1	object/tangible/loot/simple_kit/legacy_droid_head.iff		1	0.1	0.1	0.1	0.1		1	0.1	
quest.task.ground.wait_for_signal	@quest/ground/legacy_head_runaway:task13_journal_entry_title	@quest/ground/legacy_head_runaway:task13_journal_entry_description	1			0			locationOfCache	0				0	none	none				1		1			1	tatooine	-247.100006103516	76.8000030517578	-6933.2001953125	tatooine	r1	@quest/ground/legacy_head_runaway:task13_waypoint_name	0	0.0	0.0	0.0			0																																			droidsAllDead	0			0		0	0	0																		
