ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	i	i	s	i	i	i	s	s	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s	s	s	s	s	i	i	i	s	i	s	i	s
quest.task.ground.wait_for_signal	@quest/ground/c_story1_4b_rebel:task00_journal_entry_title	@quest/ground/c_story1_4b_rebel:task00_journal_entry_description	1			0	1		rebel_headguard1	1							1		1			1	rori	-5082	0.0	4739			@quest/ground/c_story1_4b_rebel:task00_waypoint_name	c_story1_4b_rebel_guard1	0			0		0	0	0	0																																						
quest.task.ground.timer			0			0	2			0							1		1			0	tatooine	0.0	0.0	0.0														3	5																																				
quest.task.ground.encounter	@quest/ground/c_story1_4b_rebel:task02_journal_entry_title	@quest/ground/c_story1_4b_rebel:task02_journal_entry_description	1			0	4	3	ambush1	1							1		1			0	tatooine	0.0	0.0	0.0													0			global_mercenary_strong	5	0	1	0.0	0.0																														
quest.task.ground.clear_quest	@quest/ground/c_story1_4b_rebel:task03_journal_entry_title		1			0				1						quest/c_story1_4b_rebel	1		1			0	tatooine	0.0	0.0	0.0																																																			
quest.task.ground.encounter	@quest/ground/c_story1_4b_rebel:task04_journal_entry_title	@quest/ground/c_story1_4b_rebel:task04_journal_entry_description	1			0	5	15	ambush2	1							1		1			0	tatooine	0.0	0.0	0.0													0			global_mercenary_elite	1	0	1	0.0	0.0																														
quest.task.ground.wait_for_signal	@quest/ground/c_story1_4b_rebel:task05_journal_entry_title	@quest/ground/c_story1_4b_rebel:task05_journal_entry_description	1			0	6		rebel_headguard2	1							1		1			1	rori	-5082	0.0	4739			@quest/ground/c_story1_4b_rebel:task05_waypoint_name	c_story1_4b_rebel_guard2	0			0		0	0	0	0																																						
quest.task.ground.wait_for_signal	@quest/ground/c_story1_4b_rebel:task06_journal_entry_title	@quest/ground/c_story1_4b_rebel:task06_journal_entry_description	1			0	7	9	reb_choice	1							1		1			1	rori	5369	0.0	5642			@quest/ground/c_story1_4b_rebel:task06_waypoint_name	c_story1_4b_rebel_oppcontact	0			0		0	0	0	0																																						
quest.task.ground.wait_for_signal	@quest/ground/c_story1_4b_rebel:task07_journal_entry_title	@quest/ground/c_story1_4b_rebel:task07_journal_entry_description	1			0	8		getinfo	1							1		1			1	rori	-5249	0.0	-2274			@quest/ground/c_story1_4b_rebel:task07_waypoint_name	c_story1_4b_rebel_infogained	0			0		0	0	0	0																																						
quest.task.ground.reward	@quest/ground/c_story1_4b_rebel:task08_journal_entry_title	@quest/ground/c_story1_4b_rebel:task08_journal_entry_description	1			0				1							1		1			0	tatooine	0.0	0.0	0.0																	1						0	Rebel	500	5000		1		object/weapon/ranged/carbine/carbine_specops_bothan_carbine.iff	1	1	1	1	1		1	0.1													
quest.task.ground.wait_for_signal	@quest/ground/c_story1_4b_rebel:task09_journal_entry_title	@quest/ground/c_story1_4b_rebel:task09_journal_entry_description	1			0	10		rebel_nobribe	1							1		1			1	rori	-5249	0.0	-2274			@quest/ground/c_story1_4b_rebel:task09_waypoint_name	c_story1_4b_rebel_nobribe	0			0		0	0	0	0																																						
quest.task.ground.destroy_multi_and_loot	@quest/ground/c_story1_4b_rebel:task10_journal_entry_title	@quest/ground/c_story1_4b_rebel:task10_journal_entry_description	1			0	11		killboss	1							1		1			1	rori	-6297	0.0	4584			@quest/ground/c_story1_4b_rebel:task10_waypoint_name										0																											c_syren_4_imp_boss			Computer Codes	1	100	0					
quest.task.ground.retrieve_item	@quest/ground/c_story1_4b_rebel:task11_journal_entry_title	@quest/ground/c_story1_4b_rebel:task11_journal_entry_description	1			0	12		retrieveinfo	1							1		1			1	rori	-6297	0.0	4584			@quest/ground/c_story1_4b_rebel:task11_waypoint_name										0																																		object/tangible/furniture/all/frn_all_command_console.iff	1	@quest/ground/c_story1_4b_rebel:task11_item_name	100	@quest/ground/c_story1_4b_rebel:task11_retrieve_menu_text
quest.task.ground.wait_for_signal	@quest/ground/c_story1_4b_rebel:task12_journal_entry_title	@quest/ground/c_story1_4b_rebel:task12_journal_entry_description	1			0	13		rebel_blackmail	1							1		1			1	rori	5369	0.0	5642			@quest/ground/c_story1_4b_rebel:task12_waypoint_name	c_story1_4b_rebel_blackmail	0			0		0	0	0	0																																						
quest.task.ground.wait_for_signal	@quest/ground/c_story1_4b_rebel:task13_journal_entry_title	@quest/ground/c_story1_4b_rebel:task13_journal_entry_description	1			0	14		rebel_space	0							1		1			1	rori	-5249	0.0	-2274			@quest/ground/c_story1_4b_rebel:task13_waypoint_name	c_story1_4b_rebel_infogained2	0			0		0	0	0	0																																						
quest.task.ground.reward	@quest/ground/c_story1_4b_rebel:task14_journal_entry_title	@quest/ground/c_story1_4b_rebel:task14_journal_entry_description	1			0				1							1		1			0	tatooine	0.0	0.0	0.0																	1						0	Rebel	500	5000		1		object/weapon/ranged/carbine/carbine_specops_bothan_carbine.iff	1	1	1	1	1		1	0.1													
quest.task.ground.clear_quest	@quest/ground/c_story1_4b_rebel:task15_journal_entry_title		1			0				1						quest/c_story1_4b_rebel	1		1			0	tatooine	0.0	0.0	0.0																																																			
