ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	MIN_TIME	MAX_TIME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	RADIUS	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	ITEM_TO_GIVE	NUM_TO_GIVE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	REWARD_CREDITS	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	i	i	s	s	s	i	s	i	s	i	s	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s	s	i	s	s	s	i	s	b	s	s	s	s	f	f	f
quest.task.ground.timer			0			0	1		legacy_head_remodel_e0	0							1		1			0	tatooine	0.0	0.0	0.0				20	25																																											
quest.task.ground.comm_player	@quest/ground/legacy_head_remodel:task01_journal_entry_title		0			0	2		legacy_head_remodel_e1	0							1		1			0	tatooine	0.0	0.0	0.0						@quest/ground/legacy_head_remodel:task01_comm_message_text	object/mobile/ev_9d9.iff																																									
quest.task.ground.go_to_location	@quest/ground/legacy_head_remodel:task02_journal_entry_title	@quest/ground/legacy_head_remodel:task02_journal_entry_description	1			0	3		legacy_head_remodel_e11	0							1		1			1	tatooine	-1764	0.0	-3329			@quest/ground/legacy_head_remodel:task02_waypoint_name					30	0																																							
quest.task.ground.comm_player	@quest/ground/legacy_head_remodel:task03_journal_entry_title		0			0	4		legacy_head_remodel_e12	0							1		1			0	tatooine	0.0	0.0	0.0						@quest/ground/legacy_head_remodel:task03_comm_message_text	object/mobile/ev_9d9.iff																																									
quest.task.ground.retrieve_item	@quest/ground/legacy_head_remodel:task04_journal_entry_title	@quest/ground/legacy_head_remodel:task04_journal_entry_description	1			0	5		legacy_head_remodel_e4	1							1		1			1	tatooine	-1783	0.0	-3314			@quest/ground/legacy_head_remodel:task04_waypoint_name						0	object/tangible/quest/legacy_head_cargo.iff	1	@quest/ground/legacy_head_remodel:task04_item_name	100	@quest/ground/legacy_head_remodel:task04_retrieve_menu_text																																		
quest.task.ground.comm_player	@quest/ground/legacy_head_remodel:task05_journal_entry_title		0			0	6		legacy_head_remodel_e41	0							1		1			0	tatooine	0.0	0.0	0.0						@quest/ground/legacy_head_remodel:task05_comm_message_text	object/mobile/ev_9d9.iff																																									
quest.task.ground.reward	@quest/ground/legacy_head_remodel:task06_journal_entry_title	@quest/ground/legacy_head_remodel:task06_journal_entry_description	1			0	7		legacy_head_remodel_e101	1							1		1			0	tatooine	-1740	0.0	-3330			@quest/ground/legacy_head_remodel:task06_waypoint_name													0	Rebel	0	0		1	object/tangible/quest/legacy_head_chip.iff	1		1	0.1	0.1	0.1	0.1		1	0.1																
quest.task.ground.give_item	@quest/ground/legacy_head_remodel:task07_journal_entry_title	@quest/ground/legacy_head_remodel:task07_journal_entry_description	1			0	8		legacy_head_remodel_e5	1							1		1			0	tatooine	0.0	0.0	0.0									0																									object/tangible/quest/legacy_head_chip.iff	1													
quest.task.ground.comm_player	@quest/ground/legacy_head_remodel:task08_journal_entry_title		0			0	9		legacy_head_remodel_e51	0							1		1			0	tatooine	0.0	0.0	0.0						@quest/ground/legacy_head_remodel:task08_comm_message_text	object/mobile/ev_9d9.iff																																									
