ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	MIN_TIME	MAX_TIME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	i	i	s	i	s	i	i	i	i	s	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.comm_player			0			0	1		comm3	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/outbreak_quest_facility_03:task00_comm_message_text	object/mobile/dressed_twi_female_scientist_01.iff																																						
quest.task.ground.timer			0			0	2			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				15	15																																				
quest.task.ground.comm_player			0			0	3,4,5,6,7,8,9		pleaseCom	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/outbreak_quest_facility_03:task02_comm_message_text	object/mobile/dressed_twi_female_scientist_01.iff																																						
quest.task.ground.retrieve_item	@quest/ground/outbreak_quest_facility_03:task03_journal_entry_title	@quest/ground/outbreak_quest_facility_03:task03_journal_entry_description	1			0			vent6	0				0	none	none				1		1			1	dathomir	-7323	504	-7519			@quest/ground/outbreak_quest_facility_03:task03_waypoint_name	0	0.0	0.0	0.0						object/tangible/quest/outbreak/outbreak_facility_vent_06.iff	1	@quest/ground/outbreak_quest_facility_03:task03_item_name	100	0	0	0	@quest/ground/outbreak_quest_facility_03:task03_retrieve_menu_text	0																											
quest.task.ground.retrieve_item	@quest/ground/outbreak_quest_facility_03:task04_journal_entry_title	@quest/ground/outbreak_quest_facility_03:task04_journal_entry_description	1			0			vent5	0				0	none	none				1		1			1	dathomir	-7414	518	-7552			@quest/ground/outbreak_quest_facility_03:task04_waypoint_name	0	0.0	0.0	0.0						object/tangible/quest/outbreak/outbreak_facility_vent_05.iff	1	@quest/ground/outbreak_quest_facility_03:task04_item_name	100	0	0	0	@quest/ground/outbreak_quest_facility_03:task04_retrieve_menu_text	0																											
quest.task.ground.retrieve_item	@quest/ground/outbreak_quest_facility_03:task05_journal_entry_title	@quest/ground/outbreak_quest_facility_03:task05_journal_entry_description	1			0			vent4	0				0	none	none				1		1			1	dathomir	-7404	518	-7443			@quest/ground/outbreak_quest_facility_03:task05_waypoint_name	0	0.0	0.0	0.0						object/tangible/quest/outbreak/outbreak_facility_vent_04.iff	1	@quest/ground/outbreak_quest_facility_03:task05_item_name	100	0	0	0	@quest/ground/outbreak_quest_facility_03:task05_retrieve_menu_text	0																											
quest.task.ground.retrieve_item	@quest/ground/outbreak_quest_facility_03:task06_journal_entry_title	@quest/ground/outbreak_quest_facility_03:task06_journal_entry_description	1			0			vent3	0				0	none	none				1		1			1	dathomir	-7318	514	-7497			@quest/ground/outbreak_quest_facility_03:task06_waypoint_name	0	0.0	0.0	0.0						object/tangible/quest/outbreak/outbreak_facility_vent_03.iff	1	@quest/ground/outbreak_quest_facility_03:task06_item_name	100	0	0	0	@quest/ground/outbreak_quest_facility_03:task06_retrieve_menu_text	0																											
quest.task.ground.retrieve_item	@quest/ground/outbreak_quest_facility_03:task07_journal_entry_title	@quest/ground/outbreak_quest_facility_03:task07_journal_entry_description	1			0			vent2	0				0	none	none				1		1			1	dathomir	-7358	549	-7411			@quest/ground/outbreak_quest_facility_03:task07_waypoint_name	0	0.0	0.0	0.0						object/tangible/quest/outbreak/outbreak_facility_vent_02.iff	1	@quest/ground/outbreak_quest_facility_03:task07_item_name	100	0	0	0	@quest/ground/outbreak_quest_facility_03:task07_retrieve_menu_text	0																											
quest.task.ground.retrieve_item	@quest/ground/outbreak_quest_facility_03:task08_journal_entry_title	@quest/ground/outbreak_quest_facility_03:task08_journal_entry_description	1			0			vent1	0				0	none	none				1		1			1	dathomir	-7393	537	-7481			@quest/ground/outbreak_quest_facility_03:task08_waypoint_name	0	0.0	0.0	0.0						object/tangible/quest/outbreak/outbreak_facility_vent.iff	1	@quest/ground/outbreak_quest_facility_03:task08_item_name	100	0	0	0	@quest/ground/outbreak_quest_facility_03:task08_retrieve_menu_text	0																											
