ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	s	i	s	i	s	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.go_to_location	@quest/ground/build_speeder:task00_journal_entry_title	@quest/ground/build_speeder:task00_journal_entry_description	1			0	1			1							1		1	1	tatooine	4030	5	-4779			@quest/ground/build_speeder:task00_waypoint_name	10.0	0																
quest.task.ground.retrieve_item	@quest/ground/build_speeder:task01_journal_entry_title	@quest/ground/build_speeder:task01_journal_entry_description	1			0	2			1							1		1	0	tatooine	0.0	0.0	0.0					0	object/tangible/quest/speeder_junk_engine.iff	1	@quest/ground/build_speeder:task01_item_name	100	@quest/ground/build_speeder:task01_retrieve_menu_text											
quest.task.ground.comm_player			0			0	3			0							1		1	0	tatooine	0.0	0.0	0.0											@quest/ground/build_speeder:task02_comm_message_text	object/mobile/majolnir.iff									
quest.task.ground.retrieve_item	@quest/ground/build_speeder:task03_journal_entry_title	@quest/ground/build_speeder:task03_journal_entry_description	1			0	4			1							1		1	1	tatooine	4085	9	-4761			@quest/ground/build_speeder:task03_waypoint_name		0	object/tangible/quest/speeder_junk_power.iff	1	@quest/ground/build_speeder:task03_item_name	100	@quest/ground/build_speeder:task03_retrieve_menu_text											
quest.task.ground.comm_player			0			0	5			1							1		1	0	tatooine	0.0	0.0	0.0											@quest/ground/build_speeder:task04_comm_message_text	object/mobile/majolnir.iff									
quest.task.ground.retrieve_item	@quest/ground/build_speeder:task05_journal_entry_title	@quest/ground/build_speeder:task05_journal_entry_description	1			0	6			1							1		1	1	tatooine	4055	5	-4768			@quest/ground/build_speeder:task05_waypoint_name		0	object/tangible/quest/speeder_junk_steering.iff	1	@quest/ground/build_speeder:task05_item_name	100	@quest/ground/build_speeder:task05_retrieve_menu_text											
quest.task.ground.comm_player			0			0	7			0							1		1	0	tatooine	0.0	0.0	0.0											@quest/ground/build_speeder:task06_comm_message_text	object/mobile/majolnir.iff									
quest.task.ground.go_to_location	@quest/ground/build_speeder:task07_journal_entry_title	@quest/ground/build_speeder:task07_journal_entry_description	1			0	8			1							1		1	1	tatooine	3567	14	-4459			@quest/ground/build_speeder:task07_waypoint_name	10.0	0																
quest.task.ground.comm_player			0			0	9			0							1		1	0	tatooine	0.0	0.0	0.0											@quest/ground/build_speeder:task08_comm_message_text	object/mobile/majolnir.iff									
quest.task.ground.retrieve_item	@quest/ground/build_speeder:task09_journal_entry_title	@quest/ground/build_speeder:task09_journal_entry_description	1			0	10			0							1		1	0	tatooine	0.0	0.0	0.0					0	object/tangible/quest/speeder_debris_wiring.iff	1	@quest/ground/build_speeder:task09_item_name	100	@quest/ground/build_speeder:task09_retrieve_menu_text											
quest.task.ground.wait_for_signal	@quest/ground/build_speeder:task10_journal_entry_title	@quest/ground/build_speeder:task10_journal_entry_description	1			0			hasAllParts	1							1		1	1	tatooine	3526	5	-4619			@quest/ground/build_speeder:task10_waypoint_name		0								buildingSpeeder	0			0		0	0	0
