ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	i	s	i	s	s	s	s	i	i	i	i	s	s	s	i	i	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_the_informant:task00_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_informant:task00_journal_entry_description	1			0	1		the_informant_0	1							1		1			1	corellia	-211	28	-4506			@quest/ground/corellia_coronet_capitol_problems_the_informant:task00_waypoint_name	the_informant_0	0			0		0	0	0	0																																			
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_the_informant:task01_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_informant:task01_journal_entry_description	1			0	2		the_informant_1	1							1		1			1	corellia	137	28	-4621			@quest/ground/corellia_coronet_capitol_problems_the_informant:task01_waypoint_name	the_informant_1	0			0		0	0	0	0																																			
quest.task.ground.retrieve_item	@quest/ground/corellia_coronet_capitol_problems_the_informant:task02_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_informant:task02_journal_entry_description	1			0	3		the_informant_2	1							1		1			1	corellia	444	3	-4644			@quest/ground/corellia_coronet_capitol_problems_the_informant:task02_waypoint_name										0	object/tangible/quest/corellia_coronet_the_informant_hidden_stash.iff	1	@quest/ground/corellia_coronet_capitol_problems_the_informant:task02_item_name	100	@quest/ground/corellia_coronet_capitol_problems_the_informant:task02_retrieve_menu_text																														
quest.task.ground.show_message_box	@quest/ground/corellia_coronet_capitol_problems_the_informant:task03_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_informant:task03_journal_entry_description	1			0	4		the_informant_3	0							1		1			0	tatooine	0.0	0.0	0.0																			@quest/ground/corellia_coronet_capitol_problems_the_informant:task03_message_box_title	@quest/ground/corellia_coronet_capitol_problems_the_informant:task03_message_box_text		-1	-1	-1	-1																							
quest.task.ground.destroy_multi	@quest/ground/corellia_coronet_capitol_problems_the_informant:task04_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_informant:task04_journal_entry_description	1			0	5		the_informant_4	0							1		1			1	corellia	444	3	-4644			@quest/ground/corellia_coronet_capitol_problems_the_informant:task04_waypoint_name										0														corsec_rogue		5	0																		
quest.task.ground.reward			0			0	6		the_informant_6	1							1		1			0	tatooine	0.0	0.0	0.0																													1			0	Rebel	0	0		1	object/tangible/quest/corellia_coronet_lt_jasper_datapad.iff		1	0.1	0.1	0.1	0.1		1	0.1	
quest.task.ground.show_message_box	@quest/ground/corellia_coronet_capitol_problems_the_informant:task06_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_informant:task06_journal_entry_description	1			0	7		the_informant_5	0							1		1			0	tatooine	0.0	0.0	0.0																			@quest/ground/corellia_coronet_capitol_problems_the_informant:task06_message_box_title	@quest/ground/corellia_coronet_capitol_problems_the_informant:task06_message_box_text		-1	-1	-1	-1																							
quest.task.ground.retrieve_item	@quest/ground/corellia_coronet_capitol_problems_the_informant:task07_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_informant:task07_journal_entry_description	1			0	8		the_informant_7	1							1		1			0	tatooine	0.0	0.0	0.0													0	object/tangible/quest/corellia_coronet_lt_jasper_datapad.iff	1	@quest/ground/corellia_coronet_capitol_problems_the_informant:task07_item_name	100	@quest/ground/corellia_coronet_capitol_problems_the_informant:task07_retrieve_menu_text																														
quest.task.ground.show_message_box	@quest/ground/corellia_coronet_capitol_problems_the_informant:task08_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_informant:task08_journal_entry_description	1			0	9		the_informant_7b	0							1		1			0	tatooine	0.0	0.0	0.0																			@quest/ground/corellia_coronet_capitol_problems_the_informant:task08_message_box_title	@quest/ground/corellia_coronet_capitol_problems_the_informant:task08_message_box_text		-1	-1	-1	-1																							
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_the_informant:task09_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_informant:task09_journal_entry_description	1			0	10		the_informant_8	1							1		1			1	corellia	-211	28	-4506			@quest/ground/corellia_coronet_capitol_problems_the_informant:task09_waypoint_name	the_informant_8	0			0		0	0	0	0																																			
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_the_informant:task10_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_informant:task10_journal_entry_description	1			0			the_informant_9	1							1		1			1	corellia	-69.0999984741211	28	-4634.10009765625			@quest/ground/corellia_coronet_capitol_problems_the_informant:task10_waypoint_name	the_informant_9	0			0		0	0	0	0																																			
