ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	i	s	i	s	s	s	s	s	i	i	i	s	s	s	i	i	i	s	s
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_government_work:task00_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_government_work:task00_journal_entry_description	1			0	1,10		government_work_1	1							1		1			1	corellia	-211	28	-4506			@quest/ground/corellia_coronet_capitol_problems_government_work:task00_waypoint_name	0	0.0	0.0	0.0		government_work_1	0			0		0	0	0	0																				
quest.task.ground.retrieve_item	@quest/ground/corellia_coronet_capitol_problems_government_work:task01_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_government_work:task01_journal_entry_description	1			0	2		government_work_2	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	object/tangible/quest/corellia_coronet_government_work_dropbox.iff	7	@quest/ground/corellia_coronet_capitol_problems_government_work:task01_item_name	100	@quest/ground/corellia_coronet_capitol_problems_government_work:task01_retrieve_menu_text															
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_government_work:task02_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_government_work:task02_journal_entry_description	1			0	3		government_work_3	1							1		1			1	corellia	-211	28	-4506			@quest/ground/corellia_coronet_capitol_problems_government_work:task02_waypoint_name	0	0.0	0.0	0.0		government_work_3	0			0		0	0	0	0																				
quest.task.ground.destroy_multi_and_loot	@quest/ground/corellia_coronet_capitol_problems_government_work:task03_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_government_work:task03_journal_entry_description	1			0	4		government_work_4	1							1		1			1	corellia	-521.099975585938	28	-4413.60009765625			@quest/ground/corellia_coronet_capitol_problems_government_work:task03_waypoint_name	0	0.0	0.0	0.0											0						corellia_coronet_armor_thief			Stolen Stormtrooper Armor Piece	14	100	0								
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_government_work:task04_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_government_work:task04_journal_entry_description	1			0	5		government_work_5	1							1		1			1	corellia	-211	28	-4506			@quest/ground/corellia_coronet_capitol_problems_government_work:task04_waypoint_name	0	0.0	0.0	0.0		government_work_5	0			0		0	0	0	0																				
quest.task.ground.retrieve_item	@quest/ground/corellia_coronet_capitol_problems_government_work:task05_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_government_work:task05_journal_entry_description	1			0	6		government_work_6	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	object/tangible/quest/corellia_coronet_government_work_courier.iff	1	@quest/ground/corellia_coronet_capitol_problems_government_work:task05_item_name	100	@quest/ground/corellia_coronet_capitol_problems_government_work:task05_retrieve_menu_text															
quest.task.ground.comm_player	@quest/ground/corellia_coronet_capitol_problems_government_work:task06_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_government_work:task06_journal_entry_description	1			0	7		government_work_7	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																								@quest/ground/corellia_coronet_capitol_problems_government_work:task06_comm_message_text	object/mobile/dressed_commoner_fat_twilek_male_02.iff						
quest.task.ground.destroy_multi_and_loot	@quest/ground/corellia_coronet_capitol_problems_government_work:task07_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_government_work:task07_journal_entry_description	1			0	8		government_work_8	0							1		1			1	corellia	407.100006103516	40.5	-4972.2001953125			@quest/ground/corellia_coronet_capitol_problems_government_work:task07_waypoint_name	0	0.0	0.0	0.0											0						corellia_preens_boola			Government Papers	1	100	0								
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_government_work:task08_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_government_work:task08_journal_entry_description	1			0	9		government_work_9	1							1		1			1	corellia	-211	28	-4506			@quest/ground/corellia_coronet_capitol_problems_government_work:task08_waypoint_name	0	0.0	0.0	0.0		government_work_9	0			0		0	0	0	0																				
quest.task.ground.complete_quest			0			0			government_work_9b	0							0		0			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																															
quest.task.ground.retrieve_item			0			0	11		government_work_2a	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	object/tangible/quest/corellia_coronet_government_work_dropbox.iff	2	@quest/ground/corellia_coronet_capitol_problems_government_work:task10_item_name	100																
quest.task.ground.encounter			0			0	12		government_work_2b	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0															corellia_vicious_thug	2	2	5	0.0	0.0
