ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	i	i	i	s	i	s	s	s	i	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s
quest.task.ground.nothing			0			0	1,3,5,7,9,11			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																						
quest.task.ground.retrieve_item	@quest/ground/som_exploration_berken:task01_journal_entry_title	@quest/ground/som_exploration_berken:task01_journal_entry_description	1			0	2		berken_marker_six	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/som_berken_marker_05.iff	1	@quest/ground/som_exploration_berken:task01_item_name	100	0	0	0	@quest/ground/som_exploration_berken:task01_retrieve_menu_text	0																																												
quest.task.ground.show_message_box			0			0			berken_marker_six_complete	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											@quest/ground/som_exploration_berken:task02_message_box_title	@quest/ground/som_exploration_berken:task02_message_box_text		-1	-1	-1	-1																																					
quest.task.ground.retrieve_item	@quest/ground/som_exploration_berken:task03_journal_entry_title	@quest/ground/som_exploration_berken:task03_journal_entry_description	1			0	4		berken_marker_five	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/som_berken_marker_04.iff	1	@quest/ground/som_exploration_berken:task03_item_name	100	0	0	0	@quest/ground/som_exploration_berken:task03_retrieve_menu_text	0																																												
quest.task.ground.show_message_box			0			0			berken_marker_five_complete	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											@quest/ground/som_exploration_berken:task04_message_box_title	@quest/ground/som_exploration_berken:task04_message_box_text		-1	-1	-1	-1																																					
quest.task.ground.retrieve_item	@quest/ground/som_exploration_berken:task05_journal_entry_title	@quest/ground/som_exploration_berken:task05_journal_entry_description	1			0	6		berken_marker_four	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/som_berken_marker_03.iff	1	@quest/ground/som_exploration_berken:task05_item_name	100	0	0	0	@quest/ground/som_exploration_berken:task05_retrieve_menu_text	0																																												
quest.task.ground.show_message_box			0			0			berken_marker_four_complete	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											@quest/ground/som_exploration_berken:task06_message_box_title	@quest/ground/som_exploration_berken:task06_message_box_text		-1	-1	-1	-1																																					
quest.task.ground.retrieve_item	@quest/ground/som_exploration_berken:task07_journal_entry_title	@quest/ground/som_exploration_berken:task07_journal_entry_description	1			0	8		berken_marker_three	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/som_berken_marker_02.iff	1	@quest/ground/som_exploration_berken:task07_item_name	100	0	0	0	@quest/ground/som_exploration_berken:task07_retrieve_menu_text	0																																												
quest.task.ground.show_message_box			0			0			berken_marker_three_complete	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											@quest/ground/som_exploration_berken:task08_message_box_title	@quest/ground/som_exploration_berken:task08_message_box_text		-1	-1	-1	-1																																					
