ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	RADIUS	COUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	s	s	s	i	i	i	i	s	s	s	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.destroy_multi_and_loot	@quest/ground/corellia_cb_4:task00_journal_entry_title	@quest/ground/corellia_cb_4:task00_journal_entry_description	1			0	1		cb_4_kill_thugs	0							1		1			1	corellia	-5684	16	-2843			@quest/ground/corellia_cb_4:task00_waypoint_name	ragtag_thug			Unsealed orders	1	30	0	0																															
quest.task.ground.comm_player			0			0	2		cb_4_comm_1	0							1		1			0	tatooine	0.0	0.0	0.0												@quest/ground/corellia_cb_4:task01_comm_message_text	object/mobile/cb_jark.iff																													
quest.task.ground.go_to_location	@quest/ground/corellia_cb_4:task02_journal_entry_title	@quest/ground/corellia_cb_4:task02_journal_entry_description	1			0	3		cb_4_investigate_meeting	0							1		1			1	corellia	-6026	13	-3247			@quest/ground/corellia_cb_4:task02_waypoint_name								0			40																												
quest.task.ground.comm_player			0			0	4		cb_4_comm_2	0							1		1			0	tatooine	0.0	0.0	0.0												@quest/ground/corellia_cb_4:task03_comm_message_text	object/mobile/cb_jark.iff																													
quest.task.ground.destroy_multi	@quest/ground/corellia_cb_4:task04_journal_entry_title	@quest/ground/corellia_cb_4:task04_journal_entry_description	1			0	5		cb_4_kill_mercs	0							1		1			1	corellia	-6026	13	-3247			@quest/ground/corellia_cb_4:task04_waypoint_name	ragtag_mercenary						0	0				8																											
quest.task.ground.comm_player			0			0	6,9,10		cb_4_comm_3	0							1		1			0	tatooine	0.0	0.0	0.0												@quest/ground/corellia_cb_4:task05_comm_message_text	object/mobile/cb_jark.iff																													
quest.task.ground.wait_for_tasks	@quest/ground/corellia_cb_4:task06_journal_entry_title	@quest/ground/corellia_cb_4:task06_journal_entry_description	1			0	7		cb_4_final	0							1		1			1	corellia	-6026	13	-3247			@quest/ground/corellia_cb_4:task06_waypoint_name								0					quest/corellia_cb_4	cb_4_agents	@quest/ground/corellia_cb_4:task06_task_display_string_1	quest/corellia_cb_4	cb_4_jori	@quest/ground/corellia_cb_4:task06_task_display_string_2																					
quest.task.ground.comm_player			0			0	8		cb_4_comm_5	0							1		1			0	tatooine	0.0	0.0	0.0												@quest/ground/corellia_cb_4:task07_comm_message_text	object/mobile/cb_jark.iff																													
quest.task.ground.wait_for_signal	@quest/ground/corellia_cb_4:task08_journal_entry_title	@quest/ground/corellia_cb_4:task08_journal_entry_description	1			0			cb_4_ending	0							1		1			1	corellia	-5173	21	-2545			@quest/ground/corellia_cb_4:task08_waypoint_name								0																							cb_4_end	0			0		0	0	0
quest.task.ground.destroy_multi_and_loot	@quest/ground/corellia_cb_4:task09_journal_entry_title	@quest/ground/corellia_cb_4:task09_journal_entry_description	1			0			cb_4_jori	0							1		1			0	tatooine	0.0	0.0	0.0				corellia_jori			Tyrena Defense Plans	1	100	0	0																															
quest.task.ground.destroy_multi	@quest/ground/corellia_cb_4:task10_journal_entry_title	@quest/ground/corellia_cb_4:task10_journal_entry_description	1			0			cb_4_agents	0							1		1			0	tatooine	0.0	0.0	0.0				deflarian_agent						0	0				2																											
