ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	s	s	i	i	i	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.destroy_multi	@quest/ground/tyrena_meatlump_brothers:task00_journal_entry_title	@quest/ground/tyrena_meatlump_brothers:task00_journal_entry_description	1			0	1			0							1		1			0	tatooine	0.0	0.0	0.0							1	0	0											
quest.task.ground.comm_player			1			0	2			0							1		1			0	tatooine	0.0	0.0	0.0																				
quest.task.ground.destroy_multi	@quest/ground/tyrena_meatlump_brothers:task02_journal_entry_title	@quest/ground/tyrena_meatlump_brothers:task02_journal_entry_description	1			0	3			0							1		1			0	tatooine	0.0	0.0	0.0							1	0	0											
quest.task.ground.comm_player			1			0	4			0							1		1			0	tatooine	0.0	0.0	0.0																				
quest.task.ground.destroy_multi	@quest/ground/tyrena_meatlump_brothers:task04_journal_entry_title	@quest/ground/tyrena_meatlump_brothers:task04_journal_entry_description	1			0	5			0							1		1			0	tatooine	0.0	0.0	0.0							1	0	0											
quest.task.ground.comm_player			1			0	6			0							1		1			0	tatooine	0.0	0.0	0.0																				
quest.task.ground.destroy_multi	@quest/ground/tyrena_meatlump_brothers:task06_journal_entry_title	@quest/ground/tyrena_meatlump_brothers:task06_journal_entry_description	1			0	7			0							1		1			0	tatooine	0.0	0.0	0.0							1	0	0											
quest.task.ground.comm_player			1			0	8			0							1		1			0	tatooine	0.0	0.0	0.0																				
quest.task.ground.wait_for_signal			1			0				0							1		1			0	tatooine	0.0	0.0	0.0									0				0			0		0	0	0
