ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	s	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	s	s	s	s	i	i	i	i	s	s
quest.task.ground.go_to_location	@quest/ground/talus_nashal_evolution:task00_journal_entry_title	@quest/ground/talus_nashal_evolution:task00_journal_entry_description	1			0	1,2,3		evolution_gotoloc_01_01	0							1		1			1	talus	6037	0.0	7023			@quest/ground/talus_nashal_evolution:task00_waypoint_name	0	0.0	0.0	0.0		10.0	0																																						
quest.task.ground.destroy_multi	@quest/ground/talus_nashal_evolution:task01_journal_entry_title	@quest/ground/talus_nashal_evolution:task01_journal_entry_description	1			0			evolution_destroy_02_02b	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	talus_nashal_brood5a_arachne			6	0																																	
quest.task.ground.destroy_multi	@quest/ground/talus_nashal_evolution:task02_journal_entry_title	@quest/ground/talus_nashal_evolution:task02_journal_entry_description	1			0			evolution_destroy_01_02a	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	talus_nashal_brood5_arachne			6	0																																	
quest.task.ground.wait_for_tasks	@quest/ground/talus_nashal_evolution:task03_journal_entry_title	@quest/ground/talus_nashal_evolution:task03_journal_entry_description	1			0	4		evolution_tasks_01_02	0							1		1			1	talus	6037	0.0	7023			@quest/ground/talus_nashal_evolution:task03_waypoint_name	0	0.0	0.0	0.0			0						quest/talus_nashal_evolution	evolution_destroy_01_02a	@quest/ground/talus_nashal_evolution:task03_task_display_string_1	quest/talus_nashal_evolution	evolution_destroy_02_02b	@quest/ground/talus_nashal_evolution:task03_task_display_string_2																											
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_evolution:task04_journal_entry_title	@quest/ground/talus_nashal_evolution:task04_journal_entry_description	1			0	5		evolution_retrieve_01_03	0							1		1			1	talus	6037	0.0	7023			@quest/ground/talus_nashal_evolution:task04_waypoint_name	0	0.0	0.0	0.0			0																								object/tangible/quest/talus_genetic_potential_datapad_06.iff	1	@quest/ground/talus_nashal_evolution:task04_item_name	100	0	@quest/ground/talus_nashal_evolution:task04_retrieve_menu_text									
quest.task.ground.show_message_box	@quest/ground/talus_nashal_evolution:task05_journal_entry_title	@quest/ground/talus_nashal_evolution:task05_journal_entry_description	1			0	6		evolution_msgbox_01_04	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																	@quest/ground/talus_nashal_evolution:task05_message_box_title	@quest/ground/talus_nashal_evolution:task05_message_box_text		-1	-1	-1	-1		
quest.task.ground.go_to_location	@quest/ground/talus_nashal_evolution:task06_journal_entry_title	@quest/ground/talus_nashal_evolution:task06_journal_entry_description	1			0	7		evolution_gotoloc_02_05	0							1		1			1	talus	6140	0.0	7128			@quest/ground/talus_nashal_evolution:task06_waypoint_name	0	0	0.0	0		10	0																																						
quest.task.ground.destroy_multi	@quest/ground/talus_nashal_evolution:task07_journal_entry_title	@quest/ground/talus_nashal_evolution:task07_journal_entry_description	1			0	8		evolution_destroy_03_06	0							1		1			1	talus	6140	0.0	7128			@quest/ground/talus_nashal_evolution:task07_waypoint_name	0	0.0	0.0	0.0			0		arachne_brood		6	0																																	
quest.task.ground.go_to_location	@quest/ground/talus_nashal_evolution:task08_journal_entry_title	@quest/ground/talus_nashal_evolution:task08_journal_entry_description	1			0	9		evolution_gotoloc_03_07	0							1		1			1	talus	6216	0.0	7217			@quest/ground/talus_nashal_evolution:task08_waypoint_name	0	0.0	0.0	0.0		10.0	0																																						
quest.task.ground.destroy_multi	@quest/ground/talus_nashal_evolution:task09_journal_entry_title	@quest/ground/talus_nashal_evolution:task09_journal_entry_description	1			0	10		evolution_destroy_04_08	0							1		1			1	talus	6216	0.0	7217			@quest/ground/talus_nashal_evolution:task09_waypoint_name	0	0.0	0.0	0.0			0		arachne_brood		6	0																																	
quest.task.ground.go_to_location	@quest/ground/talus_nashal_evolution:task10_journal_entry_title	@quest/ground/talus_nashal_evolution:task10_journal_entry_description	1			0	11		evolution_gotoloc_04_09	0							1		1			1	talus	6403	0.0	7364			@quest/ground/talus_nashal_evolution:task10_waypoint_name	0	0.0	0.0	0.0		10.0	0																																						
quest.task.ground.comm_player	@quest/ground/talus_nashal_evolution:task11_journal_entry_title	@quest/ground/talus_nashal_evolution:task11_journal_entry_description	1			0	12,13,14		evolution_comm_01_10	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																								@quest/ground/talus_nashal_evolution:task11_comm_message_text	/object/mobile/dressed_corsec_captain_human_male_02.iff
quest.task.ground.destroy_multi	@quest/ground/talus_nashal_evolution:task12_journal_entry_title	@quest/ground/talus_nashal_evolution:task12_journal_entry_description	1			0			evolution_destroy_06_11b	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	talus_nashal_brood5a_arachne			12	0																																	
quest.task.ground.destroy_multi	@quest/ground/talus_nashal_evolution:task13_journal_entry_title	@quest/ground/talus_nashal_evolution:task13_journal_entry_description	1			0			evolution_destroy_05_11a	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	talus_nashal_brood5_arachne			12	0																																	
quest.task.ground.wait_for_tasks	@quest/ground/talus_nashal_evolution:task14_journal_entry_title	@quest/ground/talus_nashal_evolution:task14_journal_entry_description	1			0	15		evolution_tasks_02_11	0							1		1			1	talus	6403	0.0	7364			@quest/ground/talus_nashal_evolution:task14_waypoint_name	0	0.0	0.0	0.0			0						quest/talus_nashal_evolution	evolution_destroy_05_11a	@quest/ground/talus_nashal_evolution:task14_task_display_string_1	quest/talus_nashal_evolution	evolution_destroy_06_11b	@quest/ground/talus_nashal_evolution:task14_task_display_string_2																											
quest.task.ground.complete_quest			0			0			evolution_complete_01_12	0						quest/talus_nashal_grim_discovery	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																									
