ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	i
quest.task.ground.wait_for_signal	@quest/ground/naboo_deeja_peak_beacon_darkness:task00_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_darkness:task00_journal_entry_description	1			0	1		deeja_peak_beacon_darkness_01	1							1		1			1	naboo	4321.2998046875	294.600006103516	-1251.30004882812			@quest/ground/naboo_deeja_peak_beacon_darkness:task00_waypoint_name	deeja_peak_beacon_darkness_01	0			0		0	0	0	0																										
quest.task.ground.destroy_multi	@quest/ground/naboo_deeja_peak_beacon_darkness:task01_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_darkness:task01_journal_entry_description	1			0	2		deeja_peak_beacon_darkness_02	1							1		1			1	naboo	4321.2998046875	294.600006103516	-1251.30004882812			@quest/ground/naboo_deeja_peak_beacon_darkness:task01_waypoint_name										0	naboo_flewt_starving			12	0																					
quest.task.ground.wait_for_signal	@quest/ground/naboo_deeja_peak_beacon_darkness:task02_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_darkness:task02_journal_entry_description	1			0	3		deeja_peak_beacon_darkness_03	1							1		1			1	naboo	4321.2998046875	294.600006103516	-1251.30004882812			@quest/ground/naboo_deeja_peak_beacon_darkness:task02_waypoint_name	deeja_peak_beacon_darkness_03	0			0		0	0	0	0																										
quest.task.ground.wait_for_signal	@quest/ground/naboo_deeja_peak_beacon_darkness:task03_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_darkness:task03_journal_entry_description	1			0	4		deeja_peak_beacon_darkness_04	1							1		1			1	naboo	5155.2001953125	346.5	-1535.19995117188			@quest/ground/naboo_deeja_peak_beacon_darkness:task03_waypoint_name	deeja_peak_beacon_darkness_04	0			0		0	0	0	0																										
quest.task.ground.wait_for_signal	@quest/ground/naboo_deeja_peak_beacon_darkness:task04_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_darkness:task04_journal_entry_description	1			0	5,9,10		deeja_peak_beacon_darkness_05	1							1		1			1	naboo	4992.5	360	-1503.5			@quest/ground/naboo_deeja_peak_beacon_darkness:task04_waypoint_name	deeja_peak_beacon_darkness_05	0			0		0	0	0	0																										
quest.task.ground.wait_for_tasks	@quest/ground/naboo_deeja_peak_beacon_darkness:task05_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_darkness:task05_journal_entry_description	1			0	6		deeja_peak_beacon_darkness_08b	0							1		1			1	naboo	5399.2001953125	322.700012207031	-2402.69995117188			@quest/ground/naboo_deeja_peak_beacon_darkness:task05_waypoint_name										0						quest/naboo_deeja_peak_beacon_darkness	deeja_peak_beacon_darkness_06	@quest/ground/naboo_deeja_peak_beacon_darkness:task05_task_display_string_1	quest/naboo_deeja_peak_beacon_darkness	deeja_peak_beacon_darkness_07	@quest/ground/naboo_deeja_peak_beacon_darkness:task05_task_display_string_2															
quest.task.ground.destroy_multi_and_loot	@quest/ground/naboo_deeja_peak_beacon_darkness:task06_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_darkness:task06_journal_entry_description	1			0	7		deeja_peak_beacon_darkness_08	1							1		1			1	naboo	4407.7001953125	228	-1859.90002441406			@quest/ground/naboo_deeja_peak_beacon_darkness:task06_waypoint_name										0		narglatch			0																			a perfect narglatch fang	11	100
quest.task.ground.wait_for_signal	@quest/ground/naboo_deeja_peak_beacon_darkness:task07_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_darkness:task07_journal_entry_description	1			0	8		deeja_peak_beacon_darkness_09	1							1		1			1	naboo	4992.5	360	-1503.5			@quest/ground/naboo_deeja_peak_beacon_darkness:task07_waypoint_name	deeja_peak_beacon_darkness_09	0			0		0	0	0	0																										
quest.task.ground.wait_for_signal	@quest/ground/naboo_deeja_peak_beacon_darkness:task08_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_darkness:task08_journal_entry_description	1			0			deeja_peak_beacon_darkness_10	1							1		1			1	naboo	5155.2001953125	346.5	-1535.19995117188			@quest/ground/naboo_deeja_peak_beacon_darkness:task08_waypoint_name	deeja_peak_beacon_darkness_10	0			0		0	0	0	0																										
