ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	i	s	i	s	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s
quest.task.ground.nothing			0			0	1,2,3,4,5,6			0							1		1			0	tatooine	0.0	0.0	0.0																																																							
quest.task.ground.retrieve_item	@quest/ground/ep3_avatar_return:task01_journal_entry_title	@quest/ground/ep3_avatar_return:task01_journal_entry_description	1			0			retrieveTubeGoo	1							1		1			0	tatooine	0.0	0.0	0.0				object/tangible/quest/avatar_storage_case.iff	1	@quest/ground/ep3_avatar_return:task01_item_name	100	@quest/ground/ep3_avatar_return:task01_retrieve_menu_text	0																																														
quest.task.ground.retrieve_item	@quest/ground/ep3_avatar_return:task02_journal_entry_title	@quest/ground/ep3_avatar_return:task02_journal_entry_description	1			0			retrieveVialSmoke	1							1		1			0	tatooine	0.0	0.0	0.0				object/tangible/quest/avatar_warm_storage.iff	1	@quest/ground/ep3_avatar_return:task02_item_name	100	@quest/ground/ep3_avatar_return:task02_retrieve_menu_text	0																																														
quest.task.ground.retrieve_item	@quest/ground/ep3_avatar_return:task03_journal_entry_title	@quest/ground/ep3_avatar_return:task03_journal_entry_description	1			0			retrievePowder	1							1		1			0	tatooine	0.0	0.0	0.0				object/tangible/quest/avatar_foot_locker.iff	1	@quest/ground/ep3_avatar_return:task03_item_name	100	@quest/ground/ep3_avatar_return:task03_retrieve_menu_text	0																																														
quest.task.ground.retrieve_item	@quest/ground/ep3_avatar_return:task04_journal_entry_title	@quest/ground/ep3_avatar_return:task04_journal_entry_description	1			0			retrieveSleepMed	1							1		1			0	tatooine	0.0	0.0	0.0				object/tangible/quest/avatar_cold_storage.iff	1	@quest/ground/ep3_avatar_return:task04_item_name	100	@quest/ground/ep3_avatar_return:task04_retrieve_menu_text	0																																														
quest.task.ground.retrieve_item	@quest/ground/ep3_avatar_return:task05_journal_entry_title	@quest/ground/ep3_avatar_return:task05_journal_entry_description	1			0			retrieveSR71	1							1		1			0	tatooine	0.0	0.0	0.0				object/tangible/quest/avatar_locker_sr71.iff	1	@quest/ground/ep3_avatar_return:task05_item_name	100	@quest/ground/ep3_avatar_return:task05_retrieve_menu_text	0																																														
quest.task.ground.wait_for_tasks	@quest/ground/ep3_avatar_return:task06_journal_entry_title	@quest/ground/ep3_avatar_return:task06_journal_entry_description	1			0	7			1	sound/music_themequest_acc_criminal.snd						1		1			0	tatooine	0.0	0.0	0.0									0	quest/ep3_avatar_return	retrieveSR71	@quest/ground/ep3_avatar_return:task06_task_display_string_1	quest/ep3_avatar_return	retrieveSleepMed	@quest/ground/ep3_avatar_return:task06_task_display_string_2	quest/ep3_avatar_return	retrievePowder	@quest/ground/ep3_avatar_return:task06_task_display_string_3	quest/ep3_avatar_return	retrieveVialSmoke	@quest/ground/ep3_avatar_return:task06_task_display_string_4	quest/ep3_avatar_return	retrieveTubeGoo	@quest/ground/ep3_avatar_return:task06_task_display_string_5																															
quest.task.ground.wait_for_signal	@quest/ground/ep3_avatar_return:task07_journal_entry_title	@quest/ground/ep3_avatar_return:task07_journal_entry_description	1			0	8		returnToValmont	1							1		1			0	tatooine	0.0	0.0	0.0									0																			rewardValmont	0			0		0	0	0																			
quest.task.ground.reward	@quest/ground/ep3_avatar_return:task08_journal_entry_title		0			0				1		sound/music_themequest_acc_general.snd					1		1			0	tatooine	0.0	0.0	0.0																																						0	Rebel	0	10000		1		1		1	0.1	0.1	0.1	0.1		1	1	
