ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	RADIUS	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	i	s	i	i	i	i	s	s	s	s	i	i	i	i	s	s	s	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
quest.task.ground.wait_for_signal	@quest/ground/legacy_head_rod:task00_journal_entry_title	@quest/ground/legacy_head_rod:task00_journal_entry_description	1			0	1,2,4,6		legacy_head_rod_e1	1				0	none	none				1		1			1	tatooine	-5940.39990234375	78.9000015258789	-6288.5	tatooine	rancortrainer	@quest/ground/legacy_head_rod:task00_waypoint_name	0	0.0	0.0	0.0		legacy_head_rod_launch_e2	0			0		0	0	0	0																																											
quest.task.ground.retrieve_item	@quest/ground/legacy_head_rod:task01_journal_entry_title	@quest/ground/legacy_head_rod:task01_journal_entry_description	1			0			legacy_head_rod_e4	0		sound/music_combat_e_thru_s_vict.snd		0	none	none				1		1			1	tatooine	-4656	0.0	-4363			@quest/ground/legacy_head_rod:task01_waypoint_name	0	0.0	0.0	0.0											0	object/tangible/quest/legacy_head_dragon.iff	1	@quest/ground/legacy_head_rod:task01_item_name	100	0	0	0	@quest/ground/legacy_head_rod:task01_retrieve_menu_text																																			
quest.task.ground.retrieve_item	@quest/ground/legacy_head_rod:task02_journal_entry_title	@quest/ground/legacy_head_rod:task02_journal_entry_description	1			0	3		legacy_head_rod_e3	0		sound/music_combat_e_thru_s_vict.snd		0	none	none				1		1			1	tatooine	-4496	0.0	-2273			@quest/ground/legacy_head_rod:task02_waypoint_name	0	0.0	0.0	0.0											0	object/tangible/quest/legacy_head_bag.iff	1	@quest/ground/legacy_head_rod:task02_item_name	100	0	0	0	@quest/ground/legacy_head_rod:task02_retrieve_menu_text																																			
quest.task.ground.show_message_box			0			0			legacy_head_rod_e35	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				@quest/ground/legacy_head_rod:task03_message_box_title	@quest/ground/legacy_head_rod:task03_message_box_text		-1	-1	-1	-1																												
quest.task.ground.destroy_multi_and_loot	@quest/ground/legacy_head_rod:task04_journal_entry_title	@quest/ground/legacy_head_rod:task04_journal_entry_description	1			0	5		legacy_head_rod_e5	0				0	none	none				1		1			1	tatooine	-6112	0.0	-3375			@quest/ground/legacy_head_rod:task04_waypoint_name	0	0.0	0.0	0.0											0					0	0										jundland_eopie			Intact Eopie Liver	5	75	0																					
quest.task.ground.go_to_location	@quest/ground/legacy_head_rod:task05_journal_entry_title	@quest/ground/legacy_head_rod:task05_journal_entry_description	1			0			legacy_head_rod_e6	1		sound/music_combat_e_thru_s_vict.snd		0	none	none				1		1			1	tatooine	-6164	0.0	-3363			@quest/ground/legacy_head_rod:task05_waypoint_name	0	0.0	0.0	0.0											0																							10																				
quest.task.ground.wait_for_tasks	@quest/ground/legacy_head_rod:task06_journal_entry_title	@quest/ground/legacy_head_rod:task06_journal_entry_description	0			0	7		legacy_head_rod_e2	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																								quest/legacy_head_rod	legacy_head_rod_e6	@quest/ground/legacy_head_rod:task06_task_display_string_1	quest/legacy_head_rod	legacy_head_rod_e4	@quest/ground/legacy_head_rod:task06_task_display_string_2	quest/legacy_head_rod	legacy_head_rod_e3	@quest/ground/legacy_head_rod:task06_task_display_string_3											
quest.task.ground.comm_player			0			0	8		legacy_head_rod_e8	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																					@quest/ground/legacy_head_rod:task07_comm_message_text	object/mobile/malakili.iff
quest.task.ground.complete_quest	@quest/ground/legacy_head_rod:task08_journal_entry_title		0			0			legacy_head_rod_e27	0		sound/music_combat_e_thru_s_vict.snd		0	none	none			legacy_head_remodel	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																						
