ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.destroy_multi	@quest/ground/jabba_the_hutt_v2:task00_journal_entry_title	@quest/ground/jabba_the_hutt_v2:task00_journal_entry_description	1			0	1		killDelriceCapreese	0							1		1			1	tatooine	-4331	0.0	-5027			@quest/ground/jabba_the_hutt_v2:task00_waypoint_name	0	0.0	0.0	0.0		jabbas_palace_delrice_capreese			1	0	0																													
quest.task.ground.comm_player	@quest/ground/jabba_the_hutt_v2:task01_journal_entry_title	@quest/ground/jabba_the_hutt_v2:task01_journal_entry_description	1			0	2			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								@quest/ground/jabba_the_hutt_v2:task01_comm_message_text	object/mobile/jabba_the_hutt.iff																											
quest.task.ground.destroy_multi	@quest/ground/jabba_the_hutt_v2:task02_journal_entry_title	@quest/ground/jabba_the_hutt_v2:task02_journal_entry_description	1			0	3		killTyrok	0							1		1			1	tatooine	-4932	0.0	-5542			@quest/ground/jabba_the_hutt_v2:task02_waypoint_name	0	0.0	0.0	0.0		jabbas_palace_tyrok			1	0	0																													
quest.task.ground.comm_player	@quest/ground/jabba_the_hutt_v2:task03_journal_entry_title	@quest/ground/jabba_the_hutt_v2:task03_journal_entry_description	1			0	4,7,8,9,10,11			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								@quest/ground/jabba_the_hutt_v2:task03_comm_message_text	object/mobile/jabba_the_hutt.iff																											
quest.task.ground.wait_for_tasks	@quest/ground/jabba_the_hutt_v2:task04_journal_entry_title	@quest/ground/jabba_the_hutt_v2:task04_journal_entry_description	1			0	5		ValarianAssaultTeam	0							1		1			1	tatooine	-3952	6	-4017			@quest/ground/jabba_the_hutt_v2:task04_waypoint_name	0	0.0	0.0	0.0							0			quest/jabba_the_hutt_v2	killArkahnGreystar	@quest/ground/jabba_the_hutt_v2:task04_task_display_string_1	quest/jabba_the_hutt_v2	killIrisTanandaSinclair	@quest/ground/jabba_the_hutt_v2:task04_task_display_string_2	quest/jabba_the_hutt_v2	killFnastDrexler	@quest/ground/jabba_the_hutt_v2:task04_task_display_string_3	quest/jabba_the_hutt_v2	killCareem	@quest/ground/jabba_the_hutt_v2:task04_task_display_string_4	quest/jabba_the_hutt_v2	killEmanon	@quest/ground/jabba_the_hutt_v2:task04_task_display_string_5												
quest.task.ground.comm_player	@quest/ground/jabba_the_hutt_v2:task05_journal_entry_title	@quest/ground/jabba_the_hutt_v2:task05_journal_entry_description	1			0	6			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								@quest/ground/jabba_the_hutt_v2:task05_comm_message_text	object/mobile/jabba_the_hutt.iff																											
quest.task.ground.wait_for_signal	@quest/ground/jabba_the_hutt_v2:task06_journal_entry_title	@quest/ground/jabba_the_hutt_v2:task06_journal_entry_description	1			0			returnToJabba	0							1		1			1	tatooine	-5857	90	-6175			@quest/ground/jabba_the_hutt_v2:task06_waypoint_name	0	0.0	0.0	0.0							0																					finishedKilling	0			0		0	0	0
quest.task.ground.destroy_multi	@quest/ground/jabba_the_hutt_v2:task07_journal_entry_title	@quest/ground/jabba_the_hutt_v2:task07_journal_entry_description	1			0			killEmanon	0							1		1			0	tatooine	-3031	0.0	-5116			@quest/ground/jabba_the_hutt_v2:task07_waypoint_name	0	0.0	0.0	0.0		jabbas_palace_emanon			1	0	0																													
quest.task.ground.destroy_multi	@quest/ground/jabba_the_hutt_v2:task08_journal_entry_title	@quest/ground/jabba_the_hutt_v2:task08_journal_entry_description	1			0			killCareem	0							1		1			0	tatooine	-530	8	-5686			@quest/ground/jabba_the_hutt_v2:task08_waypoint_name	0	0.0	0.0	0.0		jabbas_palace_careem			1	0	0																													
