ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	RADIUS	TIMER_AMOUNT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s	s	i	s	s	s	i	i	i	i	s	b	s	s	s	s	f	f	f
quest.task.ground.reward			0			0	1			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	Rebel	0	1000		1		1		1	0.1	0.1	0.1	0.1		1	0.1																			
quest.task.ground.go_to_location	@quest/ground/c_newbie_quest1a:task01_journal_entry_title	@quest/ground/c_newbie_quest1a:task01_journal_entry_description	1			0	2		bankstep	1				0	none	none				1		1			1	tatooine	3494	5	-4940			@quest/ground/c_newbie_quest1a:task01_waypoint_name	0	0.0	0.0	0.0																					10.0	0																
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest1a:task02_journal_entry_title	@quest/ground/c_newbie_quest1a:task02_journal_entry_description	1			0	3		bankbox1	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																							@quest/ground/c_newbie_quest1a:task02_message_box_title	@quest/ground/c_newbie_quest1a:task02_message_box_text		-1	-1	-1	-1									
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest1a:task03_journal_entry_title	@quest/ground/c_newbie_quest1a:task03_journal_entry_description	1			0	4		bankbox2	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																							@quest/ground/c_newbie_quest1a:task03_message_box_title	@quest/ground/c_newbie_quest1a:task03_message_box_text		-1	-1	-1	-1									
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_quest1a:task04_journal_entry_title	@quest/ground/c_newbie_quest1a:task04_journal_entry_description	1			0	5		bankreturn	1				0	none	none				1		1			1	tatooine	3484	5	-4808			@quest/ground/c_newbie_quest1a:task04_waypoint_name	0	0.0	0.0	0.0																						0								c_newbie_bankreturn	0			0		0	0	0
quest.task.ground.reward			0			0	6			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	Rebel	0	0		1	object/tangible/loot/simple_kit/paint_disperser.iff	1		1	0.1	0.1	0.1	0.1		1	0.1																			
quest.task.ground.go_to_location	@quest/ground/c_newbie_quest1a:task06_journal_entry_title	@quest/ground/c_newbie_quest1a:task06_journal_entry_description	1			0	7		bazaarstep	1				0	none	none				1		1			1	tatooine	3511	5	-4928			@quest/ground/c_newbie_quest1a:task06_waypoint_name	0	0.0	0.0	0.0																					10.0	0																
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest1a:task07_journal_entry_title	@quest/ground/c_newbie_quest1a:task07_journal_entry_description	1			0	8		bazaarbox1	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																							@quest/ground/c_newbie_quest1a:task07_message_box_title	@quest/ground/c_newbie_quest1a:task07_message_box_text		-1	-1	-1	-1									
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest1a:task08_journal_entry_title	@quest/ground/c_newbie_quest1a:task08_journal_entry_description	1			0	9		bazaarbox2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																							@quest/ground/c_newbie_quest1a:task08_message_box_title	@quest/ground/c_newbie_quest1a:task08_message_box_text		-1	-1	-1	-1									
