ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	MIN_TIME	MAX_TIME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	RADIUS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	i	i	s	s	s	b	s	s	s	s	f	f	f	i	s
quest.task.ground.timer	@quest/ground/quest_06_conspire_cale:task00_journal_entry_title	@quest/ground/quest_06_conspire_cale:task00_journal_entry_description	0			0	1		BibMessageDelay	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		0	0													
quest.task.ground.comm_player	@quest/ground/quest_06_conspire_cale:task01_journal_entry_title	@quest/ground/quest_06_conspire_cale:task01_journal_entry_description	0			0	2		BibCommunication	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/quest_06_conspire_cale:task01_comm_message_text	object/mobile/bib_fortuna.iff											
quest.task.ground.timer	@quest/ground/quest_06_conspire_cale:task02_journal_entry_title	@quest/ground/quest_06_conspire_cale:task02_journal_entry_description	0			0	3		timer	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		17	17													
quest.task.ground.comm_player	@quest/ground/quest_06_conspire_cale:task03_journal_entry_title	@quest/ground/quest_06_conspire_cale:task03_journal_entry_description	0			0	4		caleCommunication	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/quest_06_conspire_cale:task03_comm_message_text	object/mobile/dressed_slicer_mentor.iff											
quest.task.ground.wait_for_signal	@quest/ground/quest_06_conspire_cale:task04_journal_entry_title	@quest/ground/quest_06_conspire_cale:task04_journal_entry_description	1			0	5		visitCaleHerron	0				0	none	none				1		1			1	tatooine	3848	5	2232			@quest/ground/quest_06_conspire_cale:task04_waypoint_name	0	0.0	0.0	0.0						metWithCaleHerron	0			0		0	0	0	0	
quest.task.ground.wait_for_signal	@quest/ground/quest_06_conspire_cale:task05_journal_entry_title	@quest/ground/quest_06_conspire_cale:task05_journal_entry_description	1			0	6		TravelToLokOutpost	0				0	none	none				1		1			1	lok	-2040	39	5953			@quest/ground/quest_06_conspire_cale:task05_waypoint_name	0	0.0	0.0	0.0						TravelToLokOutpostComplete	0			0		0	0	0	0	
quest.task.ground.go_to_location	@quest/ground/quest_06_conspire_cale:task06_journal_entry_title	@quest/ground/quest_06_conspire_cale:task06_journal_entry_description	1			0	7		GoToLabratory	0				0	none	none				1		1			1	lok	-415	92	7608			@quest/ground/quest_06_conspire_cale:task06_waypoint_name	0	0.0	0.0	0.0															0	10.0
quest.task.ground.comm_player	@quest/ground/quest_06_conspire_cale:task07_journal_entry_title	@quest/ground/quest_06_conspire_cale:task07_journal_entry_description	0			0	8		caleGuidePlayer	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/quest_06_conspire_cale:task07_comm_message_text	object/mobile/dressed_slicer_mentor.iff											
quest.task.ground.complete_quest	@quest/ground/quest_06_conspire_cale:task08_journal_entry_title	@quest/ground/quest_06_conspire_cale:task08_journal_entry_description	0			0			finishConspire	0				0	none	none			quest/quest_07_descend_into_labratory	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																
