ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	RADIUS	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	i	s	i	i	s	i	s	i	S	S	S	S	s	i	i	s	s	b	s	s	s	s	f	f	f
quest.task.ground.reward			0			0	1		reward1	0							1		1	0	tatooine	0.0	0.0	0.0			0	Rebel	0	0		1		1	0.1	0.1	0.1	0.1		1	0.1										
quest.task.ground.reward			0			0	2		reward2	0							1		1	0	tatooine	0.0	0.0	0.0			0	Rebel	0	0		1		1	0.1	0.1	0.1	0.1		1	0.1										
quest.task.ground.go_to_location	@quest/ground/npe_scout_2:task02_journal_entry_title	@quest/ground/npe_scout_2:task02_journal_entry_description	1			0	3		gotohangar	1							1		1	1	tatooine	0.0	0.0	0.0																		10.0									
quest.task.ground.wait_for_signal	@quest/ground/npe_scout_2:task03_journal_entry_title	@quest/ground/npe_scout_2:task03_journal_entry_description	1			0	4		firsthostagetalk	1							1		1	0	tatooine	0.0	0.0	0.0																			npe_scout_2_hostage_1	0			0		0	0	0
quest.task.ground.nothing			1			0	5			0							1		1	0	tatooine	0.0	0.0	0.0																											
quest.task.ground.wait_for_signal	@quest/ground/npe_scout_2:task05_journal_entry_title	@quest/ground/npe_scout_2:task05_journal_entry_description	1			0	6		secondhostagetalk	1							1		1	0	tatooine	0.0	0.0	0.0																			npe_scout_2_hostage_2	0			0		0	0	0
quest.task.ground.nothing			1			0	7			0							1		1	0	tatooine	0.0	0.0	0.0																											
quest.task.ground.wait_for_signal	@quest/ground/npe_scout_2:task07_journal_entry_title	@quest/ground/npe_scout_2:task07_journal_entry_description	1			0	8		thirdhostagetalk	1							1		1	0	tatooine	0.0	0.0	0.0																			npe_scout_2_hostage_3	0			0		0	0	0
quest.task.ground.nothing			1			0	9			0							1		1	0	tatooine	0.0	0.0	0.0																											
quest.task.ground.wait_for_signal	@quest/ground/npe_scout_2:task09_journal_entry_title	@quest/ground/npe_scout_2:task09_journal_entry_description	1			0	10		fourthhostagetalk	1							1		1	0	tatooine	0.0	0.0	0.0																			npe_scout_2_hostage_4	0			0		0	0	0
quest.task.ground.nothing			1			0	11			0							1		1	0	tatooine	0.0	0.0	0.0																											
quest.task.ground.wait_for_signal	@quest/ground/npe_scout_2:task11_journal_entry_title	@quest/ground/npe_scout_2:task11_journal_entry_description	1			0	12		rylenreturn	1							1		1	0	tatooine	0.0	0.0	0.0																			npe_scout2_reward	0			0		0	0	0
quest.task.ground.reward	@quest/ground/npe_scout_2:task12_journal_entry_title	@quest/ground/npe_scout_2:task12_journal_entry_description	1			0				0							1		1	0	tatooine	0.0	0.0	0.0		scout	250	Rebel	0	0		1		1	0.1	0.1	0.1	0.1		1	0.1										
