ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	i	S	S	S	S	s	i	i
quest.task.ground.wait_for_signal	@quest/ground/tat_icon_fixingjawa_1:task00_journal_entry_title	@quest/ground/tat_icon_fixingjawa_1:task00_journal_entry_description	1			0	1		tat_icon_dren_to_jawa_e1	0							1		1	0	tatooine	0.0	0.0	0.0		tat_icon_fixingjawa_dren_to_jawa_e1	0			0		0	0	0																
quest.task.ground.wait_for_signal	@quest/ground/tat_icon_fixingjawa_1:task01_journal_entry_title	@quest/ground/tat_icon_fixingjawa_1:task01_journal_entry_description	1			0	2		tat_icon_jawa_to_droid_e2	0							1		1	0	tatooine	0.0	0.0	0.0		tat_icon_fixingjawa_jawa_to_droid_e2	0			0		0	0	0																
quest.task.ground.wait_for_signal	@quest/ground/tat_icon_fixingjawa_1:task02_journal_entry_title	@quest/ground/tat_icon_fixingjawa_1:task02_journal_entry_description	1			0	3		tat_icon_droid_to_dren_e3	0							1		1	0	tatooine	0.0	0.0	0.0		tat_icon_fixingjawa_droid_to_dren_e3	0			0		0	0	0																
quest.task.ground.wait_for_signal	@quest/ground/tat_icon_fixingjawa_1:task03_journal_entry_title	@quest/ground/tat_icon_fixingjawa_1:task03_journal_entry_description	1			0	4		tat_icon_dren_to_lyrissa_e4	0							1		1	0	tatooine	0.0	0.0	0.0		tat_icon_fixingjawa_dren_to_lyrissa_e4	0			0		0	0	0																
quest.task.ground.wait_for_signal	@quest/ground/tat_icon_fixingjawa_1:task04_journal_entry_title	@quest/ground/tat_icon_fixingjawa_1:task04_journal_entry_description	1			0	5		tat_icon_lyrissa_to_tosche_e5	0							1		1	0	tatooine	0.0	0.0	0.0		tat_icon_fixingjawa_lyrissa_to_tosche_e5	0			0		0	0	0																
quest.task.ground.wait_for_signal	@quest/ground/tat_icon_fixingjawa_1:task05_journal_entry_title	@quest/ground/tat_icon_fixingjawa_1:task05_journal_entry_description	1			0	6		tat_icon_tosche_to_lyrissa_e6	0							1		1	0	tatooine	0.0	0.0	0.0		tat_icon_fixingjawa_tosche_to_lyrissa_e6	0			0		0	0	0																
quest.task.ground.wait_for_signal	@quest/ground/tat_icon_fixingjawa_1:task06_journal_entry_title	@quest/ground/tat_icon_fixingjawa_1:task06_journal_entry_description	1			0	7		tat_icon_lyrissa_to_droid_e7	0							1		1	0	tatooine	0.0	0.0	0.0		tat_icon_fixingjawa_lyrissa_to_droid_e7	0			0		0	0	0																
quest.task.ground.wait_for_signal	@quest/ground/tat_icon_fixingjawa_1:task07_journal_entry_title	@quest/ground/tat_icon_fixingjawa_1:task07_journal_entry_description	1			0	8		tat_icon_droid_to_dren_e8	0							1		1	0	tatooine	0.0	0.0	0.0		tat_icon_fixingjawa_complete	0			0		0	0	0																
quest.task.ground.reward	@quest/ground/tat_icon_fixingjawa_1:task08_journal_entry_title	@quest/ground/tat_icon_fixingjawa_1:task08_journal_entry_description	1			0	9		fixing_jawa_complete	0							1		1	0	tatooine	0.0	0.0	0.0												0	Rebel	0	10000		1		1	0.1	0.1	0.1	0.1		1	0.1
quest.task.ground.complete_quest			1			0				0							1		1	0	tatooine	0.0	0.0	0.0																										
