ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	i	i	s	s	s	s	s	i	i	i	s	s
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_01:task00_journal_entry_title	@quest/ground/outbreak_quest_facility_01:task00_journal_entry_description	1			0	1,9,10,11		findAConsole	0				0	none	none				1		1			1	dathomir	-7374	557	-7351			@quest/ground/outbreak_quest_facility_01:task00_waypoint_name	0	0.0	0.0	0.0		hasFoundAConsole	0			0		0	0	0	0																																			
quest.task.ground.wait_for_tasks	@quest/ground/outbreak_quest_facility_01:task01_journal_entry_title	@quest/ground/outbreak_quest_facility_01:task01_journal_entry_description	0			0	2,7,8		waitForRepairTasks	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	quest/outbreak_quest_facility_01	killForCommunications	@quest/ground/outbreak_quest_facility_01:task01_task_display_string_1	quest/outbreak_quest_facility_01	findDamageControlModule	@quest/ground/outbreak_quest_facility_01:task01_task_display_string_2																													
quest.task.ground.wait_for_tasks	@quest/ground/outbreak_quest_facility_01:task02_journal_entry_title	@quest/ground/outbreak_quest_facility_01:task02_journal_entry_description	0			0	3		repairWaitForTasks	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	quest/outbreak_quest_facility_01	repairCommunicationsModule	@quest/ground/outbreak_quest_facility_01:task02_task_display_string_1	quest/outbreak_quest_facility_01	repairDamageControlModule	@quest/ground/outbreak_quest_facility_01:task02_task_display_string_2																													
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_01:task03_journal_entry_title	@quest/ground/outbreak_quest_facility_01:task03_journal_entry_description	1			0	4		reactivateMainframePower	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		mainframePowerActivated	0			0		0	0	0	0																																			
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_01:task04_journal_entry_title	@quest/ground/outbreak_quest_facility_01:task04_journal_entry_description	1			0	5		reconfigureSystems	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		systemsReconfigured	0			0		0	0	0	0																																			
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_01:task05_journal_entry_title	@quest/ground/outbreak_quest_facility_01:task05_journal_entry_description	1			0	6		findCryogenicsLaboratoryConsole	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		foundCryogenicsLaboratoryConsole	0			0		0	0	0	0																																			
quest.task.ground.complete_quest	@quest/ground/outbreak_quest_facility_01:task06_journal_entry_title	@quest/ground/outbreak_quest_facility_01:task06_journal_entry_description	0			0			completeQuest	0				0	none	none			quest/outbreak_quest_facility_02	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																														
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_01:task07_journal_entry_title	@quest/ground/outbreak_quest_facility_01:task07_journal_entry_description	1			0			repairDamageControlModule	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		damageControlModuleRepaired	0			0		0	0	0	0																																			
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_01:task08_journal_entry_title	@quest/ground/outbreak_quest_facility_01:task08_journal_entry_description	1			0			repairCommunicationsModule	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		communicationsModuleRepaired	0			0		0	0	0	0																																			
