ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	RADIUS	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	s
quest.task.ground.comm_player			0			0	1		legacy_button_darklighter_e191	0							1		1			0	tatooine	0.0	0.0	0.0				@quest/ground/legacy_button_darklighter:task00_comm_message_text	object/mobile/dressed_dressed_legacy_barrezz.iff																																		
quest.task.ground.go_to_location	@quest/ground/legacy_button_darklighter:task01_journal_entry_title	@quest/ground/legacy_button_darklighter:task01_journal_entry_description	1			0	2		legacy_button_darklighter_e1	1							1		1			1	tatooine	-304	0.0	-6940			@quest/ground/legacy_button_darklighter:task01_waypoint_name			20	0																																
quest.task.ground.wait_for_signal	@quest/ground/legacy_button_darklighter:task02_journal_entry_title	@quest/ground/legacy_button_darklighter:task02_journal_entry_description	1			0	3,8,9,10,11,12		legacy_button_darklighter_e13	0							1		1			1	tatooine	-304	0.0	-6940			@quest/ground/legacy_button_darklighter:task02_waypoint_name				0	legacy_button_darklighter_launch_e2	0			0		0	0	0																							
quest.task.ground.wait_for_tasks	@quest/ground/legacy_button_darklighter:task03_journal_entry_title	@quest/ground/legacy_button_darklighter:task03_journal_entry_description	1			0	6	4	legacy_button_darklighter_e2	1							1		1			0	tatooine	0.0	0.0	0.0							900										quest/legacy_button_darklighter	legacy_button_darklighter_e6	@quest/ground/legacy_button_darklighter:task03_task_display_string_1	quest/legacy_button_darklighter	legacy_button_darklighter_e7	@quest/ground/legacy_button_darklighter:task03_task_display_string_2	quest/legacy_button_darklighter	legacy_button_darklighter_e8	@quest/ground/legacy_button_darklighter:task03_task_display_string_3	quest/legacy_button_darklighter	legacy_button_darklighter_e9	@quest/ground/legacy_button_darklighter:task03_task_display_string_4	quest/legacy_button_darklighter	legacy_button_darklighter_e10	@quest/ground/legacy_button_darklighter:task03_task_display_string_5								
quest.task.ground.comm_player			0			0	5		legacy_button_darklighter_e30	0							1		1			0	tatooine	0.0	0.0	0.0				@quest/ground/legacy_button_darklighter:task04_comm_message_text	object/mobile/dressed_dressed_legacy_barrezz.iff																																		
quest.task.ground.clear_quest			0			0			legacy_button_darklighter_e31	0						legacy_button_darklighter	1		1			0	tatooine	0.0	0.0	0.0																																							
quest.task.ground.comm_player			1			0	7		legacy_button_darklighter_e27	0							1		1			0	tatooine	0.0	0.0	0.0				@quest/ground/legacy_button_darklighter:task06_comm_message_text	object/mobile/dressed_dressed_legacy_barrezz.iff																																		
quest.task.ground.complete_quest	@quest/ground/legacy_button_darklighter:task07_journal_entry_title	@quest/ground/legacy_button_darklighter:task07_journal_entry_description	1			0			legacy_button_darklighter_e100	0						legacy_button_imp_pt2	1		1			0	tatooine	0.0	0.0	0.0																																							
quest.task.ground.retrieve_item	@quest/ground/legacy_button_darklighter:task08_journal_entry_title	@quest/ground/legacy_button_darklighter:task08_journal_entry_description	1			0			legacy_button_darklighter_e6	1		sound/music_combat_e_thru_s_vict.snd					1		1			1	tatooine	-39.7000007629395	-2.29999995231628	-7081.60009765625	tatooine	roomaa	@quest/ground/legacy_button_darklighter:task08_waypoint_name				0																												object/tangible/quest/legacy_darklighter_pallet1_datapad.iff	1	@quest/ground/legacy_button_darklighter:task08_item_name	100	@quest/ground/legacy_button_darklighter:task08_retrieve_menu_text
quest.task.ground.retrieve_item	@quest/ground/legacy_button_darklighter:task09_journal_entry_title	@quest/ground/legacy_button_darklighter:task09_journal_entry_description	1			0			legacy_button_darklighter_e7	1		sound/music_combat_e_thru_s_vict.snd					1		1			1	tatooine	-17.2999992370605	-1.29999995231628	-7120.60009765625	tatooine	roomaab	@quest/ground/legacy_button_darklighter:task09_waypoint_name				0																												object/tangible/quest/legacy_darklighter_pallet2_datapad.iff	1	@quest/ground/legacy_button_darklighter:task09_item_name	100	@quest/ground/legacy_button_darklighter:task09_retrieve_menu_text
