ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	RADIUS	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	REWARD_CREDITS	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	i	i	i	s	s	s	s	s	i	i	i	i	s	s	s	i	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s	s	i	s	i	s
quest.task.ground.wait_for_signal	@quest/ground/legacy_button_jawatracks_pt2b:task00_journal_entry_title	@quest/ground/legacy_button_jawatracks_pt2b:task00_journal_entry_description	1			0	1		legacy_button_jawatracks_e9	1							1		1	1	tatooine	-2575	0.0	-5517			@quest/ground/legacy_button_jawatracks_pt2b:task00_waypoint_name	legacy_button_jawatracks_launch_e14	0			0		0	0	0	0																																									
quest.task.ground.go_to_location	@quest/ground/legacy_button_jawatracks_pt2b:task01_journal_entry_title	@quest/ground/legacy_button_jawatracks_pt2b:task01_journal_entry_description	1			0	2		legacy_button_jawatracks_e95	0							1		1	1	tatooine	-2580	0.0	-5638			@quest/ground/legacy_button_jawatracks_pt2b:task01_waypoint_name										0	10.0																																								
quest.task.ground.encounter	@quest/ground/legacy_button_jawatracks_pt2b:task02_journal_entry_title	@quest/ground/legacy_button_jawatracks_pt2b:task02_journal_entry_description	1			0	11	3	legacy_button_jawatracks_e10	0							1		1	0	tatooine	0.0	0.0	0.0													60		tatooine_lin_demolitionmech	1	5	10	30	30																																		
quest.task.ground.show_message_box			0			0	4		legacy_button_jawatracks_e116	0							1		1	0	tatooine	0.0	0.0	0.0																					@quest/ground/legacy_button_jawatracks_pt2b:task03_message_box_title	@quest/ground/legacy_button_jawatracks_pt2b:task03_message_box_text	sound/music_combat_e_thru_s_def.snd	-1	-1	-1	-1																											
quest.task.ground.wait_for_signal	@quest/ground/legacy_button_jawatracks_pt2b:task04_journal_entry_title	@quest/ground/legacy_button_jawatracks_pt2b:task04_journal_entry_description	1			0	5		legacy_button_jawatracks_e116	0							1		1	0	tatooine	0.0	0.0	0.0				legacy_button_jawatracks_launch_e117	0			0		0	0	0	0																																									
quest.task.ground.destroy_multi	@quest/ground/legacy_button_jawatracks_pt2b:task05_journal_entry_title	@quest/ground/legacy_button_jawatracks_pt2b:task05_journal_entry_description	1			0	6		legacy_button_jawatracks_e117	0							1		1	0	tatooine	0.0	0.0	0.0													0			10												greater_desert_womprat		lars_homestead	0																							
quest.task.ground.wait_for_signal	@quest/ground/legacy_button_jawatracks_pt2b:task06_journal_entry_title	@quest/ground/legacy_button_jawatracks_pt2b:task06_journal_entry_description	1			0	7		legacy_button_jawatracks_e118	0							1		1	0	tatooine	0.0	0.0	0.0					0			0		0	0	0	0																																									
quest.task.ground.reward	@quest/ground/legacy_button_jawatracks_pt2b:task07_journal_entry_title		0			0	8		legacy_button_jawatracks_e119	0							1		1	0	tatooine	0.0	0.0	0.0																1																	0	Rebel	0	0		1	object/tangible/quest/legacy_tracks_zef_datapad.iff		1	0.1	0.1	0.1	0.1		1	0.1						
quest.task.ground.retrieve_item			1			0	9		legacy_button_jawatracks_e120	0							1		1	0	tatooine	0.0	0.0	0.0													0																																					object/tangible/quest/legacy_tracks_zef_datapad.iff	1	@quest/ground/legacy_button_jawatracks_pt2b:task08_item_name	100	@quest/ground/legacy_button_jawatracks_pt2b:task08_retrieve_menu_text
