ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	s	s	i	i	i	s	s	s	i	i	i	i	s	b	s	s	s	s	f	f	f
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_meanwhile_chase:task00_journal_entry_title	@quest/ground/naboo_theed_meanwhile_chase:task00_journal_entry_description	1			0	1		theed_meanwhile_chase_01	1							1		1	1	naboo	-5918.2001953125	7.09999990463257	3939.39990234375			@quest/ground/naboo_theed_meanwhile_chase:task00_waypoint_name	naboo_muskeg_radical			11	0	0																
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_meanwhile_chase:task01_journal_entry_title	@quest/ground/naboo_theed_meanwhile_chase:task01_journal_entry_description	1			0	2		theed_meanwhile_chase_02	1							1		1	1	naboo	-5976.7001953125	9.10000038146973	3885.10009765625			@quest/ground/naboo_theed_meanwhile_chase:task01_waypoint_name	naboo_muskeg_fanatic			9	0	0																
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_meanwhile_chase:task02_journal_entry_title	@quest/ground/naboo_theed_meanwhile_chase:task02_journal_entry_description	1			0	3		theed_meanwhile_chase_03	1							1		1	1	naboo	-6080.89990234375	8.80000019073486	3837.69995117188			@quest/ground/naboo_theed_meanwhile_chase:task02_waypoint_name	naboo_muskeg_zealot			11	0	0																
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_meanwhile_chase:task03_journal_entry_title	@quest/ground/naboo_theed_meanwhile_chase:task03_journal_entry_description	1			0	4		theed_meanwhile_chase_04	1							1		1	1	naboo	-6080.89990234375	8.80000019073486	3837.69995117188			@quest/ground/naboo_theed_meanwhile_chase:task03_waypoint_name	naboo_muskeg_dubbin_sharr			1	0	0																
quest.task.ground.show_message_box	@quest/ground/naboo_theed_meanwhile_chase:task04_journal_entry_title	@quest/ground/naboo_theed_meanwhile_chase:task04_journal_entry_description	1			0	5		theed_meanwhile_chase_05	0							1		1	0	tatooine	0.0	0.0	0.0										@quest/ground/naboo_theed_meanwhile_chase:task04_message_box_title	@quest/ground/naboo_theed_meanwhile_chase:task04_message_box_text		-1	-1	-1	-1									
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_meanwhile_chase:task05_journal_entry_title	@quest/ground/naboo_theed_meanwhile_chase:task05_journal_entry_description	1			0	6		theed_meanwhile_chase_06	1							1		1	1	naboo	-4750.60009765625	-196.399993896484	4864.5			@quest/ground/naboo_theed_meanwhile_chase:task05_waypoint_name		skaak_tipper_gang		8	0	0																
quest.task.ground.show_message_box	@quest/ground/naboo_theed_meanwhile_chase:task06_journal_entry_title	@quest/ground/naboo_theed_meanwhile_chase:task06_journal_entry_description	1			0	7		theed_meanwhile_chase_07	0							1		1	0	tatooine	0.0	0.0	0.0										@quest/ground/naboo_theed_meanwhile_chase:task06_message_box_title	@quest/ground/naboo_theed_meanwhile_chase:task06_message_box_text		-1	-1	-1	-1									
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_meanwhile_chase:task07_journal_entry_title	@quest/ground/naboo_theed_meanwhile_chase:task07_journal_entry_description	1			0	8		theed_meanwhile_chase_08	1							1		1	1	naboo	-4526.2998046875	9.69999980926514	3650.19995117188			@quest/ground/naboo_theed_meanwhile_chase:task07_waypoint_name		mummer_gang		7	0	0																
quest.task.ground.show_message_box	@quest/ground/naboo_theed_meanwhile_chase:task08_journal_entry_title	@quest/ground/naboo_theed_meanwhile_chase:task08_journal_entry_description	1			0	9		theed_meanwhile_chase_08b	0							1		1	0	tatooine	0.0	0.0	0.0										@quest/ground/naboo_theed_meanwhile_chase:task08_message_box_title	@quest/ground/naboo_theed_meanwhile_chase:task08_message_box_text		-1	-1	-1	-1									
