ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	RADIUS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s
quest.task.ground.comm_player			0			0	1		pietteComm	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/outbreak_quest_facility_05_imperial:task00_comm_message_text	object/mobile/dressed_imperial_officer_firmus_piett.iff											
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_05_imperial:task01_journal_entry_title	@quest/ground/outbreak_quest_facility_05_imperial:task01_journal_entry_description	1			0	2		leaveFacility	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				hasLeftFacility	0			0		0	0	0	0	
quest.task.ground.go_to_location	@quest/ground/outbreak_quest_facility_05_imperial:task02_journal_entry_title	@quest/ground/outbreak_quest_facility_05_imperial:task02_journal_entry_description	1			0	3		moveToTask	0				0	none	none				1		1			1	dathomir	-7378	551	-7383			@quest/ground/outbreak_quest_facility_05_imperial:task02_waypoint_name	0	0.0	0.0	0.0													0	5
quest.task.ground.comm_player			0			0	4		mentorComm	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/outbreak_quest_facility_05_imperial:task03_comm_message_text	object/mobile/dressed_imperial_officer_firmus_piett.iff											
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_05_imperial:task04_journal_entry_title	@quest/ground/outbreak_quest_facility_05_imperial:task04_journal_entry_description	1			0	5		coverSurvivors	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				allDoneSurvivors	0			0		0	0	0	0	
quest.task.ground.comm_player			0			0	6		pietteComm3	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/outbreak_quest_facility_05_imperial:task05_comm_message_text	object/mobile/dressed_imperial_officer_firmus_piett.iff											
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_05_imperial:task06_journal_entry_title	@quest/ground/outbreak_quest_facility_05_imperial:task06_journal_entry_description	1			0	7		seeHX138	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				spokeToHX138Escape	0			0		0	0	0	0	
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_05_imperial:task07_journal_entry_title	@quest/ground/outbreak_quest_facility_05_imperial:task07_journal_entry_description	1			0	8		speakPietteDebrief	0				0	none	none				1		1			1	dathomir	-5750	510	-6493			@quest/ground/outbreak_quest_facility_05_imperial:task07_waypoint_name	0	0.0	0.0	0.0				hasSpokenPietteDebreif	0			0		0	0	0	0	
quest.task.ground.comm_player			0			0	9		rhaneThanks	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/outbreak_quest_facility_05_imperial:task08_comm_message_text	object/mobile/dressed_twi_female_scientist_01.iff											
quest.task.ground.complete_quest			0			0			questNew	0				0	none	none			quest/outbreak_quest_final_imperial	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0														
