ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	s	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.go_to_location	@quest/ground/recovery_quest_imperial_02:task00_journal_entry_title	@quest/ground/recovery_quest_imperial_02:task00_journal_entry_description	1			0	1,2,3,4		findDetainmentCtr	0				0	none	none				1		1			1	corellia	-6549	398	5983			@quest/ground/recovery_quest_imperial_02:task00_waypoint_name	0	0.0	0.0	0.0		15	0																																		
quest.task.ground.destroy_multi	@quest/ground/recovery_quest_imperial_02:task01_journal_entry_title	@quest/ground/recovery_quest_imperial_02:task01_journal_entry_description	1			0			task3	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	reb_empireday_detentionboss_rebtrooper			1	0																													
quest.task.ground.destroy_multi	@quest/ground/recovery_quest_imperial_02:task02_journal_entry_title	@quest/ground/recovery_quest_imperial_02:task02_journal_entry_description	1			0			task2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	rebel_detainment_blastromech			1	0																													
quest.task.ground.destroy_multi	@quest/ground/recovery_quest_imperial_02:task03_journal_entry_title	@quest/ground/recovery_quest_imperial_02:task03_journal_entry_description	1			0			task1	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	rebel_detainment_commando			5	0																													
quest.task.ground.wait_for_tasks	@quest/ground/recovery_quest_imperial_02:task04_journal_entry_title	@quest/ground/recovery_quest_imperial_02:task04_journal_entry_description	0			0	5		noTasked	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0						quest/recovery_quest_imperial_02	task1	@quest/ground/recovery_quest_imperial_02:task04_task_display_string_1	quest/recovery_quest_imperial_02	task2	@quest/ground/recovery_quest_imperial_02:task04_task_display_string_2	quest/recovery_quest_imperial_02	task3	@quest/ground/recovery_quest_imperial_02:task04_task_display_string_3																				
quest.task.ground.comm_player	@quest/ground/recovery_quest_imperial_02:task05_journal_entry_title	@quest/ground/recovery_quest_imperial_02:task05_journal_entry_description	0			0	6		notsk	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																											@quest/ground/recovery_quest_imperial_02:task05_comm_message_text	object/mobile/mara_jade_empire_day.iff									
quest.task.ground.wait_for_signal	@quest/ground/recovery_quest_imperial_02:task06_journal_entry_title	@quest/ground/recovery_quest_imperial_02:task06_journal_entry_description	1			0	7		recoverImpOfficer01	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																										hasRecoveredImpOfficer01	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/recovery_quest_imperial_02:task07_journal_entry_title	@quest/ground/recovery_quest_imperial_02:task07_journal_entry_description	1			0	8		giveDisguise	0				0	none	none				1	quest/recovery_quest_imperial_fail_02	1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			300																										hasReceivedDisguise	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/recovery_quest_imperial_02:task08_journal_entry_title	@quest/ground/recovery_quest_imperial_02:task08_journal_entry_description	0			0			prisonerLeaving	0				0	none	none			recovery_quest_imperial_03	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																										prisonerHasLeftTheBuilding	0			0		0	0	0
