ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	RADIUS	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s	s	s	s	s	i
quest.task.ground.nothing			0			0	1,3,5,7,9,11,13			0	sound/mus_mustafar_quest_exception.snd			0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																												
quest.task.ground.wait_for_tasks	@quest/ground/som_mustafar_exploration:task01_journal_entry_title	@quest/ground/som_mustafar_exploration:task01_journal_entry_description	1			0	2		mustafar_exploration_finish	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		quest/som_mustafar_exploration	mustafar_exploration_kill_one	@quest/ground/som_mustafar_exploration:task01_task_display_string_1	quest/som_mustafar_exploration	mustafar_exploration_kill_two	@quest/ground/som_mustafar_exploration:task01_task_display_string_2	quest/som_mustafar_exploration	mustafar_exploration_kill_three	@quest/ground/som_mustafar_exploration:task01_task_display_string_3	quest/som_mustafar_exploration	mustafar_exploration_crash_site	@quest/ground/som_mustafar_exploration:task01_task_display_string_4	quest/som_mustafar_exploration	mustafar_exploration_kill_four	@quest/ground/som_mustafar_exploration:task01_task_display_string_5	quest/som_mustafar_exploration	mustafar_exploration_kill_five	@quest/ground/som_mustafar_exploration:task01_task_display_string_6	0																								
quest.task.ground.reward			0			0				1		sound/mus_mustafar_quest_success.snd		0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																						0	Rebel	0	10000	item_tow_painting_02_01	1		1		1	0.1	0.1	0.1	0.1		1	0.1						
quest.task.ground.go_to_location	@quest/ground/som_mustafar_exploration:task03_journal_entry_title	@quest/ground/som_mustafar_exploration:task03_journal_entry_description	1			0	4		mustafar_exploration_six	1				0	none	none				1		1			0	mustafar	-962	9	2448				0	0.0	0.0	0.0																				0																				25				
quest.task.ground.destroy_multi	@quest/ground/som_mustafar_exploration:task04_journal_entry_title	@quest/ground/som_mustafar_exploration:task04_journal_entry_description	1			0			mustafar_exploration_kill_five	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0									5													tulrus		0
quest.task.ground.go_to_location	@quest/ground/som_mustafar_exploration:task05_journal_entry_title	@quest/ground/som_mustafar_exploration:task05_journal_entry_description	1			0	6		mustafar_exploration_five	1				0	none	none				1		1			0	mustafar	-1805	8	5455				0	0.0	0.0	0.0																				0																				25				
quest.task.ground.destroy_multi	@quest/ground/som_mustafar_exploration:task06_journal_entry_title	@quest/ground/som_mustafar_exploration:task06_journal_entry_description	1			0			mustafar_exploration_kill_four	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0									5													xandank		0
quest.task.ground.go_to_location	@quest/ground/som_mustafar_exploration:task07_journal_entry_title	@quest/ground/som_mustafar_exploration:task07_journal_entry_description	1			0	8		mustafar_exploration_four	1				0	none	none				1		1			0	mustafar	-2855	61	4335				0	0.0	0.0	0.0																				0																				25				
quest.task.ground.go_to_location	@quest/ground/som_mustafar_exploration:task08_journal_entry_title	@quest/ground/som_mustafar_exploration:task08_journal_entry_description	1			0			mustafar_exploration_crash_site	1				0	none	none				1		1			0	mustafar	-2747	234	3534				0	0.0	0.0	0.0																				0																				50				
