ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	RADIUS	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	i	s	i	s	s	s	i	i	i	i	s	s	s	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_grim_discovery:task00_journal_entry_title	@quest/ground/talus_nashal_grim_discovery:task00_journal_entry_description	1			0	1		grim_discovery_retrieve_01_01	0							1		1			1	talus	6403	0.0	7364			@quest/ground/talus_nashal_grim_discovery:task00_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/talus_genetic_potential_datapad_07.iff	1	@quest/ground/talus_nashal_grim_discovery:task00_item_name	100	5	@quest/ground/talus_nashal_grim_discovery:task00_retrieve_menu_text	0																																										
quest.task.ground.show_message_box	@quest/ground/talus_nashal_grim_discovery:task01_journal_entry_title	@quest/ground/talus_nashal_grim_discovery:task01_journal_entry_description	1			0	2		grim_discovery_retrieve_01_02	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0									@quest/ground/talus_nashal_grim_discovery:task01_message_box_title	@quest/ground/talus_nashal_grim_discovery:task01_message_box_text		-1	-1	-1	-1																																			
quest.task.ground.go_to_location	@quest/ground/talus_nashal_grim_discovery:task02_journal_entry_title	@quest/ground/talus_nashal_grim_discovery:task02_journal_entry_description	1			0	3,4,5		grim_discovery_01_03	0							1		1			1	talus	5070	0.0	6391			@quest/ground/talus_nashal_grim_discovery:task02_waypoint_name	0	0.0	0.0	0.0								0								10.0																																		
quest.task.ground.destroy_multi	@quest/ground/talus_nashal_grim_discovery:task03_journal_entry_title	@quest/ground/talus_nashal_grim_discovery:task03_journal_entry_description	1			0			grim_discovery_destroy_02_04b	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								0									talus_nashal_brood5a_arachne			8	0																													
quest.task.ground.destroy_multi	@quest/ground/talus_nashal_grim_discovery:task04_journal_entry_title	@quest/ground/talus_nashal_grim_discovery:task04_journal_entry_description	1			0			grim_discovery_destroy_01_04a	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								0									talus_nashal_brood5_arachne			8	0																													
quest.task.ground.wait_for_tasks	@quest/ground/talus_nashal_grim_discovery:task05_journal_entry_title	@quest/ground/talus_nashal_grim_discovery:task05_journal_entry_description	1			0	6		grim_discovery_tasks_01_04	0							1		1			1	talus	5070	0.0	6391			@quest/ground/talus_nashal_grim_discovery:task05_waypoint_name	0	0.0	0.0	0.0								0														quest/talus_nashal_grim_discovery	grim_discovery_destroy_01_04a	@quest/ground/talus_nashal_grim_discovery:task05_task_display_string_1	quest/talus_nashal_grim_discovery	grim_discovery_destroy_02_04b	@quest/ground/talus_nashal_grim_discovery:task05_task_display_string_2																							
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_grim_discovery:task06_journal_entry_title	@quest/ground/talus_nashal_grim_discovery:task06_journal_entry_description	1			0	7		grim_discovery_retrieve_02_05	0							1		1			1	talus	5070	0.0	6391			@quest/ground/talus_nashal_grim_discovery:task06_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/talus_genetic_potential_datapad_08.iff	1	@quest/ground/talus_nashal_grim_discovery:task06_item_name	100	10	@quest/ground/talus_nashal_grim_discovery:task06_retrieve_menu_text	0																																										
quest.task.ground.comm_player	@quest/ground/talus_nashal_grim_discovery:task07_journal_entry_title	@quest/ground/talus_nashal_grim_discovery:task07_journal_entry_description	1			0	8,9,10,11		grim_discovery_comm_01_06	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																								@quest/ground/talus_nashal_grim_discovery:task07_comm_message_text	/object/mobile/dressed_corsec_captain_human_male_02.iff									
quest.task.ground.destroy_multi	@quest/ground/talus_nashal_grim_discovery:task08_journal_entry_title	@quest/ground/talus_nashal_grim_discovery:task08_journal_entry_description	1			0			grim_discovery_destroy_05_07c	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								0									talus_nashal_brood10_arachne			3	0																													
