ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	RADIUS	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	MIN_TIME	MAX_TIME
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f	s	s	s	s	i	i	i	i	i
quest.task.ground.comm_player	@quest/ground/prof_medic_21:task00_journal_entry_title	@quest/ground/prof_medic_21:task00_journal_entry_description	1			0	1			0							1		1	0	tatooine	0.0	0.0	0.0				@quest/ground/prof_medic_21:task00_comm_message_text	object/mobile/dressed_npe_21b.iff																				
quest.task.ground.go_to_location	@quest/ground/prof_medic_21:task01_journal_entry_title	@quest/ground/prof_medic_21:task01_journal_entry_description	1			0	2		gotoestate	1							1		1	1	naboo	-2575	134	-903			@quest/ground/prof_medic_21:task01_waypoint_name			50	0																		
quest.task.ground.wait_for_signal	@quest/ground/prof_medic_21:task02_journal_entry_title	@quest/ground/prof_medic_21:task02_journal_entry_description	1			0	3		talktolarence	1							1		1	1	naboo	-2571	134	-890	naboo	mainchamber	@quest/ground/prof_medic_21:task02_waypoint_name				0	prof_medic_21_larence	0			0		0	0	0									
quest.task.ground.wait_for_signal	@quest/ground/prof_medic_21:task03_journal_entry_title	@quest/ground/prof_medic_21:task03_journal_entry_description	1			0	4		mia1	0							1		1	1	naboo	-2573	128	-890	naboo	roomb1	@quest/ground/prof_medic_21:task03_waypoint_name				0	npe_medic_21_mia_failed	0			0		0	0	0									
quest.task.ground.destroy_multi_and_loot	@quest/ground/prof_medic_21:task04_journal_entry_title	@quest/ground/prof_medic_21:task04_journal_entry_description	1			0	5		killcreatures	1							1		1	1	naboo	-2575	134	-903			@quest/ground/prof_medic_21:task04_waypoint_name				0											rabid		Blood Sample	6	70	0		
quest.task.ground.comm_player			0			0	6			0							1		1	0	tatooine	0.0	0.0	0.0																									
quest.task.ground.wait_for_signal	@quest/ground/prof_medic_21:task06_journal_entry_title	@quest/ground/prof_medic_21:task06_journal_entry_description	1			0	7		talktomia	1							1		1	1	naboo	-2573	128	-890	naboo	roomb1	@quest/ground/prof_medic_21:task06_waypoint_name				0	prof_medic_21_mia	0			0		0	0	0									
quest.task.ground.wait_for_signal	@quest/ground/prof_medic_21:task07_journal_entry_title	@quest/ground/prof_medic_21:task07_journal_entry_description	1			0	8		talktojowres	1							1		1	1	naboo	-2579	139	-892	naboo	roomf2	@quest/ground/prof_medic_21:task07_waypoint_name				0	prof_medic_21_jowres	0			0		0	0	0									
quest.task.ground.timer			0			0	9			0							1		1	0	tatooine	0.0	0.0	0.0																								3	5
quest.task.ground.comm_player	@quest/ground/prof_medic_21:task09_journal_entry_title	@quest/ground/prof_medic_21:task09_journal_entry_description	1			0	10		billcomm	0							1		1	0	tatooine	0.0	0.0	0.0				@quest/ground/prof_medic_21:task09_comm_message_text	object/mobile/dressed_npe_21b.iff																				
quest.task.ground.wait_for_signal	@quest/ground/prof_medic_21:task10_journal_entry_title	@quest/ground/prof_medic_21:task10_journal_entry_description	1			0			getreward	0							1		1	1	naboo	-2571	134	-890	naboo	mainchamber	@quest/ground/prof_medic_21:task10_waypoint_name				0	prof_medic_21_reward	0			0		0	0	0									
