ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	i	s	i	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
quest.task.ground.wait_for_signal	@quest/ground/corellia_disappearances_2_hermit:task00_journal_entry_title	@quest/ground/corellia_disappearances_2_hermit:task00_journal_entry_description	1			0	1		talktohermit	1				0	none	none				1		1			1	corellia	3969	288	6076			@quest/ground/corellia_disappearances_2_hermit:task00_waypoint_name	0	0.0	0.0	0.0		corellia_disappearances_2_hermit_1	0			0		0	0	0	0																												
quest.task.ground.comm_player	@quest/ground/corellia_disappearances_2_hermit:task01_journal_entry_title	@quest/ground/corellia_disappearances_2_hermit:task01_journal_entry_description	1			0	2,3,4,5,6			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/corellia_disappearances_2_hermit:task01_comm_message_text	object/mobile/dressed_disappearances_questgiver.iff																										
quest.task.ground.retrieve_item	@quest/ground/corellia_disappearances_2_hermit:task02_journal_entry_title		0			0			object4	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0			object/tangible/quest/corellia_disappearances_2_object_4.iff	1	@quest/ground/corellia_disappearances_2_hermit:task02_item_name	100	0	0	0	@quest/ground/corellia_disappearances_2_hermit:task02_retrieve_menu_text																		
quest.task.ground.retrieve_item	@quest/ground/corellia_disappearances_2_hermit:task03_journal_entry_title		0			0			object3	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0			object/tangible/quest/corellia_disappearances_2_object_3.iff	1	@quest/ground/corellia_disappearances_2_hermit:task03_item_name	100	0	0	0	@quest/ground/corellia_disappearances_2_hermit:task03_retrieve_menu_text																		
quest.task.ground.retrieve_item	@quest/ground/corellia_disappearances_2_hermit:task04_journal_entry_title		0			0			object2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0			object/tangible/quest/corellia_disappearances_2_object_2.iff	1	@quest/ground/corellia_disappearances_2_hermit:task04_item_name	100	0	0	0	@quest/ground/corellia_disappearances_2_hermit:task04_retrieve_menu_text																		
quest.task.ground.retrieve_item	@quest/ground/corellia_disappearances_2_hermit:task05_journal_entry_title		0			0			object1	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0			object/tangible/quest/corellia_disappearances_2_object_1.iff	1	@quest/ground/corellia_disappearances_2_hermit:task05_item_name	100	0	0	0	@quest/ground/corellia_disappearances_2_hermit:task05_retrieve_menu_text																		
quest.task.ground.wait_for_tasks	@quest/ground/corellia_disappearances_2_hermit:task06_journal_entry_title	@quest/ground/corellia_disappearances_2_hermit:task06_journal_entry_description	1			0	7			1				0	none	none				1		1			1	corellia	3969	288	6076			@quest/ground/corellia_disappearances_2_hermit:task06_waypoint_name	0	0.0	0.0	0.0											0											quest/corellia_disappearances_2_hermit	object1	@quest/ground/corellia_disappearances_2_hermit:task06_task_display_string_1	quest/corellia_disappearances_2_hermit	object2	@quest/ground/corellia_disappearances_2_hermit:task06_task_display_string_2	quest/corellia_disappearances_2_hermit	object3	@quest/ground/corellia_disappearances_2_hermit:task06_task_display_string_3	quest/corellia_disappearances_2_hermit	object4	@quest/ground/corellia_disappearances_2_hermit:task06_task_display_string_4						
quest.task.ground.comm_player	@quest/ground/corellia_disappearances_2_hermit:task07_journal_entry_title	@quest/ground/corellia_disappearances_2_hermit:task07_journal_entry_description	1			0	8			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/corellia_disappearances_2_hermit:task07_comm_message_text	object/mobile/dressed_disappearances_questgiver.iff																										
quest.task.ground.complete_quest			0			0				0				0	none	none			quest/corellia_disappearances_3_trial	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																							
