ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	RADIUS	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s	s	i	s	b	s	s	s	s	f	f	f
quest.task.ground.reward	@quest/ground/c_darndroid1:task00_journal_entry_title	@quest/ground/c_darndroid1:task00_journal_entry_description	0			0	1		worthlessreward	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	Rebel	0	0		1		1		1	0.1	0.1	0.1	0.1		1	1												
quest.task.ground.go_to_location	@quest/ground/c_darndroid1:task01_journal_entry_title	@quest/ground/c_darndroid1:task01_journal_entry_description	1			0	2		gostar	1				0	none	none				1		1			0	naboo	4796	4	-4698				0	0.0	0.0	0.0																					20	0									
quest.task.ground.wait_for_signal	@quest/ground/c_darndroid1:task02_journal_entry_title	@quest/ground/c_darndroid1:task02_journal_entry_description	1			0	3,8,10		selan	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																						0	c_darndroid1_selan	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/c_darndroid1:task03_journal_entry_title	@quest/ground/c_darndroid1:task03_journal_entry_description	1			0	4		amarentinfo	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																						0	c_darndroid1_amarent	0			0		0	0	0
quest.task.ground.go_to_location	@quest/ground/c_darndroid1:task04_journal_entry_title	@quest/ground/c_darndroid1:task04_journal_entry_description	1			0	5		findship	1				0	none	none				1		1			1	talus	-2380	0	2031			@quest/ground/c_darndroid1:task04_waypoint_name	0	0.0	0.0	0.0																					25	0									
quest.task.ground.wait_for_signal	@quest/ground/c_darndroid1:task05_journal_entry_title	@quest/ground/c_darndroid1:task05_journal_entry_description	1			0	6		talkserth	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																						0	c_darndroid1_valance	0			0		0	0	0
quest.task.ground.reward	@quest/ground/c_darndroid1:task06_journal_entry_title	@quest/ground/c_darndroid1:task06_journal_entry_description	1			0	7		reward	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		combat_general	1000	townsperson	50	3000		1	object/tangible/loot/collectible/collectible_parts/blue_rug_adhesive.iff	1		1	0.1	0.1	0.1	0.1		1	1												
quest.task.ground.complete_quest	@quest/ground/c_darndroid1:task07_journal_entry_title	@quest/ground/c_darndroid1:task07_journal_entry_description	0			0			complete	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																															
quest.task.ground.wait_for_signal	@quest/ground/c_darndroid1:task08_journal_entry_title	@quest/ground/c_darndroid1:task08_journal_entry_description	0			0	9		canbribe	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																						0	c_darndroid1_bribe	0			0		0	0	0
