ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	RADIUS	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	MIN_TIME	MAX_TIME
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	s	i	i	i	s	b	s	s	s	s	f	f	f	s	s	i	s	i	i	s	i	i
quest.task.ground.comm_player	@quest/ground/prof_spy_21a:task00_journal_entry_title	@quest/ground/prof_spy_21a:task00_journal_entry_description	1			0	1		spy_mission_2_e1	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/prof_spy_21a:task00_comm_message_text	object/mobile/dressed_npe_spy_trainer.iff																								
quest.task.ground.destroy_multi	@quest/ground/prof_spy_21a:task01_journal_entry_title	@quest/ground/prof_spy_21a:task01_journal_entry_description	1			0	2		spy_mission_2_e2	0							1		1			1	tatooine	3808	0.0	2401			@quest/ground/prof_spy_21a:task01_waypoint_name	0	0.0	0.0	0.0				spy_pirate			4	0	0																		
quest.task.ground.wait_for_signal	@quest/ground/prof_spy_21a:task02_journal_entry_title	@quest/ground/prof_spy_21a:task02_journal_entry_description	1			0	3		spy_mission_2_e3	0							1		1			1	tatooine	3808	0.0	2397			@quest/ground/prof_spy_21a:task02_waypoint_name	0	0.0	0.0	0.0									0	spy_mission_2_e3	0			0		0	0	0									
quest.task.ground.go_to_location	@quest/ground/prof_spy_21a:task03_journal_entry_title	@quest/ground/prof_spy_21a:task03_journal_entry_description	1			0	4		spy_mission_2_e4	0							1		1			1	tatooine	-5333	0.0	2750			@quest/ground/prof_spy_21a:task03_waypoint_name	0	0.0	0.0	0.0									0										10								
quest.task.ground.retrieve_item	@quest/ground/prof_spy_21a:task04_journal_entry_title	@quest/ground/prof_spy_21a:task04_journal_entry_description	1			0	5,7		spy_mission_2_e5	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0									0											object/tangible/quest/prof_spy_21_incom_plans.iff	1	@quest/ground/prof_spy_21a:task04_item_name	100	0	@quest/ground/prof_spy_21a:task04_retrieve_menu_text		
quest.task.ground.wait_for_signal	@quest/ground/prof_spy_21a:task05_journal_entry_title	@quest/ground/prof_spy_21a:task05_journal_entry_description	1			0	6		spy_mission_2_e6	0							1		1			1	tatooine	1529	0.0	3313			@quest/ground/prof_spy_21a:task05_waypoint_name	0	0.0	0.0	0.0									0	spy_mission_2_e6	0			0		0	0	0									
quest.task.ground.complete_quest	@quest/ground/prof_spy_21a:task06_journal_entry_title	@quest/ground/prof_spy_21a:task06_journal_entry_description	0			0			spy_mission_2_e7	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																											
quest.task.ground.timer	@quest/ground/prof_spy_21a:task07_journal_entry_title	@quest/ground/prof_spy_21a:task07_journal_entry_description	0			0	8		spy_mission_2_e5a	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																										8	12
quest.task.ground.comm_player	@quest/ground/prof_spy_21a:task08_journal_entry_title	@quest/ground/prof_spy_21a:task08_journal_entry_description	0			0			spy_mission_2_e5b	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/prof_spy_21a:task08_comm_message_text	object/mobile/dressed_tatooine_spy_sarlis.iff																								
