ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	REWARD_CREDITS	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f	s	s	s	s	i	i	i	i	i	s	i	s	i	i	s
quest.task.ground.go_to_location	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task00_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task00_journal_entry_description	1			0	1		theed_hugo_rescue_00	0				0	none	none				1		1			1	naboo	-4290.39990234375	-192.199996948242	4350.7998046875			@quest/ground/naboo_theed_hugo_rescue_darkwalker:task00_waypoint_name	0	0.0	0.0	0.0		10.0	0																								
quest.task.ground.wait_for_signal	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task01_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task01_journal_entry_description	1			0	2		theed_hugo_rescue_01	1				0	none	none				1		1			1	naboo	-4290.39990234375	-192.199996948242	4350.7998046875			@quest/ground/naboo_theed_hugo_rescue_darkwalker:task01_waypoint_name	0	0.0	0.0	0.0			0	theed_hugo_rescue_01	0			0		0	0	0															
quest.task.ground.destroy_multi_and_loot	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task02_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task02_journal_entry_description	1			0	3		theed_hugo_rescue_02	1				0	none	none				1		1			1	naboo	-4290.39990234375	-192.199996948242	4350.7998046875			@quest/ground/naboo_theed_hugo_rescue_darkwalker:task02_waypoint_name	0	0.0	0.0	0.0			0										naboo_darkwalker_solon_gaw			Cell Code #1	1	100	0	0	0						
quest.task.ground.destroy_multi_and_loot	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task03_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task03_journal_entry_description	1			0	4		theed_hugo_rescue_03	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0										naboo_darkwalker_critolus_masse			Cell Code #2	1	100	0	0	0						
quest.task.ground.destroy_multi_and_loot	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task04_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task04_journal_entry_description	1			0	5		theed_hugo_rescue_04	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0										naboo_darkwalker_marcus_gaw			Cell Code #3	1	100	0	0	0						
quest.task.ground.retrieve_item	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task05_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task05_journal_entry_description	1			0	6		theed_hugo_rescue_05	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																0	0		object/tangible/quest/naboo_theed_prisoner_control_panel.iff	1	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task05_item_name	100	0	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task05_retrieve_menu_text
quest.task.ground.wait_for_signal	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task06_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task06_journal_entry_description	1			0	7		theed_hugo_rescue_06	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	theed_hugo_rescue_06	0			0		0	0	0															
quest.task.ground.wait_for_signal	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task07_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task07_journal_entry_description	1			0	8		theed_hugo_rescue_07	1				0	none	none				1		1			1	naboo	-5496.10009765625	14	4477.10009765625			@quest/ground/naboo_theed_hugo_rescue_darkwalker:task07_waypoint_name	0	0.0	0.0	0.0			0	theed_hugo_rescue_07	0			0		0	0	0															
quest.task.ground.wait_for_signal	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task08_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_darkwalker:task08_journal_entry_description	1			0			theed_hugo_rescue_08	1				0	none	none				1		1			1	naboo	-5479.39990234375	14	4467.10009765625			@quest/ground/naboo_theed_hugo_rescue_darkwalker:task08_waypoint_name	0	0.0	0.0	0.0			0	theed_hugo_rescue_08	0			0		0	0	0															
