ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	RADIUS	SERVER_TEMPLATE	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	i	i	s	i	i	i	s	s
quest.task.ground.wait_for_signal	@quest/ground/ep3_clone_relics_jedi_starfighter_1:task00_journal_entry_title	@quest/ground/ep3_clone_relics_jedi_starfighter_1:task00_journal_entry_description	1			0	1		talkToCommander	1	sound/music_themequest_acc_imperial.snd						1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		talkToOfficer	0			0		0	0	0	0										
quest.task.ground.go_to_location	@quest/ground/ep3_clone_relics_jedi_starfighter_1:task01_journal_entry_title	@quest/ground/ep3_clone_relics_jedi_starfighter_1:task01_journal_entry_description	1			0	2,4,8			1							1		1			1	kashyyyk_main	240.0	0.0	-390.0			@quest/ground/ep3_clone_relics_jedi_starfighter_1:task01_waypoint_name	0	0.0	0.0	0.0											0	7									
quest.task.ground.escort			0			0		3		0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													at_st								
quest.task.ground.clear_quest	@quest/ground/ep3_clone_relics_jedi_starfighter_1:task03_journal_entry_title	@quest/ground/ep3_clone_relics_jedi_starfighter_1:task03_journal_entry_description	1			0				0	sound/music_themequest_fail_imperial.snd					ep3_clone_relics_jedi_starfighter_1_failed	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																					
quest.task.ground.timer			0			0	5			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0														30	60						
quest.task.ground.encounter			0			0	6			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0					rebel_scout	4	15	25	0.0	0.0
quest.task.ground.timer			0			0	7			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0														40	80						
quest.task.ground.encounter			0			0				0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0					rebel_commando	6	15	25	0.0	0.0
quest.task.ground.go_to_location	@quest/ground/ep3_clone_relics_jedi_starfighter_1:task08_journal_entry_title	@quest/ground/ep3_clone_relics_jedi_starfighter_1:task08_journal_entry_description	1			0	9			1							1		1			0	kashyyyk_main	-514	18	-95			@quest/ground/ep3_clone_relics_jedi_starfighter_1:task08_waypoint_name	0	0.0	0.0	0.0											0	100									
quest.task.ground.complete_quest	@quest/ground/ep3_clone_relics_jedi_starfighter_1:task09_journal_entry_title	@quest/ground/ep3_clone_relics_jedi_starfighter_1:task09_journal_entry_description	1			0				1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																					
