ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	CREATURE_TYPE	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	s	s	s	s	i	i	s	i	s	i	i	i	i	s	s	s	s	i	i	i	i	s	b	s	s	s	s	f	f	f	s	i	i	s	s
quest.task.ground.go_to_location	@quest/ground/c_talus_grave_robbers_1:task00_journal_entry_title	@quest/ground/c_talus_grave_robbers_1:task00_journal_entry_description	1			0	1		goToGrave	1				0	none	none				1		1			1	talus	-4592	0.0	4345			@quest/ground/c_talus_grave_robbers_1:task00_waypoint_name	0	0.0	0.0	0.0		50	0																																				
quest.task.ground.comm_player			0			0	2		comm1	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/c_talus_grave_robbers_1:task01_comm_message_text	object/mobile/dressed_talus_omkoo.iff																																		
quest.task.ground.destroy_multi	@quest/ground/c_talus_grave_robbers_1:task02_journal_entry_title	@quest/ground/c_talus_grave_robbers_1:task02_journal_entry_description	1			0	3			1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0			talus_ttlp_soldier			3	0																													
quest.task.ground.comm_player			0			0	4,9		comm2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/c_talus_grave_robbers_1:task03_comm_message_text	object/mobile/dressed_talus_omkoo.iff																																		
quest.task.ground.retrieve_item	@quest/ground/c_talus_grave_robbers_1:task04_journal_entry_title	@quest/ground/c_talus_grave_robbers_1:task04_journal_entry_description	1			0	5,8		retrieve2	0				0	none	none				1		1			1	talus	-4917	66	-3124			@quest/ground/c_talus_grave_robbers_1:task04_waypoint_name	0	0.0	0.0	0.0			0								object/tangible/quest/talus_grave_robbers_box_large.iff	1	@quest/ground/c_talus_grave_robbers_1:task04_item_name	100	0	0	0	@quest/ground/c_talus_grave_robbers_1:task04_retrieve_menu_text																					
quest.task.ground.show_message_box			0			0	6		document	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																			@quest/ground/c_talus_grave_robbers_1:task05_message_box_title	@quest/ground/c_talus_grave_robbers_1:task05_message_box_text		-1	-1	-1	-1														
quest.task.ground.wait_for_signal	@quest/ground/c_talus_grave_robbers_1:task06_journal_entry_title	@quest/ground/c_talus_grave_robbers_1:task06_journal_entry_description	1			0	7		getReward	0				0	none	none				1		1			1	talus	326	6	-2930			@quest/ground/c_talus_grave_robbers_1:task06_waypoint_name	0	0.0	0.0	0.0			0									1														giveRewardGraveRobbers	0			0		0	0	0					
quest.task.ground.complete_quest			0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																							
quest.task.ground.encounter			0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0						1																										talus_ttlp_soldier	5	10	0.0	0.0
