ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	i	i	s	s	s	i	i	i	i	s	i	s	i	i	i	i	s
quest.task.ground.wait_for_signal	@quest/ground/corellia_38_corsec_files_01:task00_journal_entry_title	@quest/ground/corellia_38_corsec_files_01:task00_journal_entry_description	1			0	1		corsec_files_01_01	1				0	none	none				1		1			1	corellia	-5100	21	-2443			@quest/ground/corellia_38_corsec_files_01:task00_waypoint_name	0	0.0	0.0	0.0		corsec_files_01_01	0			0		0	0	0	0																				
quest.task.ground.wait_for_signal	@quest/ground/corellia_38_corsec_files_01:task01_journal_entry_title	@quest/ground/corellia_38_corsec_files_01:task01_journal_entry_description	1			0	2		corsec_files_01_02	1				0	none	none				1		1			1	corellia	-5096	21	-2445			@quest/ground/corellia_38_corsec_files_01:task01_waypoint_name	0	0.0	0.0	0.0		corsec_files_01_02	0			0		0	0	0	0																				
quest.task.ground.destroy_multi	@quest/ground/corellia_38_corsec_files_01:task02_journal_entry_title	@quest/ground/corellia_38_corsec_files_01:task02_journal_entry_description	1			0	3		corsec_files_01_03	1				0	none	none				1		1			1	corellia	-5200	21	-2340			@quest/ground/corellia_38_corsec_files_01:task02_waypoint_name	0	0.0	0.0	0.0											0	corellia_braggans_fist_thug			11	0															
quest.task.ground.show_message_box	@quest/ground/corellia_38_corsec_files_01:task03_journal_entry_title	@quest/ground/corellia_38_corsec_files_01:task03_journal_entry_description	1			0	4		corsec_files_01_04	0				0	none	none				1		1			0	corellia	0.0	0.0	0.0				0	0.0	0.0	0.0																	@quest/ground/corellia_38_corsec_files_01:task03_message_box_title	@quest/ground/corellia_38_corsec_files_01:task03_message_box_text		-1	-1	-1	-1								
quest.task.ground.retrieve_item	@quest/ground/corellia_38_corsec_files_01:task04_journal_entry_title	@quest/ground/corellia_38_corsec_files_01:task04_journal_entry_description	1			0	5		corsec_files_01_05	1				0	none	none				1		1			1	corellia	-5289	16	-2024			@quest/ground/corellia_38_corsec_files_01:task04_waypoint_name	0	0.0	0.0	0.0											0													object/tangible/quest/corellia/corellia_38_braggan_datapad.iff	1	@quest/ground/corellia_38_corsec_files_01:task04_item_name	100	0	0	0	@quest/ground/corellia_38_corsec_files_01:task04_retrieve_menu_text
quest.task.ground.show_message_box	@quest/ground/corellia_38_corsec_files_01:task05_journal_entry_title	@quest/ground/corellia_38_corsec_files_01:task05_journal_entry_description	1			0	6		corsec_files_01_05a	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																	@quest/ground/corellia_38_corsec_files_01:task05_message_box_title	@quest/ground/corellia_38_corsec_files_01:task05_message_box_text		-1	-1	-1	-1								
quest.task.ground.retrieve_item	@quest/ground/corellia_38_corsec_files_01:task06_journal_entry_title	@quest/ground/corellia_38_corsec_files_01:task06_journal_entry_description	1			0	7		corsec_files_01_06	1				0	none	none				1		1			1	corellia	-5285	15	-1657			@quest/ground/corellia_38_corsec_files_01:task06_waypoint_name	0	0.0	0.0	0.0											0													object/tangible/quest/corellia/corellia_38_braggan_corpse.iff	1	@quest/ground/corellia_38_corsec_files_01:task06_item_name	100	0	0	0	@quest/ground/corellia_38_corsec_files_01:task06_retrieve_menu_text
quest.task.ground.retrieve_item	@quest/ground/corellia_38_corsec_files_01:task07_journal_entry_title	@quest/ground/corellia_38_corsec_files_01:task07_journal_entry_description	1			0	8		corsec_files_01_07	1				0	none	none				1		1			1	corellia	-5285	15	-1657			@quest/ground/corellia_38_corsec_files_01:task07_waypoint_name	0	0.0	0.0	0.0											0													object/tangible/quest/corellia/corellia_38_wilfred_medal.iff	1	@quest/ground/corellia_38_corsec_files_01:task07_item_name	100	0	0	0	@quest/ground/corellia_38_corsec_files_01:task07_retrieve_menu_text
quest.task.ground.show_message_box	@quest/ground/corellia_38_corsec_files_01:task08_journal_entry_title	@quest/ground/corellia_38_corsec_files_01:task08_journal_entry_description	1			0	9		corsec_files_01_07a	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																	@quest/ground/corellia_38_corsec_files_01:task08_message_box_title	@quest/ground/corellia_38_corsec_files_01:task08_message_box_text		-1	-1	-1	-1								
quest.task.ground.wait_for_signal	@quest/ground/corellia_38_corsec_files_01:task09_journal_entry_title	@quest/ground/corellia_38_corsec_files_01:task09_journal_entry_description	1			0	10		corsec_files_01_08	1				0	none	none				1		1			1	corellia	-5100	21	-2442			@quest/ground/corellia_38_corsec_files_01:task09_waypoint_name	0	0.0	0.0	0.0		corsec_files_01_08	0			0		0	0	0	0																				
quest.task.ground.wait_for_signal	@quest/ground/corellia_38_corsec_files_01:task10_journal_entry_title	@quest/ground/corellia_38_corsec_files_01:task10_journal_entry_description	1			0			corsec_files_01_09	1				0	none	none				1		1			1	corellia	-5150	21	-2361			@quest/ground/corellia_38_corsec_files_01:task10_waypoint_name	0	0.0	0.0	0.0		corsec_files_01_09	0			0		0	0	0	0																				
