ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	RADIUS	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	i
quest.task.ground.wait_for_signal	@quest/ground/corellia_39_chirq_council_01:task00_journal_entry_title	@quest/ground/corellia_39_chirq_council_01:task00_journal_entry_description	1			0	1,12,13,14		chirq_council_01_01	1							1		1			1	corellia	3084	280	4979			@quest/ground/corellia_39_chirq_council_01:task00_waypoint_name	0	0.0	0.0	0.0		chirq_council_01_01	0			0		0	0	0	0																										
quest.task.ground.wait_for_tasks	@quest/ground/corellia_39_chirq_council_01:task01_journal_entry_title	@quest/ground/corellia_39_chirq_council_01:task01_journal_entry_description	1			0	2		chirq_council_01_02	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	quest/corellia_39_chirq_council_01	chirq_council_01_02a	@quest/ground/corellia_39_chirq_council_01:task01_task_display_string_1	quest/corellia_39_chirq_council_01	chirq_council_01_02b	@quest/ground/corellia_39_chirq_council_01:task01_task_display_string_2	quest/corellia_39_chirq_council_01	chirq_council_01_02c	@quest/ground/corellia_39_chirq_council_01:task01_task_display_string_3																	
quest.task.ground.comm_player	@quest/ground/corellia_39_chirq_council_01:task02_journal_entry_title	@quest/ground/corellia_39_chirq_council_01:task02_journal_entry_description	1			0	3		chirq_council_01_03a	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																														@quest/ground/corellia_39_chirq_council_01:task02_comm_message_text	object/mobile/dressed_robber_human_female_01.iff						
quest.task.ground.go_to_location	@quest/ground/corellia_39_chirq_council_01:task03_journal_entry_title	@quest/ground/corellia_39_chirq_council_01:task03_journal_entry_description	1			0	4		chirq_council_01_03	1							1		1			1	corellia	3342	348	4816			@quest/ground/corellia_39_chirq_council_01:task03_waypoint_name	0	0.0	0.0	0.0											0																					10.0					
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_01:task04_journal_entry_title	@quest/ground/corellia_39_chirq_council_01:task04_journal_entry_description	1			0	5		chirq_council_01_04	1							1		1			1	corellia	3342	348	4816			@quest/ground/corellia_39_chirq_council_01:task04_waypoint_name	0	3342	348	4816	@quest/ground/corellia_39_chirq_council_01:task04_entrance_waypoint_name										0																						corellia_drall_patriot_tactician			11	0
quest.task.ground.comm_player	@quest/ground/corellia_39_chirq_council_01:task05_journal_entry_title	@quest/ground/corellia_39_chirq_council_01:task05_journal_entry_description	1			0	6		chirq_council_01_05a	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																														@quest/ground/corellia_39_chirq_council_01:task05_comm_message_text	object/mobile/dressed_robber_human_female_01.iff						
quest.task.ground.wait_for_signal	@quest/ground/corellia_39_chirq_council_01:task06_journal_entry_title	@quest/ground/corellia_39_chirq_council_01:task06_journal_entry_description	1			0	7,10,11		chirq_council_01_05	1							1		1			1	corellia	3277	300	5384			@quest/ground/corellia_39_chirq_council_01:task06_waypoint_name	0	0.0	0.0	0.0		chirq_council_01_05	0			0		0	0	0	0																										
quest.task.ground.wait_for_tasks	@quest/ground/corellia_39_chirq_council_01:task07_journal_entry_title	@quest/ground/corellia_39_chirq_council_01:task07_journal_entry_description	1			0	8		chirq_council_01_06	1							1		1			1	corellia	3068	364	5437			@quest/ground/corellia_39_chirq_council_01:task07_waypoint_name	0	0.0	0.0	0.0											0	quest/corellia_39_chirq_council_01	chirq_council_01_06a	@quest/ground/corellia_39_chirq_council_01:task07_task_display_string_1	quest/corellia_39_chirq_council_01	chirq_council_01_06b	@quest/ground/corellia_39_chirq_council_01:task07_task_display_string_2																				
quest.task.ground.comm_player	@quest/ground/corellia_39_chirq_council_01:task08_journal_entry_title	@quest/ground/corellia_39_chirq_council_01:task08_journal_entry_description	1			0	9		chirq_council_01_07	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																														@quest/ground/corellia_39_chirq_council_01:task08_comm_message_text	object/mobile/dressed_villain_trandoshan_male_01.iff						
quest.task.ground.wait_for_signal	@quest/ground/corellia_39_chirq_council_01:task09_journal_entry_title	@quest/ground/corellia_39_chirq_council_01:task09_journal_entry_description	1			0			chirq_council_01_08	1							1		1			1	corellia	3178	300	5372			@quest/ground/corellia_39_chirq_council_01:task09_waypoint_name	0	0.0	0.0	0.0		chirq_council_01_08	0			0		0	0	0	0																										
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_01:task10_journal_entry_title	@quest/ground/corellia_39_chirq_council_01:task10_journal_entry_description	1			0			chirq_council_01_06b	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																						corellia_corsec_rogue_xyrias_undea			1	0
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_01:task11_journal_entry_title	@quest/ground/corellia_39_chirq_council_01:task11_journal_entry_description	1			0			chirq_council_01_06a	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																						corellia_corsec_rogue_miscreant			9	0
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_01:task12_journal_entry_title	@quest/ground/corellia_39_chirq_council_01:task12_journal_entry_description	1			0			chirq_council_01_02c	1							1		1			1	corellia	3006	308	4995			@quest/ground/corellia_39_chirq_council_01:task12_waypoint_name	0	0.0	0.0	0.0											0																						corellia_ragtag_lilea_norith			1	0
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_01:task13_journal_entry_title	@quest/ground/corellia_39_chirq_council_01:task13_journal_entry_description	1			0			chirq_council_01_02b	1							1		1			1	corellia	3226	290	4957			@quest/ground/corellia_39_chirq_council_01:task13_waypoint_name	0	0.0	0.0	0.0											0																						corellia_ragtag_ventil_tamplin			1	0
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_01:task14_journal_entry_title	@quest/ground/corellia_39_chirq_council_01:task14_journal_entry_description	1			0			chirq_council_01_02a	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																						corellia_ragtag_cudgel			7	0
