ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	s	s	i	i	s	b	s	s	s	s	f	f	f	s	s
quest.task.ground.nothing			0			0	1,6,7,8			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																				
quest.task.ground.wait_for_tasks	@quest/ground/naboo_theed_meanwhile_ranch:task01_journal_entry_title	@quest/ground/naboo_theed_meanwhile_ranch:task01_journal_entry_description	1			0	2		theed_meanwhile_ranch_00	1				0	none	none				1		1			1	naboo	-6029	-195	4675			@quest/ground/naboo_theed_meanwhile_ranch:task01_waypoint_name	0	0.0	0.0	0.0		quest/naboo_theed_meanwhile_ranch	theed_meanwhile_ranch_01	@quest/ground/naboo_theed_meanwhile_ranch:task01_task_display_string_1	quest/naboo_theed_meanwhile_ranch	theed_meanwhile_ranch_02	@quest/ground/naboo_theed_meanwhile_ranch:task01_task_display_string_2	quest/naboo_theed_meanwhile_ranch	theed_meanwhile_ranch_03	@quest/ground/naboo_theed_meanwhile_ranch:task01_task_display_string_3										0																
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_meanwhile_ranch:task02_journal_entry_title	@quest/ground/naboo_theed_meanwhile_ranch:task02_journal_entry_description	1			0	3		theed_meanwhile_ranch_04	1				0	none	none				1		1			1	naboo	-6064.5	-196.100006103516	4744			@quest/ground/naboo_theed_meanwhile_ranch:task02_waypoint_name	0	0.0	0.0	0.0																				0	naboo_theed_hunnos_jarkey			1	0											
quest.task.ground.wait_for_signal	@quest/ground/naboo_theed_meanwhile_ranch:task03_journal_entry_title	@quest/ground/naboo_theed_meanwhile_ranch:task03_journal_entry_description	1			0	4		theed_meanwhile_ranch_05	1				0	none	none				1		1			1	naboo	-4887.7001953125	6	4187.60009765625			@quest/ground/naboo_theed_meanwhile_ranch:task03_waypoint_name	0	0.0	0.0	0.0																				0						theed_meanwhile_ranch_05	0			0		0	0	0		
quest.task.ground.comm_player			0			0	5		theed_meanwhile_ranch_05b	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																			@quest/ground/naboo_theed_meanwhile_ranch:task04_comm_message_text	object/mobile/dressed_pooja_naberrie.iff
quest.task.ground.wait_for_signal	@quest/ground/naboo_theed_meanwhile_ranch:task05_journal_entry_title	@quest/ground/naboo_theed_meanwhile_ranch:task05_journal_entry_description	1			0			theed_meanwhile_ranch_06	1				0	none	none				1		1			1	naboo	-5479.39990234375	14	4467.10009765625			@quest/ground/naboo_theed_meanwhile_ranch:task05_waypoint_name	0	0.0	0.0	0.0																				0						theed_meanwhile_ranch_06	0			0		0	0	0		
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_meanwhile_ranch:task06_journal_entry_title	@quest/ground/naboo_theed_meanwhile_ranch:task06_journal_entry_description	1			0			theed_meanwhile_ranch_03	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	naboo_pirate_savage			11	0											
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_meanwhile_ranch:task07_journal_entry_title	@quest/ground/naboo_theed_meanwhile_ranch:task07_journal_entry_description	1			0			theed_meanwhile_ranch_02	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	naboo_pirate_butcher			12	0											
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_meanwhile_ranch:task08_journal_entry_title	@quest/ground/naboo_theed_meanwhile_ranch:task08_journal_entry_description	1			0			theed_meanwhile_ranch_01	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	naboo_pirate_mugger			11	0											
