ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	SPACE_QUEST_NAME	SPACE_QUEST_TYPE	IGNORE_SPLIT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	i	s	i	s	s	s	b
quest.task.ground.wait_for_signal	@quest/ground/npe_side_smuggle:task00_journal_entry_title	@quest/ground/npe_side_smuggle:task00_journal_entry_description	1			0	1		elevator_up	0							1		1			1	dungeon1	-110	-1	150	yavin4	elevator	@quest/ground/npe_side_smuggle:task00_waypoint_name	0	0.0	0.0	0.0		npe_elevator_main_up	0			0		0	0	0	0								
quest.task.ground.wait_for_signal	@quest/ground/npe_side_smuggle:task01_journal_entry_title	@quest/ground/npe_side_smuggle:task01_journal_entry_description	1			0	2		npe_side_smuggle_buyer_signal	1							1		1			1	dungeon1	-106.699996948242	31	139.199996948242	yavin4	greenhouse	@quest/ground/npe_side_smuggle:task01_waypoint_name	0	0.0	0.0	0.0		npe_side_smuggle_buyer	0			0		0	0	0	0								
quest.task.ground.retrieve_item	@quest/ground/npe_side_smuggle:task02_journal_entry_title	@quest/ground/npe_side_smuggle:task02_journal_entry_description	1			0	3		spice_collect	1							1		1			1	dungeon1	-151.399993896484	29.5	150	yavin4	greenhouse	@quest/ground/npe_side_smuggle:task02_waypoint_name	0	0.0	0.0	0.0											0	object/tangible/quest/npe_spice_plant.iff	1	@quest/ground/npe_side_smuggle:task02_item_name	100	@quest/ground/npe_side_smuggle:task02_retrieve_menu_text			
quest.task.ground.wait_for_signal	@quest/ground/npe_side_smuggle:task03_journal_entry_title	@quest/ground/npe_side_smuggle:task03_journal_entry_description	1			0	4		elevator_down	0							1		1			1	dungeon1	-110	29	150	yavin4	elevator	@quest/ground/npe_side_smuggle:task03_waypoint_name	0	0.0	0.0	0.0		npe_elevator_atrium_down	0			0		0	0	0	0								
quest.task.ground.wait_for_signal	@quest/ground/npe_side_smuggle:task04_journal_entry_title	@quest/ground/npe_side_smuggle:task04_journal_entry_description	1			0	5		launch	0							1		1			1	dungeon1	-102.400001525879	0.800000011920929	167.899993896484	yavin4	hangarbay1	@quest/ground/npe_side_smuggle:task04_waypoint_name	0	0.0	0.0	0.0		accessedSpace	0			0		0	0	0	0								
quest.task.ground.grant_space_quest	@quest/ground/npe_side_smuggle:task05_journal_entry_title	@quest/ground/npe_side_smuggle:task05_journal_entry_description	1			0	6	8	spaceQuest	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0						npe_smuggler_1	patrol	0
quest.task.ground.wait_for_signal	@quest/ground/npe_side_smuggle:task06_journal_entry_title	@quest/ground/npe_side_smuggle:task06_journal_entry_description	1			0	7		npe_side_smuggle_return_signal	0						quest/npe_pointer_secretary	1		1			1	dungeon1	-137.699996948242	0.00999999977648258	131.600006103516	yavin4	cantina	@quest/ground/npe_side_smuggle:task06_waypoint_name	0	0.0	0.0	0.0		npe_side_smuggle_return_signal	0			0		0	0	0	0								
quest.task.ground.complete_quest	@quest/ground/npe_side_smuggle:task07_journal_entry_title	@quest/ground/npe_side_smuggle:task07_journal_entry_description	0			0				0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																			
quest.task.ground.wait_for_signal	@quest/ground/npe_side_smuggle:task08_journal_entry_title	@quest/ground/npe_side_smuggle:task08_journal_entry_description	1			0	9		failed	0							1		1			1	dungeon1	-106.699996948242	31	139.199996948242	yavin4	greenhouse	@quest/ground/npe_side_smuggle:task08_waypoint_name	0	0.0	0.0	0.0		smuggle_failed	0			0		0	0	0	0								
quest.task.ground.clear_quest			0			0				0						quest/npe_side_smuggle_2	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																			
