ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	s
quest.task.ground.wait_for_signal	@quest/ground/corellia_38_corsec_files_02:task00_journal_entry_title	@quest/ground/corellia_38_corsec_files_02:task00_journal_entry_description	1			0	1		corsec_files_02_01	1							1		1			1	corellia	-5210	21	-2578			@quest/ground/corellia_38_corsec_files_02:task00_waypoint_name	0	0.0	0.0	0.0		corsec_files_02_01	0			0		0	0	0	0																												
quest.task.ground.destroy_multi	@quest/ground/corellia_38_corsec_files_02:task01_journal_entry_title	@quest/ground/corellia_38_corsec_files_02:task01_journal_entry_description	1			0	2,5,6,7,8		corsec_files_02_02	1							1		1			1	corellia	-5109	23	-2732			@quest/ground/corellia_38_corsec_files_02:task01_waypoint_name	0	0.0	0.0	0.0											0	corellia_meatlump_donk			12	0																							
quest.task.ground.wait_for_tasks	@quest/ground/corellia_38_corsec_files_02:task02_journal_entry_title	@quest/ground/corellia_38_corsec_files_02:task02_journal_entry_description	1			0	3		corsec_files_02_03	1							1		1			1	corellia	-5694	48	-2289			@quest/ground/corellia_38_corsec_files_02:task02_waypoint_name	0	-5694	48	-2289	@quest/ground/corellia_38_corsec_files_02:task02_entrance_waypoint_name										0						quest/corellia_38_corsec_files_02	corsec_files_02_03a	@quest/ground/corellia_38_corsec_files_02:task02_task_display_string_1	quest/corellia_38_corsec_files_02	corsec_files_02_03b	@quest/ground/corellia_38_corsec_files_02:task02_task_display_string_2	quest/corellia_38_corsec_files_02	corsec_files_02_03c	@quest/ground/corellia_38_corsec_files_02:task02_task_display_string_3	quest/corellia_38_corsec_files_02	corsec_files_02_03d	@quest/ground/corellia_38_corsec_files_02:task02_task_display_string_4											
quest.task.ground.wait_for_signal	@quest/ground/corellia_38_corsec_files_02:task03_journal_entry_title	@quest/ground/corellia_38_corsec_files_02:task03_journal_entry_description	1			0	4		corsec_files_02_04	1							1		1			1	corellia	-5787	-2	-2359	corellia	r2	@quest/ground/corellia_38_corsec_files_02:task03_waypoint_name	1	-5694	48	-2289	@quest/ground/corellia_38_corsec_files_02:task03_entrance_waypoint_name	corsec_files_02_04	0			0		0	0	0	0																												
quest.task.ground.wait_for_signal	@quest/ground/corellia_38_corsec_files_02:task04_journal_entry_title	@quest/ground/corellia_38_corsec_files_02:task04_journal_entry_description	1			0			corsec_files_02_05	1							1		1			1	corellia	-5150	21	-2361			@quest/ground/corellia_38_corsec_files_02:task04_waypoint_name	0	0.0	0.0	0.0		corsec_files_02_05	0			0		0	0	0	0																												
quest.task.ground.retrieve_item	@quest/ground/corellia_38_corsec_files_02:task05_journal_entry_title	@quest/ground/corellia_38_corsec_files_02:task05_journal_entry_description	1			0			corsec_files_02_03d	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																								object/tangible/quest/corellia/corellia_38_meatlump_armor.iff	5	@quest/ground/corellia_38_corsec_files_02:task05_item_name	100	@quest/ground/corellia_38_corsec_files_02:task05_retrieve_menu_text
quest.task.ground.retrieve_item	@quest/ground/corellia_38_corsec_files_02:task06_journal_entry_title	@quest/ground/corellia_38_corsec_files_02:task06_journal_entry_description	1			0			corsec_files_02_03c	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																								object/tangible/quest/corellia/corellia_38_meatlump_weapons.iff	6	@quest/ground/corellia_38_corsec_files_02:task06_item_name	100	@quest/ground/corellia_38_corsec_files_02:task06_retrieve_menu_text
quest.task.ground.retrieve_item	@quest/ground/corellia_38_corsec_files_02:task07_journal_entry_title	@quest/ground/corellia_38_corsec_files_02:task07_journal_entry_description	1			0			corsec_files_02_03b	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																								object/tangible/quest/corellia/corellia_38_meatlump_food.iff	4	@quest/ground/corellia_38_corsec_files_02:task07_item_name	100	@quest/ground/corellia_38_corsec_files_02:task07_retrieve_menu_text
quest.task.ground.destroy_multi	@quest/ground/corellia_38_corsec_files_02:task08_journal_entry_title	@quest/ground/corellia_38_corsec_files_02:task08_journal_entry_description	1			0			corsec_files_02_03a	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0		meatlump_ubbal		15	0																							
