ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
quest.task.ground.nothing	@quest/ground/mtp_collection_tracking:task00_journal_entry_title	@quest/ground/mtp_collection_tracking:task00_journal_entry_description	0			0	1,2,4,5,6,7,8		invisNothingTask	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																													
quest.task.ground.wait_for_signal	@quest/ground/mtp_collection_tracking:task01_journal_entry_title	@quest/ground/mtp_collection_tracking:task01_journal_entry_description	1			0			safeComplete	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		mtpSafeComplete	0			0		0	0	0	0																		
quest.task.ground.wait_for_tasks	@quest/ground/mtp_collection_tracking:task02_journal_entry_title	@quest/ground/mtp_collection_tracking:task02_journal_entry_description	1			0	3		waitingForAllMeatlumpTasks	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	quest/mtp_collection_tracking	safeComplete	@quest/ground/mtp_collection_tracking:task02_task_display_string_1	quest/mtp_collection_tracking	containerComplete	@quest/ground/mtp_collection_tracking:task02_task_display_string_2	quest/mtp_collection_tracking	mapComplete	@quest/ground/mtp_collection_tracking:task02_task_display_string_3	quest/mtp_collection_tracking	bombComplete	@quest/ground/mtp_collection_tracking:task02_task_display_string_4	quest/mtp_collection_tracking	weaponComplete	@quest/ground/mtp_collection_tracking:task02_task_display_string_5	quest/mtp_collection_tracking	foodComplete	@quest/ground/mtp_collection_tracking:task02_task_display_string_6
quest.task.ground.wait_for_signal	@quest/ground/mtp_collection_tracking:task03_journal_entry_title	@quest/ground/mtp_collection_tracking:task03_journal_entry_description	1			0			goBackToHaldenWes	0				0	none	none				1		1			1	corellia	-175	28	-4435			@quest/ground/mtp_collection_tracking:task03_waypoint_name	0	0.0	0.0	0.0		returnToHaldenWes	0			0		0	0	0	0																		
quest.task.ground.wait_for_signal	@quest/ground/mtp_collection_tracking:task04_journal_entry_title	@quest/ground/mtp_collection_tracking:task04_journal_entry_description	1			0			containerComplete	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		mtpContainerComplete	0			0		0	0	0	0																		
quest.task.ground.wait_for_signal	@quest/ground/mtp_collection_tracking:task05_journal_entry_title	@quest/ground/mtp_collection_tracking:task05_journal_entry_description	1			0			mapComplete	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		mtpMapComplete	0			0		0	0	0	0																		
quest.task.ground.wait_for_signal	@quest/ground/mtp_collection_tracking:task06_journal_entry_title	@quest/ground/mtp_collection_tracking:task06_journal_entry_description	1			0			bombComplete	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		mtpBombComplete	0			0		0	0	0	0																		
quest.task.ground.wait_for_signal	@quest/ground/mtp_collection_tracking:task07_journal_entry_title	@quest/ground/mtp_collection_tracking:task07_journal_entry_description	1			0			weaponComplete	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		mtpWeaponComplete	0			0		0	0	0	0																		
quest.task.ground.wait_for_signal	@quest/ground/mtp_collection_tracking:task08_journal_entry_title	@quest/ground/mtp_collection_tracking:task08_journal_entry_description	1			0			foodComplete	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		mtpFoodComplete	0			0		0	0	0	0																		
