ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	RADIUS	MIN_TIME	MAX_TIME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	i	i	i	s	s	s	i	i	s	i	s	i	i	i	i	s	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s
quest.task.ground.wait_for_signal	@quest/ground/ep3_clone_relics_boba_fett_7:task00_journal_entry_title	@quest/ground/ep3_clone_relics_boba_fett_7:task00_journal_entry_description	1			0	1		bodyguard	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		talkedToGuard	0			0		0	0	0	0																																			
quest.task.ground.encounter	@quest/ground/ep3_clone_relics_boba_fett_7:task01_journal_entry_title	@quest/ground/ep3_clone_relics_boba_fett_7:task01_journal_entry_description	1			0	2		defeatedGuards	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	clone_relics_claw_grunt	2	3	10	0.0	0.0																													
quest.task.ground.wait_for_signal	@quest/ground/ep3_clone_relics_boba_fett_7:task02_journal_entry_title	@quest/ground/ep3_clone_relics_boba_fett_7:task02_journal_entry_description	1			0	3		imbrimi	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		talkedToImbrimi	0			0		0	0	0	0																																			
quest.task.ground.go_to_location	@quest/ground/ep3_clone_relics_boba_fett_7:task03_journal_entry_title	@quest/ground/ep3_clone_relics_boba_fett_7:task03_journal_entry_description	1			0	4			1				0	none	none				1		1			0	naboo	5107.0	350	-1512.0			@quest/ground/ep3_clone_relics_boba_fett_7:task03_waypoint_name	0	0.0	0.0	0.0											0							15																												
quest.task.ground.encounter	@quest/ground/ep3_clone_relics_boba_fett_7:task04_journal_entry_title	@quest/ground/ep3_clone_relics_boba_fett_7:task04_journal_entry_description	1			0	5	14	killedFirstRobot	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	clone_relics_durge_super_battle_droid	1	5	10	0.0	0.0																													
quest.task.ground.timer			0			0	6			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																			30	60																										
quest.task.ground.encounter	@quest/ground/ep3_clone_relics_boba_fett_7:task06_journal_entry_title	@quest/ground/ep3_clone_relics_boba_fett_7:task06_journal_entry_description	1			0	7	13	secondDroid	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	clone_relics_durge_super_battle_droid	1	5	15	0.0	0.0																													
quest.task.ground.retrieve_item	@quest/ground/ep3_clone_relics_boba_fett_7:task07_journal_entry_title	@quest/ground/ep3_clone_relics_boba_fett_7:task07_journal_entry_description	1			0	8			1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0										object/tangible/quest/clone_relics_box_large.iff	1	@quest/ground/ep3_clone_relics_boba_fett_7:task07_item_name	100	0	0	0																			
quest.task.ground.encounter	@quest/ground/ep3_clone_relics_boba_fett_7:task08_journal_entry_title	@quest/ground/ep3_clone_relics_boba_fett_7:task08_journal_entry_description	1			0	9	12		1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	clone_relics_durge_02	1	5	10	0.0	0.0																													
