ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	s	s	s	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	s	s	s	s	i	i	i	i	s	b	s	s	s	s	f	f	f
quest.task.ground.go_to_location	@quest/ground/talus_nashal_tracking_crew:task00_journal_entry_title	@quest/ground/talus_nashal_tracking_crew:task00_journal_entry_description	1			0	1		tracking_crew_gotoloc_01_01	0							1		1			1	talus	6611	0.0	7318			@quest/ground/talus_nashal_tracking_crew:task00_waypoint_name	0	0.0	0.0	0.0		10.0	0																																															
quest.task.ground.comm_player	@quest/ground/talus_nashal_tracking_crew:task01_journal_entry_title	@quest/ground/talus_nashal_tracking_crew:task01_journal_entry_description	1			0	2,3,4		tracking_crew_comm_01_02	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/talus_nashal_tracking_crew:task01_comm_message_text	/object/mobile/dressed_corsec_captain_human_male_02.iff																																													
quest.task.ground.destroy_multi	@quest/ground/talus_nashal_tracking_crew:task02_journal_entry_title	@quest/ground/talus_nashal_tracking_crew:task02_journal_entry_description	1			0			tracking_crew_destroy_02_03b	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0			talus_nashal_brood2a_arachne			6	0																																								
quest.task.ground.destroy_multi	@quest/ground/talus_nashal_tracking_crew:task03_journal_entry_title	@quest/ground/talus_nashal_tracking_crew:task03_journal_entry_description	1			0			tracking_crew_destroy_01_03a	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0			talus_nashal_brood2_arachne			12	0																																								
quest.task.ground.wait_for_tasks	@quest/ground/talus_nashal_tracking_crew:task04_journal_entry_title	@quest/ground/talus_nashal_tracking_crew:task04_journal_entry_description	1			0	5		tracking_crew_tasks_01_03	0							1		1			1	talus	6611	0.0	7318			@quest/ground/talus_nashal_tracking_crew:task04_waypoint_name	0	0.0	0.0	0.0			0								quest/talus_nashal_tracking_crew	tracking_crew_destroy_01_03a	@quest/ground/talus_nashal_tracking_crew:task04_task_display_string_1	quest/talus_nashal_tracking_crew	tracking_crew_destroy_02_03b	@quest/ground/talus_nashal_tracking_crew:task04_task_display_string_2																																		
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_tracking_crew:task05_journal_entry_title	@quest/ground/talus_nashal_tracking_crew:task05_journal_entry_description	1			0	6		tracking_crew_retrieve_01_04	0							1		1			1	talus	6611	0.0	7318			@quest/ground/talus_nashal_tracking_crew:task05_waypoint_name	0	0.0	0.0	0.0			0																										object/tangible/quest/talus_genetic_potential_datapad_03.iff	1	@quest/ground/talus_nashal_tracking_crew:task05_item_name	100	5	@quest/ground/talus_nashal_tracking_crew:task05_retrieve_menu_text																
quest.task.ground.show_message_box	@quest/ground/talus_nashal_tracking_crew:task06_journal_entry_title	@quest/ground/talus_nashal_tracking_crew:task06_journal_entry_description	1			0	7		tracking_crew_msgbox_01_05	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																			@quest/ground/talus_nashal_tracking_crew:task06_message_box_title	@quest/ground/talus_nashal_tracking_crew:task06_message_box_text		-1	-1	-1	-1									
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_tracking_crew:task07_journal_entry_title	@quest/ground/talus_nashal_tracking_crew:task07_journal_entry_description	1			0	8		tracking_crew_retrieve_02_06	0							1		1			1	talus	6611	0	7318			@quest/ground/talus_nashal_tracking_crew:task07_waypoint_name	0	0.0	0.0	0.0			0																										object/tangible/quest/talus_genetic_potential_tracking_device_04.iff	1	@quest/ground/talus_nashal_tracking_crew:task07_item_name	100	5	@quest/ground/talus_nashal_tracking_crew:task07_retrieve_menu_text																
quest.task.ground.wait_for_signal	@quest/ground/talus_nashal_tracking_crew:task08_journal_entry_title	@quest/ground/talus_nashal_tracking_crew:task08_journal_entry_description	1			0	9		tracking_crew_signal_01_07	0							1		1			1	talus	6611	0.0	7318			@quest/ground/talus_nashal_tracking_crew:task08_waypoint_name	0	0.0	0.0	0.0			0																																							tracking_crew_signal_01_07	0			0		0	0	0
