ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	i	s	i	s	i	s	s	s	i	i	i	i	s	s	s	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s
quest.task.ground.nothing			0			0	1,3,5,7,9			0	sound/mus_mustafar_quest_exception.snd						1		1			0	tatooine	0.0	0.0	0.0																																																																					
quest.task.ground.retrieve_item			0			0	2		retrieveCorpse	1							1		1			0	tatooine	0.0	0.0	0.0				object/tangible/quest/som_kenobi_historian_corpse.iff	1	@quest/ground/som_kenobi_historian_2:task01_item_name	100	@quest/ground/som_kenobi_historian_2:task01_retrieve_menu_text	0																																																												
quest.task.ground.show_message_box			0			0				0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/som_kenobi_historian_2:task02_message_box_title	@quest/ground/som_kenobi_historian_2:task02_message_box_text		60	40	-1	-1																																																					
quest.task.ground.destroy_multi_and_loot			0			0	4		killDarkJedi	1							1		1			0	tatooine	0.0	0.0	0.0									0								som_kenobi_historian_dark_jedi			Tablet piece	1	100	0																																														
quest.task.ground.show_message_box			0			0				0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/som_kenobi_historian_2:task04_message_box_title	@quest/ground/som_kenobi_historian_2:task04_message_box_text		60	40	-1	-1																																																					
quest.task.ground.destroy_multi_and_loot			0			0	6		killScavengers	1							1		1			0	tatooine	0.0	0.0	0.0									0								som_kenobi_enclave_scavenger			Tablet piece	1	65	0																																														
quest.task.ground.show_message_box			0			0				0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/som_kenobi_historian_2:task06_message_box_title	@quest/ground/som_kenobi_historian_2:task06_message_box_text		60	40	-1	-1																																																					
quest.task.ground.retrieve_item			0			0	8		retrieveRubble	1							1		1			0	tatooine	0.0	0.0	0.0				object/tangible/quest/som_kenobi_historian_rubble.iff	1	@quest/ground/som_kenobi_historian_2:task07_item_name	100	@quest/ground/som_kenobi_historian_2:task07_retrieve_menu_text	0																																																												
quest.task.ground.show_message_box			0			0				0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/som_kenobi_historian_2:task08_message_box_title	@quest/ground/som_kenobi_historian_2:task08_message_box_text		60	40	-1	-1																																																					
