ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	NUM_REQUIRED	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	b	s	s	s	s	f	f	f	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
quest.task.ground.nothing			0			0	1,2,3,4,5,6		nothingTask	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task01_journal_entry_title	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task01_journal_entry_description	1			0			paddleCactiWeed	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		paddleCactiWeedFound	5	0			0		0	0	0	0																				
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task02_journal_entry_title	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task02_journal_entry_description	1			0			lowGrowingWeeds	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		lowGrowingWeedsFound	4	0			0		0	0	0	0																				
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task03_journal_entry_title	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task03_journal_entry_description	1			0			floweringCactiWeed	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		floweringCactiWeedFound	3	0			0		0	0	0	0																				
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task04_journal_entry_title	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task04_journal_entry_description	1			0			yellowPodWeed	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		yellowPodWeedFound	2	0			0		0	0	0	0																				
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task05_journal_entry_title	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task05_journal_entry_description	1			0			tallStalkWeed	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		tallStalkWeedFound	2	0			0		0	0	0	0																				
quest.task.ground.wait_for_tasks	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task06_journal_entry_title	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task06_journal_entry_description	1			0	7	11	fulfillRequisition	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												0	quest/u16_nym_themepark_weed_pulling_ver2	tallStalkWeed	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task06_task_display_string_1	quest/u16_nym_themepark_weed_pulling_ver2	yellowPodWeed	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task06_task_display_string_2	quest/u16_nym_themepark_weed_pulling_ver2	floweringCactiWeed	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task06_task_display_string_3	quest/u16_nym_themepark_weed_pulling_ver2	lowGrowingWeeds	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task06_task_display_string_4	quest/u16_nym_themepark_weed_pulling_ver2	paddleCactiWeed	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task06_task_display_string_5					
quest.task.ground.comm_player			0			0	8		comm	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																															@quest/ground/u16_nym_themepark_weed_pulling_ver2:task07_comm_message_text	object/mobile/nym_themepark_ran_machado.iff
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task08_journal_entry_title	@quest/ground/u16_nym_themepark_weed_pulling_ver2:task08_journal_entry_description	1			0	9		disposeOfWeeds	0				0	none	none				1		1			1	lok	360	12	4880			@quest/ground/u16_nym_themepark_weed_pulling_ver2:task08_waypoint_name	0	0.0	0.0	0.0		hasDisposedOfWeeds	1	0			0		0	0	0	0																				
