ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	REWARD_CREDITS	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	s	s	i	i	i	i	s	s	s	s	i	i	i	i	i	s	i	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
quest.task.ground.nothing			0			0	1,4,7,10,13			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																											
quest.task.ground.go_to_location			0			0	2			0				0	none	none				1		1			0	mustafar	485	129	5764				0	0.0	0.0	0.0		100	0																																								
quest.task.ground.show_message_box			0			0	3			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/som_kenobi_reunite_shard_2:task02_message_box_title	@quest/ground/som_kenobi_reunite_shard_2:task02_message_box_text		-1	-1	-1	-1																																	
quest.task.ground.destroy_multi_and_loot	@quest/ground/som_kenobi_reunite_shard_2:task03_journal_entry_title	@quest/ground/som_kenobi_reunite_shard_2:task03_journal_entry_description	1			0			shard6	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0								som_mustafarian_phantom_bandit			Crystal splinters	1	60	0	0	0																								
quest.task.ground.go_to_location			0			0	5			0				0	none	none				1		1			0	mustafar	-1881	85	3986				0	0.0	0.0	0.0		100	0																																								
quest.task.ground.show_message_box			0			0	6			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/som_kenobi_reunite_shard_2:task05_message_box_title	@quest/ground/som_kenobi_reunite_shard_2:task05_message_box_text		-1	-1	-1	-1																																	
quest.task.ground.destroy_multi_and_loot	@quest/ground/som_kenobi_reunite_shard_2:task06_journal_entry_title	@quest/ground/som_kenobi_reunite_shard_2:task06_journal_entry_description	1			0			shard5	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0								som_kenobi_tulrus			Crystal splinters	1	100	0	0	0																								
quest.task.ground.go_to_location			0			0	8			0				0	none	none				1		1			0	mustafar	-4349	81	3397				0	0.0	0.0	0.0		50	0																																								
quest.task.ground.show_message_box			0			0	9			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/som_kenobi_reunite_shard_2:task08_message_box_title	@quest/ground/som_kenobi_reunite_shard_2:task08_message_box_text		-1	-1	-1	-1																																	
