PREREQUISITE_TASKS	EXCLUSION_TASKS	ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	IS_VISIBLE	SHOW_SYSTEM_MESSAGES	ALLOW_REPEATS	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	RADIUS	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	s	s	s	s	s	b	b	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	i	s	i	i	i	s	s	s	i	s	i	i	s	s	i	S	S	S	S	s	i	i
		quest.task.ground.go_to_location	@quest/ground/c_impdefector:task00_journal_entry_title	@quest/ground/c_impdefector:task00_journal_entry_description	1		gotobridge	1	1	1								1	corellia	-4296	18	3801	@quest/ground/c_impdefector:task00_waypoint_name	5																																
		quest.task.ground.wait_for_signal	@quest/ground/c_impdefector:task01_journal_entry_title	@quest/ground/c_impdefector:task01_journal_entry_description	2,4,6,10,12		takephrase	1	1	1								0	tatooine	0.0	0.0	0.0			c_impdefector_code	0			0		0	0	0																							
		quest.task.ground.timer	@quest/ground/c_impdefector:task02_journal_entry_title		3		timer3	0	0	1								0	tatooine	0.0	0.0	0.0												790	850																					
		quest.task.ground.encounter	@quest/ground/c_impdefector:task03_journal_entry_title	@quest/ground/c_impdefector:task03_journal_entry_description				1	0	1								0	tatooine	0.0	0.0	0.0														mercenary_hireling_imp	8	2	8	0.0	0.0															
		quest.task.ground.timer	@quest/ground/c_impdefector:task04_journal_entry_title		5		timer2	0	0	1								0	tatooine	0.0	0.0	0.0												340	380																					
		quest.task.ground.encounter	@quest/ground/c_impdefector:task05_journal_entry_title	@quest/ground/c_impdefector:task05_journal_entry_description			ambush2	1	1	1								0	tatooine	0.0	0.0	0.0														mercenary_hireling_imp	4	3	8	0.0	0.0															
		quest.task.ground.wait_for_signal	@quest/ground/c_impdefector:task06_journal_entry_title	@quest/ground/c_impdefector:task06_journal_entry_description	7		waitsignal	1	1	1								1	corellia	-6485	0.0	6017	@quest/ground/c_impdefector:task06_waypoint_name		c_impdefector_idefectorarrived	0			0		0	0	0																							
		quest.task.ground.reward	@quest/ground/c_impdefector:task07_journal_entry_title		8			0	0	1								0	tatooine	0.0	0.0	0.0															1						0	Rebel	100	5000			1	0.1	0.1	0.1	0.1		1	0.1
		quest.task.ground.reward	@quest/ground/c_impdefector:task08_journal_entry_title		9			0	0	1								0	tatooine	0.0	0.0	0.0															1						0	Imperial	-100	0			1	0.1	0.1	0.1	0.1		1	0.1
		quest.task.ground.complete_quest	@quest/ground/c_impdefector:task09_journal_entry_title	@quest/ground/c_impdefector:task09_journal_entry_description			complete	1	1	1								0	tatooine	0.0	0.0	0.0																																		
		quest.task.ground.timer	@quest/ground/c_impdefector:task10_journal_entry_title		11		timer1	0	0	1								0	tatooine	0.0	0.0	0.0												100	150																					
		quest.task.ground.encounter	@quest/ground/c_impdefector:task11_journal_entry_title	@quest/ground/c_impdefector:task11_journal_entry_description			ambush1	1	1	0								0	tatooine	0.0	0.0	0.0														mercenary_hireling_imp	5	3	5	0.0	0.0															
		quest.task.ground.timer	@quest/ground/c_impdefector:task12_journal_entry_title	@quest/ground/c_impdefector:task12_journal_entry_description	13		timer20	1	0	1								0	tatooine	0.0	0.0	0.0												1200	1200																					
		quest.task.ground.clear_quest	@quest/ground/c_impdefector:task13_journal_entry_title					0	1	1								0	tatooine	0.0	0.0	0.0																																		
