ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f	s	s	s	s	i	i	i	s	i	s	i	s	s	s
quest.task.ground.nothing			0			0	1,3,5,8,9			0							1		1	0	tatooine	0.0	0.0	0.0																																													
quest.task.ground.wait_for_tasks	@quest/ground/legacy_naboo_droid_ai_collecting:task01_journal_entry_title	@quest/ground/legacy_naboo_droid_ai_collecting:task01_journal_entry_description	1			0	2		collectingFourDroidParts	1							1		1	0	tatooine	0.0	0.0	0.0				quest/legacy_naboo_droid_ai_collecting	findDroidPart1	@quest/ground/legacy_naboo_droid_ai_collecting:task01_task_display_string_1	quest/legacy_naboo_droid_ai_collecting	findDroidPart2	@quest/ground/legacy_naboo_droid_ai_collecting:task01_task_display_string_2	quest/legacy_naboo_droid_ai_collecting	findDroidPart3	@quest/ground/legacy_naboo_droid_ai_collecting:task01_task_display_string_3	quest/legacy_naboo_droid_ai_collecting	findDroidPart4	@quest/ground/legacy_naboo_droid_ai_collecting:task01_task_display_string_4							0																							
quest.task.ground.wait_for_signal	@quest/ground/legacy_naboo_droid_ai_collecting:task02_journal_entry_title	@quest/ground/legacy_naboo_droid_ai_collecting:task02_journal_entry_description	1			0			returnToLegacyContact	1							1		1	0	tatooine	0.0	0.0	0.0																						0	returnToLegacyContact	0			0		0	0	0														
quest.task.ground.wait_for_signal	@quest/ground/legacy_naboo_droid_ai_collecting:task03_journal_entry_title	@quest/ground/legacy_naboo_droid_ai_collecting:task03_journal_entry_description	1			0	4		waitForBossNassSignal	1							1		1	0	tatooine	0.0	0.0	0.0																						0	waitForBossNassSignal	0			0		0	0	0														
quest.task.ground.destroy_multi_and_loot	@quest/ground/legacy_naboo_droid_ai_collecting:task04_journal_entry_title	@quest/ground/legacy_naboo_droid_ai_collecting:task04_journal_entry_description	1			0			findDroidPart4	1							1		1	0	tatooine	0.0	0.0	0.0																						0														1	100	0							
quest.task.ground.wait_for_signal	@quest/ground/legacy_naboo_droid_ai_collecting:task05_journal_entry_title	@quest/ground/legacy_naboo_droid_ai_collecting:task05_journal_entry_description	1			0	6		waitForDeejaPeakSignal	1							1		1	0	tatooine	0.0	0.0	0.0																						0	waitForDeejaPeakSignal	0			0		0	0	0														
quest.task.ground.retrieve_item	@quest/ground/legacy_naboo_droid_ai_collecting:task06_journal_entry_title	@quest/ground/legacy_naboo_droid_ai_collecting:task06_journal_entry_description	1			0	7		activateDroid3	1							1		1	0	tatooine	0.0	0.0	0.0																						0																	object/mobile/naboo_legacy_quest_droideka.iff	1	@quest/ground/legacy_naboo_droid_ai_collecting:task06_item_name	100	@quest/ground/legacy_naboo_droid_ai_collecting:task06_retrieve_menu_text		
quest.task.ground.destroy_multi_and_loot	@quest/ground/legacy_naboo_droid_ai_collecting:task07_journal_entry_title	@quest/ground/legacy_naboo_droid_ai_collecting:task07_journal_entry_description	1			0			findDroidPart3	1							1		1	0	tatooine	0.0	0.0	0.0																						0										naboo_legacy_quest_droideka			Strategy/Tactics Simulation Chip acquired	1	100	0							
quest.task.ground.retrieve_item	@quest/ground/legacy_naboo_droid_ai_collecting:task08_journal_entry_title	@quest/ground/legacy_naboo_droid_ai_collecting:task08_journal_entry_description	1			0			findDroidPart2	1							1		1	0	tatooine	0.0	0.0	0.0																						0																		1		100			
quest.task.ground.retrieve_item	@quest/ground/legacy_naboo_droid_ai_collecting:task09_journal_entry_title	@quest/ground/legacy_naboo_droid_ai_collecting:task09_journal_entry_description	1			0	10		findDroidPart1	1							1		1	1	naboo	6699	-209	7187			@quest/ground/legacy_naboo_droid_ai_collecting:task09_waypoint_name																			0																	object/mobile/naboo_legacy_quest_mouse_droid.iff	1	@quest/ground/legacy_naboo_droid_ai_collecting:task09_item_name	100	@quest/ground/legacy_naboo_droid_ai_collecting:task09_retrieve_menu_text		
quest.task.ground.comm_player			0			0				0							1		1	0	tatooine	0.0	0.0	0.0																																												@quest/ground/legacy_naboo_droid_ai_collecting:task10_comm_message_text	object/mobile/naboo_wilson_tchorshel.iff
