ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s	s	i	s	i	i	i	i	s	s	s	s	i
quest.task.ground.wait_for_signal	@quest/ground/corellia_39_chirq_council_03:task00_journal_entry_title	@quest/ground/corellia_39_chirq_council_03:task00_journal_entry_description	1			0	1,12,13,14		chirq_council_03_01	1				0	none	none				1		1			1	corellia	2637	138	5616	corellia	anteroom	@quest/ground/corellia_39_chirq_council_03:task00_waypoint_name	1	2635	149	5634	@quest/ground/corellia_39_chirq_council_03:task00_entrance_waypoint_name	chirq_council_03_01	0			0		0	0	0	0																																																	
quest.task.ground.wait_for_tasks	@quest/ground/corellia_39_chirq_council_03:task01_journal_entry_title	@quest/ground/corellia_39_chirq_council_03:task01_journal_entry_description	1			0	2		chirq_council_03_02	1				0	none	none				1		1			1	corellia	2973	346	5870			@quest/ground/corellia_39_chirq_council_03:task01_waypoint_name	0	0.0	0.0	0.0											0	quest/corellia_39_chirq_council_03	chirq_council_03_02a	@quest/ground/corellia_39_chirq_council_03:task01_task_display_string_1	quest/corellia_39_chirq_council_03	chirq_council_03_02b	@quest/ground/corellia_39_chirq_council_03:task01_task_display_string_2	quest/corellia_39_chirq_council_03	chirq_council_03_02c	@quest/ground/corellia_39_chirq_council_03:task01_task_display_string_3																																								
quest.task.ground.wait_for_signal	@quest/ground/corellia_39_chirq_council_03:task02_journal_entry_title	@quest/ground/corellia_39_chirq_council_03:task02_journal_entry_description	1			0	3		chirq_council_03_03	1				0	none	none				1		1			1	corellia	3178	300	5372			@quest/ground/corellia_39_chirq_council_03:task02_waypoint_name	0	0.0	0.0	0.0		chirq_council_03_03	0			0		0	0	0	0																																																	
quest.task.ground.wait_for_signal	@quest/ground/corellia_39_chirq_council_03:task03_journal_entry_title	@quest/ground/corellia_39_chirq_council_03:task03_journal_entry_description	1			0	4		chirq_council_03_04	1				0	none	none				1		1			1	corellia	2637	138	5616	corellia	anteroom	@quest/ground/corellia_39_chirq_council_03:task03_waypoint_name	1	2635	149	5634	@quest/ground/corellia_39_chirq_council_03:task03_entrance_waypoint_name	chirq_council_03_04	0			0		0	0	0	0																																																	
quest.task.ground.wait_for_signal	@quest/ground/corellia_39_chirq_council_03:task04_journal_entry_title	@quest/ground/corellia_39_chirq_council_03:task04_journal_entry_description	1			0	5,6,9,10		chirq_council_03_05	1				0	none	none				1		1			1	corellia	3084	280	4979			@quest/ground/corellia_39_chirq_council_03:task04_waypoint_name	0	0.0	0.0	0.0		chirq_council_03_05	0			0		0	0	0	0																																																	
quest.task.ground.reward			0			0			chirq_council_03_05a	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																															0	Rebel	0	0		1	object/tangible/quest/corellia/corellia_39_camera.iff	1		1	0.1	0.1	0.1	0.1		1	1													
quest.task.ground.wait_for_tasks	@quest/ground/corellia_39_chirq_council_03:task06_journal_entry_title	@quest/ground/corellia_39_chirq_council_03:task06_journal_entry_description	1			0	7		chirq_council_03_06	1				0	none	none				1		1			1	corellia	3340	456	5977			@quest/ground/corellia_39_chirq_council_03:task06_waypoint_name	0	0.0	0.0	0.0											0	quest/corellia_39_chirq_council_03	chirq_council_03_07	@quest/ground/corellia_39_chirq_council_03:task06_task_display_string_1	quest/corellia_39_chirq_council_03	chirq_council_03_07a	@quest/ground/corellia_39_chirq_council_03:task06_task_display_string_2	quest/corellia_39_chirq_council_03	chirq_council_03_06a	@quest/ground/corellia_39_chirq_council_03:task06_task_display_string_3																																								
quest.task.ground.retrieve_item	@quest/ground/corellia_39_chirq_council_03:task07_journal_entry_title	@quest/ground/corellia_39_chirq_council_03:task07_journal_entry_description	1			0	8		chirq_council_03_08	1				0	none	none				1		1			1	corellia	3177	300	5374			@quest/ground/corellia_39_chirq_council_03:task07_waypoint_name	0	0.0	0.0	0.0											0																																						object/tangible/quest/corellia/corellia_39_corsec_termimal.iff	1	@quest/ground/corellia_39_chirq_council_03:task07_item_name	100	0	0	0	@quest/ground/corellia_39_chirq_council_03:task07_retrieve_menu_text				
quest.task.ground.complete_quest			0			0			chirq_council_03_08a	0				0	none	none			quest/corellia_39_chirq_council_03b	0		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																												
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_03:task09_journal_entry_title	@quest/ground/corellia_39_chirq_council_03:task09_journal_entry_description	1			0			chirq_council_03_06a	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																											6																			corellia_grey_shroud_terrorist			0
quest.task.ground.retrieve_item	@quest/ground/corellia_39_chirq_council_03:task10_journal_entry_title	@quest/ground/corellia_39_chirq_council_03:task10_journal_entry_description	1			0	11		chirq_council_03_07	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																																						object/tangible/quest/corellia/corellia_39_camera.iff	1	@quest/ground/corellia_39_chirq_council_03:task10_item_name	100	0	0	0	@quest/ground/corellia_39_chirq_council_03:task10_retrieve_menu_text				
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_03:task11_journal_entry_title	@quest/ground/corellia_39_chirq_council_03:task11_journal_entry_description	1			0			chirq_council_03_07a	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																											1																			corellia_grey_shroud_ebela_puckett			0
quest.task.ground.retrieve_item	@quest/ground/corellia_39_chirq_council_03:task12_journal_entry_title	@quest/ground/corellia_39_chirq_council_03:task12_journal_entry_description	1			0			chirq_council_03_02c	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																																						object/tangible/quest/corellia/corellia_39_crate_spice.iff	4	@quest/ground/corellia_39_chirq_council_03:task12_item_name	100	0	0	0	@quest/ground/corellia_39_chirq_council_03:task12_retrieve_menu_text				
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_03:task13_journal_entry_title	@quest/ground/corellia_39_chirq_council_03:task13_journal_entry_description	1			0			chirq_council_03_02b	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																											7																			corellia_monumenter_poacher			0
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_03:task14_journal_entry_title	@quest/ground/corellia_39_chirq_council_03:task14_journal_entry_description	1			0			chirq_council_03_02a	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																											7																			corellia_chirq_ruffian			0
