ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	s	i	i	i	i	s	s	s	s	i	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	i	s	b	s	s	s	s	f	f	f
quest.task.ground.go_to_location	@quest/ground/talus_dearic_genocide:task00_journal_entry_title	@quest/ground/talus_dearic_genocide:task00_journal_entry_description	1			0	1		genocide_gotoloc_01_01	0				0	none	none				1		1			1	talus	-13	0.0	-3532			@quest/ground/talus_dearic_genocide:task00_waypoint_name	0	0.0	0.0	0.0		10.0	0																																																	
quest.task.ground.retrieve_item	@quest/ground/talus_dearic_genocide:task01_journal_entry_title	@quest/ground/talus_dearic_genocide:task01_journal_entry_description	1			0	2		genocide_retrieve_01_02	0				0	none	none				1		1			1	talus	-13	0.0	-3532			@quest/ground/talus_dearic_genocide:task01_waypoint_name	0	0.0	0.0	0.0			0	object/tangible/quest/talus_nashal_directory_terminal.iff	1	@quest/ground/talus_dearic_genocide:task01_item_name	100	0	0	10	@quest/ground/talus_dearic_genocide:task01_retrieve_menu_text																																									
quest.task.ground.show_message_box	@quest/ground/talus_dearic_genocide:task02_journal_entry_title	@quest/ground/talus_dearic_genocide:task02_journal_entry_description	1			0	3		genocide_msgbox_01_03	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/talus_dearic_genocide:task02_message_box_title	@quest/ground/talus_dearic_genocide:task02_message_box_text		-1	-1	-1	-1																																		
quest.task.ground.comm_player	@quest/ground/talus_dearic_genocide:task03_journal_entry_title	@quest/ground/talus_dearic_genocide:task03_journal_entry_description	1			0	4		genocide_comm_01_03	0				0	none	none			quest/talus_dearic_find_source	0		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																			@quest/ground/talus_dearic_genocide:task03_comm_message_text	/object/mobile/dressed_corsec_captain_human_male_02.iff																																
quest.task.ground.wait_for_tasks	@quest/ground/talus_dearic_genocide:task04_journal_entry_title	@quest/ground/talus_dearic_genocide:task04_journal_entry_description	1			0	5		genocide_tasks_01_04	0				0	none	none				1		1			1	talus	-13	0.0	-3532			@quest/ground/talus_dearic_genocide:task04_waypoint_name	0	0.0	0.0	0.0			0																		quest/talus_dearic_better_genetics	better_genetics_complete_01_04	@quest/ground/talus_dearic_genocide:task04_task_display_string_1	quest/talus_dearic_plea_pity	plea_pity_complete_01_06	@quest/ground/talus_dearic_genocide:task04_task_display_string_2	quest/talus_dearic_find_source	find_source_complete_01_04	@quest/ground/talus_dearic_genocide:task04_task_display_string_3																							
quest.task.ground.comm_player	@quest/ground/talus_dearic_genocide:task05_journal_entry_title	@quest/ground/talus_dearic_genocide:task05_journal_entry_description	1			0	6		genocide_comm_02_05	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																			@quest/ground/talus_dearic_genocide:task05_comm_message_text	/object/mobile/dressed_corsec_captain_human_male_02.iff																																
quest.task.ground.destroy_multi	@quest/ground/talus_dearic_genocide:task06_journal_entry_title	@quest/ground/talus_dearic_genocide:task06_journal_entry_description	1			0	7		genocide_destroy_01_06	0				0	none	none				1		1			1	talus	-13	0.0	-3532			@quest/ground/talus_dearic_genocide:task06_waypoint_name	0	0.0	0.0	0.0			0																																				talus_nashal_arachne_brood_queen			1	0									
quest.task.ground.comm_player	@quest/ground/talus_dearic_genocide:task07_journal_entry_title	@quest/ground/talus_dearic_genocide:task07_journal_entry_description	1			0	8		genocide_comm_03_07	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																			@quest/ground/talus_dearic_genocide:task07_comm_message_text	/object/mobile/dressed_corsec_captain_human_male_02.iff																																
quest.task.ground.retrieve_item	@quest/ground/talus_dearic_genocide:task08_journal_entry_title	@quest/ground/talus_dearic_genocide:task08_journal_entry_description	1			0	9		genocide_retrieve_03_07a	0				0	none	none				1		1			1	talus	-13	0.0	-3532			@quest/ground/talus_dearic_genocide:task08_waypoint_name	0	0.0	0.0	0.0			0	object/tangible/quest/talus_brood_egg_single_05.iff	6	@quest/ground/talus_dearic_genocide:task08_item_name	100	0	0	5	@quest/ground/talus_dearic_genocide:task08_retrieve_menu_text																																									
quest.task.ground.wait_for_signal	@quest/ground/talus_dearic_genocide:task09_journal_entry_title	@quest/ground/talus_dearic_genocide:task09_journal_entry_description	1			0	10		genocide_signal_01_08	0				0	none	none				1		1			1	talus	4380	0.0	5177			@quest/ground/talus_dearic_genocide:task09_waypoint_name	0	0.0	0.0	0.0			0																																									genocide_signal_01_08	0			0		0	0	0
quest.task.ground.complete_quest			0			0			genocide_complete_01_09	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																				
