ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	NUM_REQUIRED	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	RADIUS	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	b	s	s	s	s	f	f	f	i	s	s	s
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_pirate_prisoner_rescue_retry_02:task00_journal_entry_title	@quest/ground/u16_nym_themepark_pirate_prisoner_rescue_retry_02:task00_journal_entry_description	1			0	1,3		findPrisoner	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		hasFoundPrisoner	1	0			0		0	0	0	0			
quest.task.ground.wait_for_signal			0			0	2		failedRescueQuest	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		hasFailedRescueQuest	1	0			0		0	0	0	0			
quest.task.ground.clear_quest			0			0			failed	0				0	none	none			quest/u16_nym_themepark_pirate_prisoner_rescue_retry_01	0		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0															
quest.task.ground.go_to_location	@quest/ground/u16_nym_themepark_pirate_prisoner_rescue_retry_02:task03_journal_entry_title	@quest/ground/u16_nym_themepark_pirate_prisoner_rescue_retry_02:task03_journal_entry_description	1			0	4,11		isEscortingPrisoner	0				0	none	none				1		1		hasFailedRescueQuest	1	lok	-3047	37	-724			@quest/ground/u16_nym_themepark_pirate_prisoner_rescue_retry_02:task03_waypoint_name	0	0.0	0.0	0.0												180	7		
quest.task.ground.comm_player			0			0	5		stuvCom	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0														@quest/ground/u16_nym_themepark_pirate_prisoner_rescue_retry_02:task04_comm_message_text	object/mobile/nym_themepark_stuvany_inglen.iff
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_pirate_prisoner_rescue_retry_02:task05_journal_entry_title	@quest/ground/u16_nym_themepark_pirate_prisoner_rescue_retry_02:task05_journal_entry_description	1			0	6,9		waitingForShuttle	0				0	none	none				1		1			1	lok	-3047	37	-724			@quest/ground/u16_nym_themepark_pirate_prisoner_rescue_retry_02:task05_waypoint_name	0	0.0	0.0	0.0		shuttleHasArrived	1	0			0		0	0	0	0			
quest.task.ground.comm_player	@quest/ground/u16_nym_themepark_pirate_prisoner_rescue_retry_02:task06_journal_entry_title		0			0	7		nymCom	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0														@quest/ground/u16_nym_themepark_pirate_prisoner_rescue_retry_02:task06_comm_message_text	object/mobile/nym.iff
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_pirate_prisoner_rescue_retry_02:task07_journal_entry_title	@quest/ground/u16_nym_themepark_pirate_prisoner_rescue_retry_02:task07_journal_entry_description	1			0	8		returnPrisonerRescueComplete	0				0	none	none				1		1			1	lok	475	13	4828			@quest/ground/u16_nym_themepark_pirate_prisoner_rescue_retry_02:task07_waypoint_name	0	0.0	0.0	0.0		hasCompletedPrisonerRescue	1	0			0		0	0	0	0			
quest.task.ground.complete_quest			0			0			complete	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0															
