ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	ITEM_TO_GIVE	NUM_TO_GIVE	CREATE_ITEM	DESTROY_ITEM	TIMER_AMOUNT	REMAINING_TIME	FAIL_ON_LOGOUT	TRAVEL_BLOCK	TRAVEL_BLOCK_ALLOW_LAUNCH	TEXT_TYPE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	CHANCE_TO_SKIP	CREATURE_TYPE	MIN_COUNT	MAX_COUNT	MIN_DISTANCE	MAX_DISTANCE	MIN_LEVEL_DIFFERENCE	MAX_LEVEL_DIFFERENCE	GROUND_START_COMBAT	BUFF_NAME	DISMOUNT_PLAYER	MOUNT_BLOCK_DURATION	SHIP_TYPE	SHIP_MIN_COUNT	SHIP_MAX_COUNT	SPACE_START_COMBAT	HYPERSPACE_BLOCK_DURATION	MIN_START_DELAY	MAX_START_DELAY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	b	b	i	i	b	b	b	e(give=0,deliver=1)[give]	s	b	s	s	s	s	f	f	f	s	s	i	s	i	i	i	i	i	i	b	s	b	i	s	i	i	b	i	i	i
quest.task.ground.nothing			0			0	1,2,3,4,5,6,8,10		smugglerNothing	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																									
quest.task.ground.give_item	@quest/ground/smuggle_generic_3:task01_journal_entry_title	@quest/ground/smuggle_generic_3:task01_journal_entry_description	1			0			deliverEmmett	1				1	complete	none				1		1		smugglerEnemyIncap	1	lok	-1967	11	-3365			@quest/ground/smuggle_generic_3:task01_waypoint_name	0	0.0	0.0	0.0		item_smuggler_contraband_crate_01_01	1	1	1	900	0	1	1	0	deliver																														
quest.task.ground.give_item	@quest/ground/smuggle_generic_3:task02_journal_entry_title	@quest/ground/smuggle_generic_3:task02_journal_entry_description	1			0			deliverMarla	1				1	complete	none				1		1		smugglerEnemyIncap	1	lok	-3922	12	-3922			@quest/ground/smuggle_generic_3:task02_waypoint_name	0	0.0	0.0	0.0		item_smuggler_contraband_crate_01_01	1	1	1	1200	0	1	1	0	deliver																														
quest.task.ground.give_item	@quest/ground/smuggle_generic_3:task03_journal_entry_title	@quest/ground/smuggle_generic_3:task03_journal_entry_description	1			0			deliverEdwyn	1				1	complete	none				1		1		smugglerEnemyIncap	1	lok	2963	325	-4500			@quest/ground/smuggle_generic_3:task03_waypoint_name	0	0.0	0.0	0.0		item_smuggler_contraband_crate_01_01	1	1	1	1200	0	1	1	0	deliver																														
quest.task.ground.give_item	@quest/ground/smuggle_generic_3:task04_journal_entry_title	@quest/ground/smuggle_generic_3:task04_journal_entry_description	1			0			deliverBriscoe	1				1	complete	none				1		1		smugglerEnemyIncap	1	lok	3511	6	2116			@quest/ground/smuggle_generic_3:task04_waypoint_name	0	0.0	0.0	0.0		item_smuggler_contraband_crate_01_01	1	1	1	600	0	1	1	0	deliver																														
quest.task.ground.give_item	@quest/ground/smuggle_generic_3:task05_journal_entry_title	@quest/ground/smuggle_generic_3:task05_journal_entry_description	1			0			deliverEtta	1				1	complete	none				1		1		smugglerEnemyIncap	1	lok	6018	11	5182			@quest/ground/smuggle_generic_3:task05_waypoint_name	0	0.0	0.0	0.0		item_smuggler_contraband_crate_01_01	1	1	1	660	0	1	1	0	deliver																														
quest.task.ground.wait_for_signal			0			0	7		incapFail	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0						0						smugglerEnemyIncap	0			0		0	0	0																					
quest.task.ground.comm_player			0			0			commFailure	0				0	clear	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																					@quest/ground/smuggle_generic_3:task07_comm_message_text	object/mobile/smuggler_broker_baldwin.iff																			
quest.task.ground.wait_for_signal			0			0	9		patrolHelp	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0						0						smugglerPatrolHelp	0			0		0	0	0																					
quest.task.ground.spawn			0			0			spawnHelp	0				0	none	clear				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																							0	smuggler_patrol_thief_4	1	3	5	10	2	0	1		0	0		1	0	0	0	-1	-1
quest.task.ground.spawn			0			0	11		spawn1	0				0	none	clear				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																							0	smuggler_patrol_valarian_1	2	3	5	20	1	0	0	caltropSnare	1	15		1	0	0	0	40	85
quest.task.ground.spawn			0			0	12		spawn2	0				0	none	clear				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																							25	smuggler_patrol_thief_4	2	3	5	20	1	0	0	caltropSnare	1	15		1	0	0	0	180	240
quest.task.ground.spawn			0			0			spawn3	0				0	none	clear				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																							25	smuggler_patrol_valarian_2	2	3	5	20	1	0	0	caltropSnare	0	0		1	0	0	0	360	500
