ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	s	i	s	i	s	s	s	s	i	i	i	i	s	s	s	s	i	i	i	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s
quest.task.ground.go_to_location	@quest/ground/som_kenobi_historian_1:task00_journal_entry_title	@quest/ground/som_kenobi_historian_1:task00_journal_entry_description	1			0	1			1	sound/mus_mustafar_quest_exception.snd						1		1	0	mustafar	-745	87	6048				65	0																																															
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_historian_1:task01_journal_entry_title	@quest/ground/som_kenobi_historian_1:task01_journal_entry_description	1			0	2			1							1		1	0	tatooine	0.0	0.0	0.0					0	object/tangible/quest/som_kenobi_orf_computer.iff	1	@quest/ground/som_kenobi_historian_1:task01_item_name	100	@quest/ground/som_kenobi_historian_1:task01_retrieve_menu_text																																										
quest.task.ground.show_message_box			0			0	3			0							1		1	0	tatooine	0.0	0.0	0.0											@quest/ground/som_kenobi_historian_1:task02_message_box_title	@quest/ground/som_kenobi_historian_1:task02_message_box_text		-1	-1	-1	-1																																			
quest.task.ground.destroy_multi_and_loot	@quest/ground/som_kenobi_historian_1:task03_journal_entry_title	@quest/ground/som_kenobi_historian_1:task03_journal_entry_description	1			0	4			1							1		1	0	tatooine	0.0	0.0	0.0					0														orf_security		Decryption key	1	60	0																												
quest.task.ground.show_message_box			0			0	5			0							1		1	0	tatooine	0.0	0.0	0.0											@quest/ground/som_kenobi_historian_1:task04_message_box_title	@quest/ground/som_kenobi_historian_1:task04_message_box_text		-1	-1	-1	-1																																			
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_historian_1:task05_journal_entry_title	@quest/ground/som_kenobi_historian_1:task05_journal_entry_description	1			0	6			1							1		1	0	tatooine	0.0	0.0	0.0					0	object/tangible/quest/som_kenobi_orf_computer.iff	1	@quest/ground/som_kenobi_historian_1:task05_item_name	100	@quest/ground/som_kenobi_historian_1:task05_retrieve_menu_text																																										
quest.task.ground.show_message_box			0			0	7			0							1		1	0	tatooine	0.0	0.0	0.0											@quest/ground/som_kenobi_historian_1:task06_message_box_title	@quest/ground/som_kenobi_historian_1:task06_message_box_text		-1	-1	-1	-1																																			
quest.task.ground.wait_for_signal	@quest/ground/som_kenobi_historian_1:task07_journal_entry_title	@quest/ground/som_kenobi_historian_1:task07_journal_entry_description	1			0	8,10,12,14		success	1							1		1	0	tatooine	0.0	0.0	0.0					0																				successDone	0			0		0	0	0																			
quest.task.ground.wait_for_signal			0			0	9		assault	0							1		1	0	tatooine	0.0	0.0	0.0					0																				assaultPicked	0			0		0	0	0																			
quest.task.ground.reward			0			0				1							1		1	0	tatooine	0.0	0.0	0.0																																			0	Rebel	0	0	armor_tow_helmet_acc_assault_02_01	1	object/tangible/quest/story_loot/som_kenobi_historian_data_disk.iff	1		1	0.1	0.1	0.1	0.1		1	0.1	
quest.task.ground.wait_for_signal			0			0	11		battle	0							1		1	0	tatooine	0.0	0.0	0.0					0																				battlePicked	0			0		0	0	0																			
quest.task.ground.reward			0			0				1							1		1	0	tatooine	0.0	0.0	0.0																																			0	Rebel	0	0	armor_tow_helmet_acc_battle_02_01	1	object/tangible/quest/story_loot/som_kenobi_historian_data_disk.iff	1		1	0.1	0.1	0.1	0.1		1	0.1	
