ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	REWARD_CREDITS	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	s	i	i	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	s
quest.task.ground.wait_for_signal	@quest/ground/coronet_murmurs_1_smuggler:task00_journal_entry_title	@quest/ground/coronet_murmurs_1_smuggler:task00_journal_entry_description	1			0	1		talktojainn	0				0	none	none				1		1			1	corellia	-408	29	-4462			@quest/ground/coronet_murmurs_1_smuggler:task00_waypoint_name	0	0.0	0.0	0.0		coronet_murmur_2_jainn	0			0		0	0	0	0																																			
quest.task.ground.destroy_multi_and_loot	@quest/ground/coronet_murmurs_1_smuggler:task01_journal_entry_title	@quest/ground/coronet_murmurs_1_smuggler:task01_journal_entry_description	1			0	2			0				0	none	none				1		1			1	corellia	-255	18	-5299			@quest/ground/coronet_murmurs_1_smuggler:task01_waypoint_name	0	0.0	0.0	0.0											0		corsec_rogue		Moril's Contact Information	1	15	0	0	0																										
quest.task.ground.wait_for_signal	@quest/ground/coronet_murmurs_1_smuggler:task02_journal_entry_title	@quest/ground/coronet_murmurs_1_smuggler:task02_journal_entry_description	1			0	3,6,7,8,9		talktomoril	0				0	none	none				1		1			1	corellia	-95	9	-3963			@quest/ground/coronet_murmurs_1_smuggler:task02_waypoint_name	0	0.0	0.0	0.0		coronet_murmurs_moril	0			0		0	0	0	0																																			
quest.task.ground.wait_for_tasks	@quest/ground/coronet_murmurs_1_smuggler:task03_journal_entry_title	@quest/ground/coronet_murmurs_1_smuggler:task03_journal_entry_description	1			0	4		waitfor	1				0	none	none				1		1			1	corellia	-34	28	-4419			@quest/ground/coronet_murmurs_1_smuggler:task03_waypoint_name	0	0.0	0.0	0.0											0										quest/coronet_murmurs_1_smuggler	object1	@quest/ground/coronet_murmurs_1_smuggler:task03_task_display_string_1	quest/coronet_murmurs_1_smuggler	object2	@quest/ground/coronet_murmurs_1_smuggler:task03_task_display_string_2	quest/coronet_murmurs_1_smuggler	object3	@quest/ground/coronet_murmurs_1_smuggler:task03_task_display_string_3	quest/coronet_murmurs_1_smuggler	object4	@quest/ground/coronet_murmurs_1_smuggler:task03_task_display_string_4														
quest.task.ground.comm_player	@quest/ground/coronet_murmurs_1_smuggler:task04_journal_entry_title	@quest/ground/coronet_murmurs_1_smuggler:task04_journal_entry_description	1			0	5			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																							@quest/ground/coronet_murmurs_1_smuggler:task04_comm_message_text	object/mobile/dressed_murmur_questgiver.iff						
quest.task.ground.complete_quest			0			0				0				0	none	none			quest/coronet_murmurs_2_gatherinfo	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																														
quest.task.ground.retrieve_item	@quest/ground/coronet_murmurs_1_smuggler:task06_journal_entry_title	@quest/ground/coronet_murmurs_1_smuggler:task06_journal_entry_description	0			0			object1	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0							0	0																						object/tangible/quest/corellia_murmur_feed.iff	1	@quest/ground/coronet_murmurs_1_smuggler:task06_item_name	100	0	@quest/ground/coronet_murmurs_1_smuggler:task06_retrieve_menu_text
quest.task.ground.retrieve_item	@quest/ground/coronet_murmurs_1_smuggler:task07_journal_entry_title	@quest/ground/coronet_murmurs_1_smuggler:task07_journal_entry_description	0			0			object2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0							0	0																						object/tangible/quest/corellia_murmur_chemicals.iff	1	@quest/ground/coronet_murmurs_1_smuggler:task07_item_name	100	0	@quest/ground/coronet_murmurs_1_smuggler:task07_retrieve_menu_text
quest.task.ground.retrieve_item	@quest/ground/coronet_murmurs_1_smuggler:task08_journal_entry_title	@quest/ground/coronet_murmurs_1_smuggler:task08_journal_entry_description	0			0			object3	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0							0	0																						object/tangible/quest/corellia_murmur_tranquilizer.iff	1	@quest/ground/coronet_murmurs_1_smuggler:task08_item_name	100	0	@quest/ground/coronet_murmurs_1_smuggler:task08_retrieve_menu_text
