ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	ITEM_TO_GIVE	NUM_TO_GIVE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s	s	i
quest.task.ground.wait_for_signal	@quest/ground/legacy_together:task00_journal_entry_title	@quest/ground/legacy_together:task00_journal_entry_description	1			0	1,6,7,8		legacy_together_e1	0							1		1	1	tatooine	-2893	0.0	2428	tatooine	r2	@quest/ground/legacy_together:task00_waypoint_name	legacy_together_launch_e2	0			0		0	0	0	0																					
quest.task.ground.reward	@quest/ground/legacy_together:task01_journal_entry_title		0			0	2		legacy_together_e4	0							1		1	0	tatooine	0.0	0.0	0.0															0	Rebel	0	0		1	object/tangible/loot/simple_kit/legacy_droid_legs.iff	1		1	0.1	0.1	0.1	0.1		1	0.1			
quest.task.ground.wait_for_signal	@quest/ground/legacy_together:task02_journal_entry_title	@quest/ground/legacy_together:task02_journal_entry_description	1			0	3		legacy_together_e5	1							1		1	0	tatooine	-3000	0.0	2100			@quest/ground/legacy_together:task02_waypoint_name	legacy_together_launch_e6	0			0		0	0	0	0																					
quest.task.ground.give_item	@quest/ground/legacy_together:task03_journal_entry_title	@quest/ground/legacy_together:task03_journal_entry_description	1			0	4		legacy_together_e6	0							1		1	0	tatooine	0.0	0.0	0.0													0																				object/tangible/loot/simple_kit/legacy_droid_dead.iff	1
quest.task.ground.wait_for_signal	@quest/ground/legacy_together:task04_journal_entry_title	@quest/ground/legacy_together:task04_journal_entry_description	1			0	5		legacy_together_e7	1							1		1	1	tatooine	-3000	0.0	2100			@quest/ground/legacy_together:task04_waypoint_name	legacy_together_launch_e8	0			0		0	0	0	0																					
quest.task.ground.complete_quest			0			0			legacy_together_e9	0							1		1	0	tatooine	0.0	0.0	0.0																																		
quest.task.ground.reward	@quest/ground/legacy_together:task06_journal_entry_title		0			0			legacy_together_e3	1							1		1	0	tatooine	0.0	0.0	0.0															0	Rebel	0	0		1	object/tangible/loot/simple_kit/legacy_droid_body.iff	1		1	0.1	0.1	0.1	0.1		1	0.1			
quest.task.ground.reward	@quest/ground/legacy_together:task07_journal_entry_title		0			0			legacy_together_e2	0							1		1	0	tatooine	0.0	0.0	0.0															0	Rebel	0	0		1	object/tangible/loot/simple_kit/legacy_droid_inners.iff	1		1	0.1	0.1	0.1	0.1		1	0.1			
quest.task.ground.reward	@quest/ground/legacy_together:task08_journal_entry_title		0			0			legacy_together_e101	1							1		1	0	tatooine	0.0	0.0	0.0															0	Rebel	0	0		1	object/tangible/loot/simple_kit/legacy_droid_motivator.iff	1		1	0.1	0.1	0.1	0.1		1	0.1			
