ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	i	i	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing			0			0	1,14			0	sound/mus_mustafar_quest_exception.snd			0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																				
quest.task.ground.go_to_location	@quest/ground/som_lava_beetle_nest_destroy_2:task01_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy_2:task01_journal_entry_description	1			0	2,6,8,10,12		mustafar_lava_beetle_nest_one	1				0	none	none				1		1			1	mustafar	-3386	33	5331			@quest/ground/som_lava_beetle_nest_destroy_2:task01_waypoint_name	0	0.0	0.0	0.0		50	0																																	
quest.task.ground.wait_for_tasks	@quest/ground/som_lava_beetle_nest_destroy_2:task02_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy_2:task02_journal_entry_description	1			0	3		lava_beetle_nest_tasks	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	quest/som_lava_beetle_nest_destroy_2	destroyed_beetle_soldiers_one	@quest/ground/som_lava_beetle_nest_destroy_2:task02_task_display_string_1	quest/som_lava_beetle_nest_destroy_2	destroyed_beetle_soldiers_two	@quest/ground/som_lava_beetle_nest_destroy_2:task02_task_display_string_2	quest/som_lava_beetle_nest_destroy_2	destroyed_beetle_soldier_three	@quest/ground/som_lava_beetle_nest_destroy_2:task02_task_display_string_3	quest/som_lava_beetle_nest_destroy_2	destroyed_beetle_soldier_four	@quest/ground/som_lava_beetle_nest_destroy_2:task02_task_display_string_4																					
quest.task.ground.encounter	@quest/ground/som_lava_beetle_nest_destroy_2:task03_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy_2:task03_journal_entry_description	1			0	4		mustafar_lava_beetle_nest_two	1				0	none	none				1		1		failed_beetle_destroy	0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																			som_link_lava_beetle_soldier	8	15	35	0.0	0.0									
quest.task.ground.wait_for_signal	@quest/ground/som_lava_beetle_nest_destroy_2:task04_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy_2:task04_journal_entry_description	1			0	5		mustafar_lava_beetle_nest_four	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																									mustafar_lava_beetle_nest_reward	0			0		0	0	0
quest.task.ground.complete_quest			0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																				
quest.task.ground.wait_for_signal	@quest/ground/som_lava_beetle_nest_destroy_2:task06_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy_2:task06_journal_entry_description	1			0	7		destroy_lava_beetle_nest_four	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																									lava_beetle_nest_four_destroyed	0			0		0	0	0
quest.task.ground.encounter	@quest/ground/som_lava_beetle_nest_destroy_2:task07_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy_2:task07_journal_entry_description	1			0			destroyed_beetle_soldier_four	1				0	none	none				1		1		failed_beetle_destroy	0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																			som_burning_plains_lava_beetle_soldier	5	15	25	0.0	0.0									
quest.task.ground.wait_for_signal	@quest/ground/som_lava_beetle_nest_destroy_2:task08_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy_2:task08_journal_entry_description	1			0	9		destroy_lava_beetle_nest_three	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																									lava_beetle_nest_three_destroyed	0			0		0	0	0
quest.task.ground.encounter	@quest/ground/som_lava_beetle_nest_destroy_2:task09_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy_2:task09_journal_entry_description	1			0			destroyed_beetle_soldier_three	1				0	none	none				1		1		failed_beetle_destroy	0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																			som_burning_plains_lava_beetle_soldier	5	15	25	0.0	0.0									
quest.task.ground.wait_for_signal	@quest/ground/som_lava_beetle_nest_destroy_2:task10_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy_2:task10_journal_entry_description	1			0	11		destroy_lava_beetle_nest_two	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																									lava_beetle_nest_two_destroyed	0			0		0	0	0
quest.task.ground.encounter	@quest/ground/som_lava_beetle_nest_destroy_2:task11_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy_2:task11_journal_entry_description	1			0			destroyed_beetle_soldiers_two	1				0	none	none				1		1		failed_beetle_destroy	0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																			som_burning_plains_lava_beetle_soldier	5	15	25	0.0	0.0									
quest.task.ground.wait_for_signal	@quest/ground/som_lava_beetle_nest_destroy_2:task12_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy_2:task12_journal_entry_description	1			0	13		destroy_lava_beetle_nest_one	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																									lava_beetle_nest_one_destroyed	0			0		0	0	0
quest.task.ground.encounter	@quest/ground/som_lava_beetle_nest_destroy_2:task13_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy_2:task13_journal_entry_description	1			0			destroyed_beetle_soldiers_one	1				0	none	none				1		1		failed_beetle_destroy	0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																			som_burning_plains_lava_beetle_soldier	5	15	25	0.0	0.0									
quest.task.ground.wait_for_signal	@quest/ground/som_lava_beetle_nest_destroy_2:task14_journal_entry_title		0			0	15			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																									failed_beetle_destroy	0			0		0	0	0
quest.task.ground.clear_quest	@quest/ground/som_lava_beetle_nest_destroy_2:task15_journal_entry_title		0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																				
